target_id	length	eff_length	est_counts	tpm
MvSl-1064-A2-R4_A2g00001	405	125.493	57.3888	7.59553
MvSl-1064-A2-R4_A2g00002	294	66.239	510.314	127.96
MvSl-1064-A2-R4_A2g00003	4404	4060.72	1376.61	5.63064
MvSl-1064-A2-R4_A2g00004	2184	1840.72	1854	16.7291
MvSl-1064-A2-R4_A2g00005	822	482.128	1270	43.7514
MvSl-1064-A2-R4_A2g00006	1342	998.718	3615	60.1196
MvSl-1064-A2-R4_A2g00007	3522	3178.72	4205	21.9718
MvSl-1064-A2-R4_A2g00008	1923	1579.72	2952	31.0376
MvSl-1064-A2-R4_A2g00009	1383	1039.72	2508	40.0648
MvSl-1064-A2-R4_A2g00010	1625	1281.72	62.6231	0.811509
MvSl-1064-A2-R4_A2g00011	678	346.499	39.9838	1.9166
MvSl-1064-A2-R4_A2g00012	171	25.8713	0.0162075	0.0104052
MvSl-1064-A2-R4_A2g00013	2155	1811.72	1470.92	13.485
MvSl-1064-A2-R4_A2g00014	672	340.994	91	4.43247
MvSl-1064-A2-R4_A2g00015	849	507.844	125	4.08818
MvSl-1064-A2-R4_A2g00016	168	25.0474	13	8.62047
MvSl-1064-A2-R4_A2g00017	2331	1987.72	72	0.601629
MvSl-1064-A2-R4_A2g00018	295	66.7113	0	0
MvSl-1064-A2-R4_A2g00019	1436	1092.72	80.72	1.22694
MvSl-1064-A2-R4_A2g00020	276	58.7532	64.6622	18.2797
MvSl-1064-A2-R4_A2g00021	352	94.0466	376.478	66.4887
MvSl-1064-A2-R4_A2g00022	656	326.676	5.78004	0.293876
MvSl-1064-A2-R4_A2g00023	2126	1782.72	31.7709	0.296004
MvSl-1064-A2-R4_A2g00024	906	564.192	0	0
MvSl-1064-A2-R4_A2g00025	2237	1893.72	51	0.447307
MvSl-1064-A2-R4_A2g00026	5416	5072.72	1291.66	4.2292
MvSl-1064-A2-R4_A2g00027	942	599.782	64	1.7723
MvSl-1064-A2-R4_A2g00028	674	342.818	264.87	12.8327
MvSl-1064-A2-R4_A2g00029	325	80.6469	42.2225	8.69574
MvSl-1064-A2-R4_A2g00030	454	159.372	958.495	99.8916
MvSl-1064-A2-R4_A2g00031	1611	1267.72	664	8.69954
MvSl-1064-A2-R4_A2g00032	2678	2334.72	13475	95.8617
MvSl-1064-A2-R4_A2g00033	956	613.479	588	15.9195
MvSl-1064-A2-R4_A2g00034	224	42.7461	0	0
MvSl-1064-A2-R4_A2g00035	1386	1042.72	605	9.63695
MvSl-1064-A2-R4_A2g00036	1473	1129.72	870	12.7909
MvSl-1064-A2-R4_A2g00037	2592	2248.72	595	4.39474
MvSl-1064-A2-R4_A2g00038	1125	781.718	0	0
MvSl-1064-A2-R4_A2g00039	2917	2573.72	4905	31.654
MvSl-1064-A2-R4_A2g00040	1696	1352.72	54	0.663036
MvSl-1064-A2-R4_A2g00041	192	33.0801	2	1.00419
MvSl-1064-A2-R4_A2g00042	528	216.594	1.17989	0.0904786
MvSl-1064-A2-R4_A2g00043	560	243.016	6.06395	0.414449
MvSl-1064-A2-R4_A2g00044	1005	661.718	0	0
MvSl-1064-A2-R4_A2g00045	1132	788.718	0	0
MvSl-1064-A2-R4_A2g00046	1461	1117.72	293	4.35398
MvSl-1064-A2-R4_A2g00047	1270	926.718	648	11.6139
MvSl-1064-A2-R4_A2g00048	1572	1228.72	611	8.25924
MvSl-1064-A2-R4_A2g00049	3176	2832.72	965	5.65815
MvSl-1064-A2-R4_A2g00050	4700	4356.72	997	3.8009
MvSl-1064-A2-R4_A2g00051	1417	1073.72	1746	27.0088
MvSl-1064-A2-R4_A2g00052	411	129.736	34	4.3528
MvSl-1064-A2-R4_A2g00053	1614	1270.72	1871	24.4554
MvSl-1064-A2-R4_A2g00054	1704	1360.72	106	1.29386
MvSl-1064-A2-R4_A2g00055	1431	1087.72	1204	18.3849
MvSl-1064-A2-R4_A2g00056	2299	1955.72	7395	62.8034
MvSl-1064-A2-R4_A2g00057	324	80.0649	528	109.532
MvSl-1064-A2-R4_A2g00058	278	59.5321	32	8.92791
MvSl-1064-A2-R4_A2g00059	207	37.9903	198.971	86.9898
MvSl-1064-A2-R4_A2g00060	1553	1209.72	190	2.60868
MvSl-1064-A2-R4_A2g00061	960	617.356	2683	72.1832
MvSl-1064-A2-R4_A2g00062	2790	2446.72	1461.3	9.91985
MvSl-1064-A2-R4_A2g00063	1275	931.718	682	12.1577
MvSl-1064-A2-R4_A2g00064	1154	810.718	6594	135.092
MvSl-1064-A2-R4_A2g00065	2768	2424.72	2991	20.4883
MvSl-1064-A2-R4_A2g00066	701	367.857	4680.12	211.314
MvSl-1064-A2-R4_A2g00067	2196	1852.72	79	0.708221
MvSl-1064-A2-R4_A2g00068	1568	1224.72	69	0.935759
MvSl-1064-A2-R4_A2g00069	4486	4142.72	1667	6.68346
MvSl-1064-A2-R4_A2g00070	2841	2497.72	3069	20.4082
MvSl-1064-A2-R4_A2g00071	1878	1534.72	282	3.05191
MvSl-1064-A2-R4_A2g00072	2433	2089.72	5269	41.8785
MvSl-1064-A2-R4_A2g00073	1451	1107.72	828	12.4152
MvSl-1064-A2-R4_A2g00074	3085	2741.72	6417	38.8741
MvSl-1064-A2-R4_A2g00075	1898	1554.72	1	0.0106831
MvSl-1064-A2-R4_A2g00076	2705	2361.72	3063	21.5412
MvSl-1064-A2-R4_A2g00077	1476	1132.72	1874	27.4789
