target_id	length	eff_length	est_counts	tpm
MvSl-1064-A2-R4_MC14g12013	2433	2097	928	8.00451
MvSl-1064-A2-R4_MC14g12014	1308	972.004	701	13.0448
MvSl-1064-A2-R4_MC14g12015	1299	963.004	1368	25.6947
MvSl-1064-A2-R4_MC14g12016	591	274.389	1846	121.689
MvSl-1064-A2-R4_MC14g12017	4515	4179	5763	24.9438
MvSl-1064-A2-R4_MC14g12018	1491	1155	139	2.17679
MvSl-1064-A2-R4_MC14g12019	624	303.415	3328	198.396
MvSl-1064-A2-R4_MC14g12020	1842	1506	5347	64.22
MvSl-1064-A2-R4_MC14g12021	1971	1635	1496	16.55
MvSl-1064-A2-R4_MC14g12022	1245	909.004	3478	69.207
MvSl-1064-A2-R4_MC01g02544	1131	795.004	119.878	2.72744
MvSl-1064-A2-R4_MC14g12023	777	444.967	1167	47.4383
MvSl-1064-A2-R4_MC14g12024	435	147.438	110	13.4949
MvSl-1064-A2-R4_MC14g12025	138	15.875	19	21.6484
MvSl-1064-A2-R4_MC14g12026	1548	1212	776	11.5809
MvSl-1064-A2-R4_MC14g12027	282	61.0834	329	97.4224
MvSl-1064-A2-R4_MC14g12028	2052	1716	5122	53.9892
MvSl-1064-A2-R4_MC14g12029	2607	2271	1052	8.37884
MvSl-1064-A2-R4_MC14g12030	5076	4740	3548	13.5391
MvSl-1064-A2-R4_MC14g12031	1071	735.004	436	10.7296
MvSl-1064-A2-R4_MC14g12032	1743	1407	415	5.33505
MvSl-1064-A2-R4_MC01g02545	4005	3669	2761	13.6114
MvSl-1064-A2-R4_MC14g12033	237	46.6334	306	118.689
MvSl-1064-A2-R4_MC14g12034	1725	1389	1638	21.3303
MvSl-1064-A2-R4_MC14g12035	195	33.6702	27	14.5045
MvSl-1064-A2-R4_MC14g12036	1878	1542	808	9.47789
MvSl-1064-A2-R4_MC14g12037	834	500.347	2462	89.0026
MvSl-1064-A2-R4_MC14g12038	1320	984.004	3410	62.6821
MvSl-1064-A2-R4_MC14g12039	945	609.38	628	18.6405
MvSl-1064-A2-R4_MC14g12040	1683	1347	5543	74.4324
MvSl-1064-A2-R4_MC14g12041	165	24.3354	0	0
MvSl-1064-A2-R4_MC14g12042	156	22.5307	16.1203	12.9414
MvSl-1064-A2-R4_MC01g02546	1818	1482	1192	14.5483
MvSl-1064-A2-R4_MC14g12043	291	65.0081	18	5.00831
MvSl-1064-A2-R4_MC14g12044	666	340.393	950	50.4811
MvSl-1064-A2-R4_MC14g12045	231	44.9704	81.7599	32.8852
MvSl-1064-A2-R4_MC14g12046	480	181.164	594.828	59.389
MvSl-1064-A2-R4_MC14g12047	156	22.5307	139	111.59
MvSl-1064-A2-R4_MC14g12048	198	34.6466	96	50.1183
MvSl-1064-A2-R4_MC14g12049	315	75.8242	39	9.30342
MvSl-1064-A2-R4_MC14g12050	384	113.477	55.9887	8.92438
MvSl-1064-A2-R4_MC14g12051	135	14.7929	6	7.33642
MvSl-1064-A2-R4_MC14g12052	2814	2478	873.297	6.3745
MvSl-1064-A2-R4_MC01g02547	963	627.134	1007	29.0439
MvSl-1064-A2-R4_MC14g12053	576	261.253	31.0316	2.14847
MvSl-1064-A2-R4_MC14g12054	1311	975.004	0	0
MvSl-1064-A2-R4_MC14g12055	621	300.697	520	31.2795
MvSl-1064-A2-R4_MC14g12056	2499	2163	2834	23.6989
MvSl-1064-A2-R4_MC14g12057	1389	1053	1882	32.3278
MvSl-1064-A2-R4_MC14g12058	3456	3120	8569	49.6776
MvSl-1064-A2-R4_MC14g12059	1416	1080	982	16.4464
MvSl-1064-A2-R4_MC14g12060	1824	1488	132.245	1.60754
MvSl-1064-A2-R4_MC14g12061	1158	822.004	18.2898	0.402459
MvSl-1064-A2-R4_MC14g12062	210	38.4851	0	0
MvSl-1064-A2-R4_MC01g02548	417	135.349	210.578	28.1413
MvSl-1064-A2-R4_MC14g12063	513	207.691	10.1426	0.883321
MvSl-1064-A2-R4_MC14g12064	108	10.4167	0	0
MvSl-1064-A2-R4_MC14g12065	1440	1104	2087.7	34.2045
