gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2
MvSl-1064-A1-R4_A1g00209	MvSl-1064-A1-R4_A1	aMAT	368181	370216	5.77285951644122	1.27524049643623	1.17288118029356e-09	9.22049222613237e-08
MvSl-1064-A1-R4_A1g01138	MvSl-1064-A1-R4_A1	aMAT	407531	411380	8.12648443357607	-10.7779550553827	5.64488109494114e-163	5.05894243728625e-159
MvSl-1064-A1-R4_A1g00168	MvSl-1064-A1-R4_A1	aMAT	713060	718328	5.32538739444078	1.52534625691001	9.90033946446246e-09	6.7217304757964e-07
MvSl-1064-A1-R4_A1g01038	MvSl-1064-A1-R4_A1	aMAT	912091	913460	8.07567447273491	-2.44810496270769	1.01290907492916e-14	1.21035881726868e-12
MvSl-1064-A1-R4_A1g00824	MvSl-1064-A1-R4_A1	aMAT	924447	925599	5.96224555612403	2.64018724436002	3.13033869021618e-19	5.00965988244954e-17
MvSl-1064-A1-R4_A1g00594	MvSl-1064-A1-R4_A1	aMAT	1054963	1057437	5.44961942181518	1.18900929876561	1.19611606095832e-06	6.41891744808892e-05
MvSl-1064-A1-R4_A1g00763	MvSl-1064-A1-R4_A1	aMAT	1134595	1135956	2.93024323949803	1.92850856191611	9.87517952073205e-07	5.33140716053016e-05
MvSl-1064-A1-R4_A1g01007	MvSl-1064-A1-R4_A1	aMAT	1393224	1396199	4.73798367171687	-3.8460082912488	1.08751089482471e-37	3.89850905576761e-35
MvSl-1064-A1-R4_A1g00628	MvSl-1064-A1-R4_A1	aMAT	1834558	1837865	2.46690349689761	4.76477587820526	3.93187843630753e-25	8.00852148777002e-23
MvSl-1064-A1-R4_A1g01045	MvSl-1064-A1-R4_A1	aMAT	1993924	1995401	2.1930868509516	-2.98498755983259	2.92896079259545e-09	2.13409322140166e-07
MvSl-1064-A1-R4_A1g00970	MvSl-1064-A1-R4_A1	aMAT	2205155	2206148	6.77879148613519	-0.87336306800763	6.46345898278809e-06	0.000317868676338913
MvSl-1064-A1-R4_A1g00972	MvSl-1064-A1-R4_A1	aMAT	2238742	2239464	6.16382387667659	1.76140321983626	6.87063194648351e-16	9.32948537945231e-14
MvSl-1064-A1-R4_A1g00804	MvSl-1064-A1-R4_A1	aMAT	2255626	2255952	1.83393837926082	-2.26728956811184	2.6183036161391e-07	1.54376559262096e-05
MvSl-1064-A1-R4_A1g00283	MvSl-1064-A1-R4_A1	aMAT	2618847	2620704	5.38161801332052	-4.38507828077469	8.34248821987415e-42	3.93501996981643e-39
MvSl-1064-A1-R4_A1g00909	MvSl-1064-A1-R4_A1	aMAT	2689352	2692677	2.33812451984625	2.24240867624331	2.8682697802695e-09	2.12441601411366e-07
MvSl-1064-A1-R4_A1g01302	MvSl-1064-A1-R4_A1	aMAT	2705499	2709175	5.56738297964219	-5.12064643068	7.44992211890064e-64	8.34577525369845e-61
MvSl-1064-A1-R4_A1g00653	MvSl-1064-A1-R4_A1	aMAT	2854025	2856120	3.23335808632896	-1.22531606076296	0.000208060765107843	0.00703637953545845
MvSl-1064-A1-R4_A1g00929	MvSl-1064-A1-R4_A1	aMAT	3136389	3137566	0.219275115356367	-2.77797328920779	3.46306348095488e-06	0.000177348428093244
MvSl-1064-A1-R4_MC01-1g01829	MvSl-1064-A1-R4_MC01-1	Chr01	165965	170607	4.64830684802035	-0.804346272667807	0.00126301305313633	0.0320655041988888
MvSl-1064-A1-R4_MC01-1g02785	MvSl-1064-A1-R4_MC01-1	Chr01	2144082	2144820	3.06720609536771	1.81018598660252	7.50722052556739e-06	0.000363674110000729
