gene genename chr start end gene_size
MvSl-1064-A2-R4_MC06-1g07109	MvSl-1064-A1-R4_A2	MAT	1	205	205	
MvSl-1064-A2-R4_MC06-1g07110 MvSl-1064-A1-R4_A2 MAT 965 4630 3666
MvSl-1064-A2-R4_MC06-1g07111 MvSl-1064-A1-R4_A2 MAT 4913 5080 168
MvSl-1064-A2-R4_MC06-1g07112 MvSl-1064-A1-R4_A2 MAT 5277 5774 498
MvSl-1064-A2-R4_MC06-1g07113 MvSl-1064-A1-R4_A2 MAT 6203 7272 1070
MvSl-1064-A2-R4_MC06-1g07114 MvSl-1064-A1-R4_A2 MAT 7691 7920 230
MvSl-1064-A2-R4_MC06-1g07115 MvSl-1064-A1-R4_A2 MAT 8415 8678 264
MvSl-1064-A2-R4_MC06-1g07116 MvSl-1064-A1-R4_A2 MAT 9942 10109 168
MvSl-1064-A2-R4_MC06-1g07117 MvSl-1064-A1-R4_A2 MAT 10411 14270 3860
MvSl-1064-A2-R4_MC06-1g07118 MvSl-1064-A1-R4_A2 MAT 15050 18441 3392
MvSl-1064-A2-R4_MC06-1g07119 MvSl-1064-A1-R4_A2 MAT 19123 19948 826
MvSl-1064-A2-R4_MC06-1g07120 MvSl-1064-A1-R4_A2 MAT 20306 21509 1204
MvSl-1064-A2-R4_MC06-1g07121 MvSl-1064-A1-R4_A2 MAT 22171 26662 4492
MvSl-1064-A2-R4_MC06-1g07122 MvSl-1064-A1-R4_A2 MAT 26767 27030 264
MvSl-1064-A2-R4_MC06-1g07123 MvSl-1064-A1-R4_A2 MAT 28269 28460 192
MvSl-1064-A2-R4_MC06-1g07124 MvSl-1064-A1-R4_A2 MAT 28878 30598 1721
MvSl-1064-A2-R4_MC06-1g07125 MvSl-1064-A1-R4_A2 MAT 31337 32028 692
MvSl-1064-A2-R4_MC06-1g07126 MvSl-1064-A1-R4_A2 MAT 33043 33847 805
MvSl-1064-A2-R4_MC06-1g07127 MvSl-1064-A1-R4_A2 MAT 33956 34264 309
MvSl-1064-A2-R4_MC06-1g07128 MvSl-1064-A1-R4_A2 MAT 34623 35816 1194
MvSl-1064-A2-R4_MC06-1g07129 MvSl-1064-A1-R4_A2 MAT 35885 37844 1960
MvSl-1064-A2-R4_MC06-1g07130 MvSl-1064-A1-R4_A2 MAT 38017 38208 192
MvSl-1064-A2-R4_MC06-1g07131 MvSl-1064-A1-R4_A2 MAT 39790 40053 264
MvSl-1064-A2-R4_MC06-1g07132 MvSl-1064-A1-R4_A2 MAT 40559 40925 367
MvSl-1064-A2-R4_MC06-1g07133 MvSl-1064-A1-R4_A2 MAT 41082 42125 1044
MvSl-1064-A2-R4_MC06-1g07134 MvSl-1064-A1-R4_A2 MAT 42228 44090 1863
MvSl-1064-A2-R4_MC06-1g07135 MvSl-1064-A1-R4_A2 MAT 45231 47635 2405
MvSl-1064-A2-R4_MC06-1g07136 MvSl-1064-A1-R4_A2 MAT 47993 48818 826
MvSl-1064-A2-R4_MC06-1g07137 MvSl-1064-A1-R4_A2 MAT 49570 53106 3537
MvSl-1064-A2-R4_MC06-1g07138 MvSl-1064-A1-R4_A2 MAT 53741 57599 3859
MvSl-1064-A2-R4_MC06-1g07139 MvSl-1064-A1-R4_A2 MAT 57882 58049 168
MvSl-1064-A2-R4_MC06-1g07140 MvSl-1064-A1-R4_A2 MAT 58246 58743 498
MvSl-1064-A2-R4_MC06-1g07141 MvSl-1064-A1-R4_A2 MAT 59173 60242 1070
MvSl-1064-A2-R4_MC06-1g07142 MvSl-1064-A1-R4_A2 MAT 60661 60890 230
MvSl-1064-A2-R4_MC06-1g07143 MvSl-1064-A1-R4_A2 MAT 61385 61648 264
MvSl-1064-A2-R4_MC06-1g07144 MvSl-1064-A1-R4_A2 MAT 62912 63079 168
MvSl-1064-A2-R4_MC06-1g07145 MvSl-1064-A1-R4_A2 MAT 63381 67239 3859
MvSl-1064-A2-R4_MC06-1g07146 MvSl-1064-A1-R4_A2 MAT 67874 71411 3538
MvSl-1064-A2-R4_MC06-1g07147 MvSl-1064-A1-R4_A2 MAT 72162 72987 826
MvSl-1064-A2-R4_MC06-1g07148 MvSl-1064-A1-R4_A2 MAT 73345 74246 902
MvSl-1064-A2-R4_MC06-1g07149 MvSl-1064-A1-R4_A2 MAT 75643 77971 2329
MvSl-1064-A2-R4_MC06-1g07150 MvSl-1064-A1-R4_A2 MAT 78143 79342 1200
MvSl-1064-A2-R4_MC06-1g07151 MvSl-1064-A1-R4_A2 MAT 80106 85943 5838
MvSl-1064-A2-R4_MC06-1g07152 MvSl-1064-A1-R4_A2 MAT 87102 89015 1914
MvSl-1064-A2-R4_MC06-1g07153 MvSl-1064-A1-R4_A2 MAT 89508 93808 4301
MvSl-1064-A2-R4_MC06-1g07154 MvSl-1064-A1-R4_A2 MAT 94102 94526 425
MvSl-1064-A2-R4_MC06-1g07155 MvSl-1064-A1-R4_A2 MAT 97495 98539 1045
MvSl-1064-A2-R4_MC06-1g07156 MvSl-1064-A1-R4_A2 MAT 98991 99785 795
MvSl-1064-A2-R4_MC06-1g07157 MvSl-1064-A1-R4_A2 MAT 100100 101548 1449
MvSl-1064-A2-R4_MC06-1g07158 MvSl-1064-A1-R4_A2 MAT 101792 102533 742
