gida1	part8	youngold	intron_nr_a1	intron_mean_a1	intron_total_a1	DE	DE2
MvSl-1064-A1-R4_A1g00014	bPAR	bPAR	3	74	222	Down	Long
MvSl-1064-A1-R4_A1g00015	bPAR	bPAR	2	42	84	Down	Long
MvSl-1064-A1-R4_A1g00016	bPAR	bPAR	1	0	0	Down	Long
MvSl-1064-A1-R4_A1g00078	bPAR	bPAR	1	0	0	Down	Long
MvSl-1064-A1-R4_A1g00079	bPAR	bPAR	10	83.6	836	Down	Long
MvSl-1064-A1-R4_A1g00080	bPAR	bPAR	3	92	276	Down	Long
MvSl-1064-A1-R4_A1g00081	Black	OldStrata	8	84	672	Down	Long
MvSl-1064-A1-R4_A1g00154	Black	OldStrata	1	127	127	Down	Long
MvSl-1064-A1-R4_A1g00165	Black	OldStrata	6	82.8333	497	Down	Long
MvSl-1064-A1-R4_A1g00168	Black	OldStrata	4	107.75	431	Down	Long
MvSl-1064-A1-R4_A1g00252	Black	OldStrata	2	64.5	129	Down	Long
MvSl-1064-A1-R4_A1g00254	Black	OldStrata	3	73	219	Down	Long
MvSl-1064-A1-R4_A1g00269	Black	OldStrata	5	116.6	583	Down	Long
MvSl-1064-A1-R4_A1g00270	Black	OldStrata	3	208	624	Down	Long
MvSl-1064-A1-R4_A1g00292	Black	OldStrata	8	90.125	721	Down	Long
MvSl-1064-A1-R4_A1g00312	Black	OldStrata	1	118	118	Down	Long
MvSl-1064-A1-R4_A1g00400	Red	ColorStrata	7	91.2857	639	Down	Long
MvSl-1064-A1-R4_A1g00448	Black	OldStrata	8	75	600	Down	Long
MvSl-1064-A1-R4_A1g00495	Blue	OldStrata	2	144.5	289	Down	Long
MvSl-1064-A1-R4_A1g00516	Black	OldStrata	6	131.5	789	Down	Long
MvSl-1064-A1-R4_A1g00522	Black	OldStrata	6	84.6667	508	Down	Long
MvSl-1064-A1-R4_A1g00591	Black	OldStrata	1	0	0	Down	Long
MvSl-1064-A1-R4_A1g00594	Black	OldStrata	3	102.333	307	Down	Long
MvSl-1064-A1-R4_A1g00624	Purple	OldStrata	7	107.286	751	Down	Long
MvSl-1064-A1-R4_A1g00635	Black	OldStrata	10	66.5	665	Down	Long
MvSl-1064-A1-R4_A1g00644	Black	OldStrata	1	156	156	Down	Long
MvSl-1064-A1-R4_A1g00646	Black	OldStrata	2	86	172	Down	Long
MvSl-1064-A1-R4_A1g00668	Orange	ColorStrata	7	131	917	Down	Long
MvSl-1064-A1-R4_A1g00752	Black	OldStrata	2	64	128	Down	Long
MvSl-1064-A1-R4_A1g00763	Black	OldStrata	5	67.4	337	Down	Long
MvSl-1064-A1-R4_A1g00853	Purple	OldStrata	6	114.833	689	Down	Long
MvSl-1064-A1-R4_A1g00958	Black	OldStrata	4	73.25	293	Down	Long
MvSl-1064-A1-R4_A1g00972	Black	OldStrata	3	81.3333	244	Down	Long
MvSl-1064-A1-R4_A1g00977	Black	OldStrata	4	79	316	Down	Long
MvSl-1064-A1-R4_A1g00997	Blue	OldStrata	4	92.25	369	Down	Long
MvSl-1064-A1-R4_A1g01137	Black	OldStrata	6	77.5	465	Down	Long
MvSl-1064-A1-R4_A1g01164	Black	OldStrata	10	83.2	832	Down	Long
MvSl-1064-A1-R4_A1g01174	Black	OldStrata	5	91	455	Down	Long
MvSl-1064-A1-R4_A1g01212	Black	OldStrata	7	79.5714	557	Down	Long
MvSl-1064-A1-R4_A1g01253	Black	OldStrata	4	105	420	Down	Long
MvSl-1064-A1-R4_A1g01261	Orange	ColorStrata	7	146	1022	Down	Long
MvSl-1064-A1-R4_A1g01384	Black	OldStrata	1	77	77	Down	Long
MvSl-1064-A1-R4_A1g01404	Black	OldStrata	1	71	71	Down	Long
MvSl-1064-A1-R4_A1g01493	bPAR	bPAR	7	92.2857	646	Down	Long
MvSl-1064-A1-R4_A1g01494	bPAR	bPAR	1	42	42	Down	Long
MvSl-1064-A1-R4_MC01-1g01699	Auto	Auto	2	203.5	407	Down	Long
MvSl-1064-A1-R4_MC01-1g01952	Auto	Auto	2	185	370	Down	Long
MvSl-1064-A1-R4_MC01-1g02005	Auto	Auto	3	68.6667	206	Down	Long
MvSl-1064-A1-R4_MC01-1g02008	Auto	Auto	4	62.75	251	Down	Long
MvSl-1064-A1-R4_MC01-1g02009	Auto	Auto	1	172	172	Down	Long
MvSl-1064-A1-R4_MC01-1g02082	Auto	Auto	8	79.625	637	Down	Long
MvSl-1064-A1-R4_MC01-1g02161	Auto	Auto	2	75.5	151	Down	Long
MvSl-1064-A1-R4_MC01-1g02180	Auto	Auto	6	72.1667	433	Down	Long
MvSl-1064-A1-R4_MC01-1g02267	Auto	Auto	3	62.3333	187	Down	Long
MvSl-1064-A1-R4_MC01-1g02299	Auto	Auto	2	65	130	Down	Long
MvSl-1064-A1-R4_MC01-1g02347	Auto	Auto	1	0	0	Down	Long
MvSl-1064-A1-R4_MC01-1g02351	Auto	Auto	31	86.0968	2669	Down	Long
MvSl-1064-A1-R4_MC01-1g02359	Auto	Auto	6	65	390	Down	Long
MvSl-1064-A1-R4_MC01-1g02603	Auto	Auto	3	105.333	316	Down	Long
MvSl-1064-A1-R4_MC01-1g02724	Auto	Auto	1	90	90	Down	Long
MvSl-1064-A1-R4_MC01-1g02828	Auto	Auto	1	64	64	Down	Long
MvSl-1064-A1-R4_MC01-1g02837	Auto	Auto	1	90	90	Down	Long
MvSl-1064-A1-R4_MC01-1g02838	Auto	Auto	4	51.75	207	Down	Long
MvSl-1064-A1-R4_MC01-1g02839	Auto	Auto	4	74.75	299	Down	Long
MvSl-1064-A1-R4_MC01-1g02848	Auto	Auto	2	71.5	143	Down	Long
MvSl-1064-A1-R4_MC01-1g02849	Auto	Auto	3	87	261	Down	Long
MvSl-1064-A1-R4_MC01-1g02852	Auto	Auto	8	69.75	558	Down	Long
MvSl-1064-A1-R4_MC01-1g02857	Auto	Auto	1	184	184	Down	Long
MvSl-1064-A1-R4_MC01-1g02861	Auto	Auto	4	123	492	Down	Long
MvSl-1064-A1-R4_MC01-1g02899	Auto	Auto	4	161.75	647	Down	Long
MvSl-1064-A1-R4_MC01-2g02971	Auto	Auto	3	156	468	Down	Long
MvSl-1064-A1-R4_MC01-2g03112	Auto	Auto	6	79.3333	476	Down	Long
