gid	gname	chr	start	end	logCPM	logFC.water.rich	logFC.water.diploid	logFC.rich.diploid	PV.water.rich	PV.water.diploid	PV.rich.diploid	FDR.water.rich	FDR.water.diploid	FDR.rich.diploid	water1	water2	rich1	rich2	di1	di2	average	ward.D
MvSl-1064-A1-R4_A1g00003	MvSl-1064-A1-R4_A1	aMAT	2563	6967	5.10745944889756	1.32978103939936	0.146691023764166	-1.18309001563519	8.46123015363359e-05	0.657347077819992	0.000445776216404693	0.000269276014119047	0.855825835388909	0.0011376912296353	5.68720576938078	5.26095646000098	4.59999278144975	3.54509083560371	5.24323377263849	5.43691567157038	2	2
MvSl-1064-A1-R4_A1g00004	MvSl-1064-A1-R4_A1	aMAT	7783	9967	6.7194385701475	-1.06695870645506	0.0327099589940058	1.09966866544907	2.56657349923849e-06	0.884454736180099	1.22703279486265e-06	1.08932991198668e-05	0.964517268038562	5.070524228655e-06	6.31768242711965	6.23883612435152	7.17610329544147	7.49564572034499	6.31130012397752	6.17775789180753	1	1
MvSl-1064-A1-R4_A1g00006	MvSl-1064-A1-R4_A1	aMAT	11416	12757	8.22204975418446	-1.71458281231833	0.140541912397101	1.85512472471544	5.24909750699528e-10	0.601343643110672	2.178177806848e-11	4.25357901428928e-09	0.824632140071662	1.89767100635636e-10	7.32645605493595	7.52979513722771	8.88251959658062	9.36828450353473	7.19436130539015	7.38206517321354	1	1
MvSl-1064-A1-R4_A1g00008	MvSl-1064-A1-R4_A1	aMAT	17742	19664	7.4287594223903	0.92047828818503	0.534390898354114	-0.386087389830916	0.000289574164167731	0.034224503133605	0.125979351929833	0.00082669350576018	0.151299412367868	0.177724425392324	7.56230426620129	8.11332389441964	6.95922062872507	6.92861539250796	7.19096656258372	7.45654619907897	2	2
MvSl-1064-A1-R4_A1g00010	MvSl-1064-A1-R4_A1	aMAT	23065	24689	2.92197480577402	-1.82618033325808	0.786517903905599	2.61269823716367	7.7164166789884e-06	0.0588706519008604	5.43592114627873e-10	2.9972858174583e-05	0.218865496034423	3.8803178126514e-09	1.80148249915707	2.44068257380476	3.4822774827197	4.3209134335525	1.05475519611154	1.66348871595264	1	1
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A1-R4_A1	aMAT	31145	31816	3.05094065389543	-2.09948513188976	0.496787813568193	2.59627294545795	0.00171006830209764	0.447960444904213	0.000138737419493912	0.00407985838571519	0.724952296664484	0.000389966999081094	1.3087222339824	2.57106792638101	4.86165591507549	2.70392755732692	2.17797342618164	0.573569129421045	1	1
MvSl-1064-A1-R4_A1g00017	MvSl-1064-A1-R4_A1	aMAT	34162	36492	1.0580553140702	-0.979779569029196	-0.0721358747777645	0.907643694251432	0.0283545356709076	0.87461147928767	0.0372796256126157	0.0498240857027164	0.961383617680809	0.060705152574883	0.266933299751861	0.953930651965258	1.79465602804228	1.3730248394848	0.915429586108929	0.493871743315362	1	1
MvSl-1064-A1-R4_A1g00019	MvSl-1064-A1-R4_A1	aMAT	37961	39396	1.66026522367459	1.7217978691119	-0.675718738103363	-2.39751660721526	2.88152535701223e-05	0.0630072377276288	2.48844098182951e-09	0.000101028745340083	0.228628457093753	1.60673486197563e-08	1.73402053521114	1.66428171068938	0.0470610604444978	0.0713213418654503	2.27236682658278	2.4455399406012	2	2
MvSl-1064-A1-R4_A1g00020	MvSl-1064-A1-R4_A1	aMAT	39845	40120	1.79394566838078	1.99815809898156	-0.295112877742101	-2.29327097672366	4.2296080165709e-05	0.50491808221229	2.30133202543188e-06	0.000143504557705084	0.765618646130515	9.08126159394906e-06	1.71081350036508	2.34185227325367	0.704669282920356	-0.672705310303185	2.22594199127214	2.46656877888036	2	2
MvSl-1064-A1-R4_A1g00021	MvSl-1064-A1-R4_A1	aMAT	40219	40570	5.224364799574	1.93875745000982	0.0546191138325833	-1.88413833617723	4.04416442629714e-10	0.853774064592263	1.11018629186007e-09	3.33774383796982e-09	0.954935169940995	7.55061963923107e-09	5.83404702042691	5.45246025627859	4.04833155530727	3.3133930353441	5.41472569501162	5.7664914032098	2	2
MvSl-1064-A1-R4_A1g00025	MvSl-1064-A1-R4_A1	aMAT	46588	48824	0.231507463812928	1.61969967389951	0.494638582246731	-1.12506109165278	0.0028219858045619	0.319773554777839	0.0383810540380728	0.00639602366363903	0.615426259518557	0.0622715865843005	1.17944198323603	0.22266113813266	-0.545542085168516	-0.861561317427452	0.433677834901674	0.17412908571391	2	2
MvSl-1064-A1-R4_A1g00026	MvSl-1064-A1-R4_A1	aMAT	50171	55586	5.35255076093357	0.567481577566948	-0.00905079529499951	-0.576532372861948	0.0284791353476226	0.971924998143572	0.0257210307062919	0.0499840170311065	0.993144747120831	0.043710718171524	5.70493192095377	5.29532051818418	4.91493543612613	4.98049676985667	5.39387929301011	5.64261810710454	2	2
