gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	average	ward.D
MvSl-1064-A1-R4_A1g00003	MvSl-1064-A1-R4_A1	MAT	3408016	3408225	3.52690917567098	1.56618337384066	0.000334200376372694	0.00511528761131301	4.55720225211329	3.471428682398	2.05556128242121	2.92932827318415	2	2
MvSl-1064-A1-R4_A1g00010	MvSl-1064-A1-R4_A1	MAT	21256	22638	3.41267879027132	1.23654272656974	0.000955532142549422	0.0115604606050775	3.43888062234119	4.24761128004807	2.63998447076648	2.70824310838794	2	2
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A1-R4_A1	MAT	27672	29826	3.24957350859923	3.08193560009518	4.06030383253907e-06	0.000133818902557475	4.81895132414849	2.62958011826702	1.6326139977736	0.121227456922805	2	2
MvSl-1064-A1-R4_A1g00015	MvSl-1064-A1-R4_A1	MAT	31145	31816	3.1799871066348	3.12488595971769	4.50154275545816e-05	0.00102169579900926	4.79154677268658	2.38875533409367	1.68258074528649	-0.533628019666725	2	2
MvSl-1064-A1-R4_A1g00016	MvSl-1064-A1-R4_A1	MAT	31867	32715	0.689196350549535	3.04083066560822	4.36141194202592e-05	0.000997788976736887	2.2066516700451	0.402345984832044	-0.59880203865081	-2.42864006143857	2	2
MvSl-1064-A1-R4_A1g00021	MvSl-1064-A1-R4_A1	MAT	39845	40120	2.81807320576953	3.12038893912181	4.4229708321535e-12	6.67480615757622e-10	4.00529968471731	3.23958007161414	0.839525360127561	0.342604511755311	2	2
MvSl-1064-A1-R4_A1g00027	MvSl-1064-A1-R4_A1	MAT	50171	55586	2.06291492646401	1.5513923862645	0.000194689177609519	0.00334943261159416	2.77336413869415	2.50491615649601	1.13101700105384	1.11767054331792	2	2
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A1-R4_A1	MAT	59218	59891	3.69892721906666	1.76196699277755	1.99647317851282e-07	9.92697241709091e-06	4.0564334081161	4.55213857753213	2.59720388163217	2.55725595172505	2	2
MvSl-1064-A1-R4_A1g00030	MvSl-1064-A1-R4_A1	MAT	60303	60627	7.24965149234331	0.953058257179038	0.00014508505619686	0.00265850334682947	7.25771958835351	7.95585026332774	6.72494203599803	6.66723413013566	2	2
MvSl-1064-A1-R4_A1g00035	MvSl-1064-A1-R4_A1	MAT	68178	68401	2.27603025962899	1.47671860145982	0.00232830518167293	0.0232614183191063	3.1402173781541	2.46722561081168	1.86675390912355	0.671506004349459	2	2
MvSl-1064-A1-R4_A1g00050	MvSl-1064-A1-R4_A1	MAT	96486	99661	7.34981402264358	-1.04354397879072	9.33728259489151e-05	0.00184642080186797	6.63998101259327	6.82533409435106	7.32438249222398	8.12386786886935	1	1
MvSl-1064-A1-R4_A1g00052	MvSl-1064-A1-R4_A1	MAT	106474	107890	3.33825095923122	1.58021616919764	0.00159160215785661	0.0172430248890209	4.47501946683448	3.04862531664154	2.80697645514029	1.71736088675555	2	2
MvSl-1064-A1-R4_A1g00055	MvSl-1064-A1-R4_A1	MAT	113646	115349	5.30184489307392	-0.83112425760923	0.00207383762028439	0.0211364350825667	4.59516200538271	5.0255451415345	5.52040725859613	5.78194822701378	1	1
MvSl-1064-A1-R4_A1g00069	MvSl-1064-A1-R4_A1	MAT	145335	146902	6.88618837750531	-1.01249983945876	1.55433640089714e-05	0.000415229867096806	6.38135473539564	6.19932050366405	7.03808751717082	7.52974760091878	1	1
MvSl-1064-A1-R4_A1g00073	MvSl-1064-A1-R4_A1	MAT	160618	163050	6.09856427991743	2.02588825583004	0.000689945073286703	0.00906092751207973	7.58749109577156	4.81287654806989	5.06203196303138	4.38001294630827	2	2
MvSl-1064-A1-R4_A1g00074	MvSl-1064-A1-R4_A1	MAT	165329	166779	8.8155428708313	0.818129573086044	0.000765547390002298	0.00972708810753289	9.11064233136411	9.2219675140446	8.34114930281299	8.357619771537	2	2
MvSl-1064-A1-R4_A1g00079	MvSl-1064-A1-R4_A1	MAT	179366	179827	5.90910081593694	-1.0399407369769	1.0163322112892e-05	0.000294359921936354	5.243455458942	5.34937861177245	6.08146308747223	6.55270181128836	1	1
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A1-R4_A1	MAT	186136	186867	0.904101980339724	1.71063200911828	0.000555816054379612	0.00766206682655998	1.64121402660778	1.39998344628951	-0.521335632487566	0.213892726397171	2	2
MvSl-1064-A1-R4_A1g00184	MvSl-1064-A1-R4_A1	MAT	1966448	1967834	6.420044610638	-0.611155979005836	0.00548899716797278	0.0448398420122524	5.94572897327288	6.20648698802613	6.77378327931421	6.6076392851703	1	1
MvSl-1064-A1-R4_A1g00193	MvSl-1064-A1-R4_A1	MAT	1550514	1551842	7.95149141787504	1.2343033333435	4.99384063098889e-08	2.88302128240043e-06	8.3736435859885	8.50441523363485	7.33157778488552	7.06990912003964	2	2
MvSl-1064-A1-R4_A1g00209	MvSl-1064-A1-R4_A1	MAT	380085	382864	5.25315223814025	1.01506437420044	9.90989698571688e-05	0.00193738486070765	5.81696910174634	5.5155408214781	4.69298794135091	4.62748709772718	2	2
MvSl-1064-A1-R4_A1g00246	MvSl-1064-A1-R4_A1	MAT	551158	551514	6.25637581633942	-0.752600799010957	0.000460521284049371	0.00660234014232114	5.75511751131515	5.9037532910809	6.58962901077278	6.57743764460709	1	1
MvSl-1064-A1-R4_A1g00254	MvSl-1064-A1-R4_A1	MAT	667810	671393	6.16134816712528	-2.16855085720261	3.28216442769928e-18	1.17638243362788e-15	4.88644625740953	4.49943095754082	6.6815741343666	7.03620294982888	1	1
MvSl-1064-A1-R4_A1g00270	MvSl-1064-A1-R4_A1	MAT	1111101	1112366	6.36209831936868	0.93342655442273	0.00115355705773517	0.0134093213657269	6.88596570798648	6.61092013217622	5.29134539727031	6.20943045589879	2	2
MvSl-1064-A1-R4_A1g00280	MvSl-1064-A1-R4_A1	MAT	713060	718328	6.92589278004557	-0.641196759835184	0.00238135539514787	0.0236814093746382	6.62382685941162	6.51431805434034	7.34068383312298	7.06797087242323	1	1
MvSl-1064-A1-R4_A1g00281	MvSl-1064-A1-R4_A1	MAT	704230	705173	6.83052792504609	-0.748838840061361	0.00108661409153076	0.0128393604606423	6.5735187221341	6.22212905455398	7.31054556928885	6.9837083365302	1	1
MvSl-1064-A1-R4_A1g00290	MvSl-1064-A1-R4_A1	MAT	407531	411380	7.70776217574767	-1.30494917247023	9.67073181313556e-08	5.28541553618001e-06	6.85861640742938	6.9645666917093	7.92173691139893	8.46211714364482	1	1
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	MAT	1393224	1396199	6.39171404194283	0.954748677657932	6.84624587602296e-06	0.000212604357492958	6.73131680958585	6.84934018576044	5.87042385364085	5.80447395235268	2	2
MvSl-1064-A1-R4_A1g00326	MvSl-1064-A1-R4_A1	MAT	1162650	1164414	2.44453054988456	-11.0959298114163	2.96930360976455e-34	6.38548741279866e-31	-3.68947149152235	-3.68947149152235	3.27702904478574	3.54326762451324	1	1
MvSl-1064-A1-R4_A1g00327	MvSl-1064-A1-R4_A1	MAT	1158935	1161921	4.81445449999352	0.93525137926892	0.00147224387082093	0.016236207406156	4.93051168197867	5.4385072677919	4.24931235227048	4.30036365087365	2	2
MvSl-1064-A1-R4_A1g00359	MvSl-1064-A1-R4_A1	MAT	679143	681507	10.7006727070249	-0.976942830465556	0.00227372828816186	0.022795583606956	10.0416305076294	10.21522777533	11.1711558409135	11.0418370918166	1	1
MvSl-1064-A1-R4_A1g00367	MvSl-1064-A1-R4_A1	MAT	245502	246121	5.34405675249721	0.712333575995919	0.00598516148872923	0.0480264544086277	5.77687792657608	5.52703537774105	4.80437617396306	5.07472230802564	2	2
MvSl-1064-A1-R4_A1g00375	MvSl-1064-A1-R4_A1	MAT	355987	356282	2.99384715687008	5.0786268772223	1.53124412642081e-25	1.31717619754718e-22	3.92043848401964	3.99295557226919	-1.58865369710623	-0.460186878075001	2	2
MvSl-1064-A1-R4_A1g00379	MvSl-1064-A1-R4_A1	MAT	903456	904193	0.621708552316886	3.09605015846789	2.36225725660445e-07	1.15455323416543e-05	1.31708107970532	1.58732207015376	-0.767454586584231	-2.42864006143857	2	2
MvSl-1064-A1-R4_A1g00441	MvSl-1064-A1-R4_A1	MAT	1136196	1138565	6.30945353362184	0.710310439683742	0.00228976716780478	0.0229296591122895	6.36876646511173	6.8355393088283	5.86321994449878	5.95888254665461	2	2
MvSl-1064-A1-R4_A1g00481	MvSl-1064-A1-R4_A1	MAT	641110	646152	2.72025248120621	-1.48662111923526	0.000211714122123672	0.00356392344130691	2.1131451999024	1.41985061330841	3.28783062274411	3.24694747730934	1	1
MvSl-1064-A1-R4_A1g00492	MvSl-1064-A1-R4_A1	MAT	741065	742055	3.24623113410148	2.15896982537408	8.13825488731568e-09	6.14081302988504e-07	4.1845417999528	3.69577920022263	1.80793704361556	1.83873294808394	2	2
MvSl-1064-A1-R4_A1g00495	MvSl-1064-A1-R4_A1	MAT	3171155	3174630	6.46758608923029	2.19063033512604	6.07405184724068e-22	4.01915338384341e-19	7.02830094289455	7.32081845090492	5.01567647974035	4.97233202752242	2	2
MvSl-1064-A1-R4_A1g00513	MvSl-1064-A1-R4_A1	MAT	2082268	2082504	5.9492557370283	0.636356630599167	0.00406934117189331	0.0356308755961676	6.36876646511173	6.08343121879828	5.63798530015278	5.55499999733863	2	2
MvSl-1064-A1-R4_A1g00516	MvSl-1064-A1-R4_A1	MAT	2618847	2620704	7.60395467083862	1.05797537519829	8.40758385371799e-07	3.58029882721199e-05	7.98782221960375	8.08666729517082	7.04447090805844	6.91377435503659	2	2
MvSl-1064-A1-R4_A1g00521	MvSl-1064-A1-R4_A1	MAT	2723676	2724484	8.82704427833755	-0.885114764359528	0.000438519324543906	0.00639346310123166	8.40398395940326	8.22595069389918	9.33260640141227	9.05975823357868	1	1
MvSl-1064-A1-R4_A1g00522	MvSl-1064-A1-R4_A1	MAT	1378554	1381105	1.38055531596718	3.56895299006836	3.08431820959882e-10	3.44562405700896e-08	2.63443903573126	1.82936175776818	-0.68066525738694	-1.59925418323901	2	2
MvSl-1064-A1-R4_A1g00533	MvSl-1064-A1-R4_A1	MAT	1186986	1189109	5.98967539439219	-0.996010270828338	4.11740470342619e-05	0.000954660788648844	5.65775480471818	5.10745629016244	6.39293503725947	6.41126474746951	1	1
MvSl-1064-A1-R4_A1g00541	MvSl-1064-A1-R4_A1	MAT	1207176	1208666	6.77279740899283	-0.778983010904359	0.000406745662233758	0.00602207605255557	6.33637574030726	6.32645988290264	6.92068068547521	7.27704946424684	1	1
