gene	genename	chr	start	end
MvSl-1064-A2-R4_A2g00001	MvSl-1064-A1-R4_A2	MAT	1	405
MvSl-1064-A2-R4_A2g00012	MvSl-1064-A1-R4_A2	MAT	25958	26128
MvSl-1064-A2-R4_A2g00137	MvSl-1064-A1-R4_A2	MAT	318825	319055
MvSl-1064-A2-R4_A2g00138	MvSl-1064-A1-R4_A2	MAT	319144	319700
MvSl-1064-A2-R4_A2g00149	MvSl-1064-A1-R4_A2	MAT	337797	338222
MvSl-1064-A2-R4_A2g00151	MvSl-1064-A1-R4_A2	MAT	340992	341387
MvSl-1064-A2-R4_A2g00152	MvSl-1064-A1-R4_A2	MAT	341812	342213
MvSl-1064-A2-R4_A2g00155	MvSl-1064-A1-R4_A2	MAT	349696	351551
MvSl-1064-A2-R4_A2g00156	MvSl-1064-A1-R4_A2	MAT	352283	352621
MvSl-1064-A2-R4_A2g00159	MvSl-1064-A1-R4_A2	MAT	358917	359140
MvSl-1064-A2-R4_A2g00165	MvSl-1064-A1-R4_A2	MAT	382553	383213
MvSl-1064-A2-R4_A2g00166	MvSl-1064-A1-R4_A2	MAT	383269	384665
MvSl-1064-A2-R4_A2g00167	MvSl-1064-A1-R4_A2	MAT	385448	386018
MvSl-1064-A2-R4_A2g00173	MvSl-1064-A1-R4_A2	MAT	401042	401334
MvSl-1064-A2-R4_A2g00174	MvSl-1064-A1-R4_A2	MAT	401533	401897
MvSl-1064-A2-R4_A2g00175	MvSl-1064-A1-R4_A2	MAT	403800	403973
MvSl-1064-A2-R4_A2g00177	MvSl-1064-A1-R4_A2	MAT	405893	406045
MvSl-1064-A2-R4_A2g00178	MvSl-1064-A1-R4_A2	MAT	406590	407326
MvSl-1064-A2-R4_A2g00180	MvSl-1064-A1-R4_A2	MAT	409620	409842
MvSl-1064-A2-R4_A2g00188	MvSl-1064-A1-R4_A2	MAT	421930	422088
MvSl-1064-A2-R4_A2g00189	MvSl-1064-A1-R4_A2	MAT	422636	426797
MvSl-1064-A2-R4_A2g00190	MvSl-1064-A1-R4_A2	MAT	427011	427244
MvSl-1064-A2-R4_A2g00191	MvSl-1064-A1-R4_A2	MAT	427669	428365
MvSl-1064-A2-R4_A2g00198	MvSl-1064-A1-R4_A2	MAT	444866	445081
MvSl-1064-A2-R4_A2g00212	MvSl-1064-A1-R4_A2	MAT	476809	477301
MvSl-1064-A2-R4_A2g00213	MvSl-1064-A1-R4_A2	MAT	477435	478433
MvSl-1064-A2-R4_A2g00214	MvSl-1064-A1-R4_A2	MAT	478565	478873
MvSl-1064-A2-R4_A2g00219	MvSl-1064-A1-R4_A2	MAT	492996	494714
MvSl-1064-A2-R4_A2g00221	MvSl-1064-A1-R4_A2	MAT	495144	495419
MvSl-1064-A2-R4_A2g00224	MvSl-1064-A1-R4_A2	MAT	497925	498122
MvSl-1064-A2-R4_A2g00228	MvSl-1064-A1-R4_A2	MAT	502881	503519
MvSl-1064-A2-R4_A2g00230	MvSl-1064-A1-R4_A2	MAT	507700	508508
MvSl-1064-A2-R4_A2g00233	MvSl-1064-A1-R4_A2	MAT	510742	511356
MvSl-1064-A2-R4_A2g00234	MvSl-1064-A1-R4_A2	MAT	511659	511943
MvSl-1064-A2-R4_A2g00236	MvSl-1064-A1-R4_A2	MAT	514910	515908
MvSl-1064-A2-R4_A2g00243	MvSl-1064-A1-R4_A2	MAT	529899	530311
MvSl-1064-A2-R4_A2g00244	MvSl-1064-A1-R4_A2	MAT	530396	530787
MvSl-1064-A2-R4_A2g00252	MvSl-1064-A1-R4_A2	MAT	550433	551245
MvSl-1064-A2-R4_A2g00254	MvSl-1064-A1-R4_A2	MAT	552863	554296
MvSl-1064-A2-R4_A2g00257	MvSl-1064-A1-R4_A2	MAT	557446	557871
MvSl-1064-A2-R4_A2g00259	MvSl-1064-A1-R4_A2	MAT	559895	561018
MvSl-1064-A2-R4_A2g00260	MvSl-1064-A1-R4_A2	MAT	561063	561588
