
gid	gname	chr	start	end	logCPM	logFC.MvSl.Mint	PV.MvSl.Mint	FDR.MvSl.Mint
MinSal-1389-A1-17072018_C001g00002	MinSal-1389-A1-17072018_C015	aPR	25638	26183	0.42493858782258	7.60650514314782	2.78911112576134e-11	5.20903641073486e-11
MinSal-1389-A1-17072018_C001g00004	MinSal-1389-A1-17072018_C015	aPR	30839	36021	5.85438908297657	13.7568863580423	1.51440175084228e-70	8.61261494768845e-70
MinSal-1389-A1-17072018_C001g00008	MinSal-1389-A1-17072018_C015	aPR	54490	55212	6.04686212809375	13.9559409456047	2.08756489031118e-136	6.06417134312945e-135
MinSal-1389-A1-17072018_C001g00012	MinSal-1389-A1-17072018_C015	aPR	84906	86107	6.10951315847361	2.32971236874318	4.4493936761993e-27	1.32698072094399e-26
MinSal-1389-A1-17072018_C001g00013	MinSal-1389-A1-17072018_C015	aPR	86554	88560	8.44718578308582	-1.52881732867079	7.0659501611067e-12	1.35423093967394e-11
MinSal-1389-A1-17072018_C001g00014	MinSal-1389-A1-17072018_C015	aPR	89145	91129	4.36525814113052	12.1798048055652	4.81209474311129e-75	2.9247665074541e-74
MinSal-1389-A1-17072018_C001g00015	MinSal-1389-A1-17072018_C015	aPR	94561	95501	4.49329569086779	1.437365438944	2.10400543985846e-07	3.37255510862895e-07
MinSal-1389-A1-17072018_C001g00020	MinSal-1389-A1-17072018_C015	aPR	105692	106714	6.16580792069156	-6.35095648122712	1.23367926764385e-51	5.34804926119786e-51
MinSal-1389-A1-17072018_C001g00022	MinSal-1389-A1-17072018_C015	aPR	118148	121011	6.82512315488521	12.0826913285577	2.83328989966425e-159	2.15257383915517e-157
MinSal-1389-A1-17072018_C001g00027	MinSal-1389-A1-17072018_C015	aPR	121393	123521	4.08086663268379	11.869843252705	5.9979622254567e-68	3.291104087783e-67
MinSal-1389-A1-17072018_C001g00028	MinSal-1389-A1-17072018_C015	aPR	125148	127062	7.22632809994302	1.2264989974266	2.93875948361796e-09	5.09809388170961e-09
MinSal-1389-A1-17072018_C001g00030	MinSal-1389-A1-17072018_C015	aPR	127495	130694	5.81847507460887	-1.04736320197847	2.31444873303825e-06	3.54770387790601e-06
MinSal-1389-A1-17072018_C001g00031	MinSal-1389-A1-17072018_C015	aPR	132712	136451	5.52963296958821	10.745630167475	1.49624809878218e-123	2.43592478939099e-122
MinSal-1389-A1-17072018_C001g00033	MinSal-1389-A1-17072018_C015	aPR	140964	142708	9.49053608311974	6.76966510105713	8.24960988778946e-76	5.08182829470274e-75
MinSal-1389-A1-17072018_C001g00035	MinSal-1389-A1-17072018_C015	aPR	144437	146597	5.3490505683811	2.50361154014995	5.24498772455205e-21	1.35432667780808e-20
MinSal-1389-A1-17072018_C001g00036	MinSal-1389-A1-17072018_C015	aPR	149160	149570	4.96534558916359	9.27076623137413	3.28010587728033e-87	2.3762723018048e-86
MinSal-1389-A1-17072018_C001g00038	MinSal-1389-A1-17072018_C015	aPR	160835	162153	5.63654737658918	2.32662497452941	3.95553554844526e-27	1.1814769989963e-26
MinSal-1389-A1-17072018_C001g00040	MinSal-1389-A1-17072018_C015	aPR	163791	165396	8.41970863027133	-1.22909577369136	7.49251935924676e-09	1.2799270603314e-08
MinSal-1389-A1-17072018_C001g00048	MinSal-1389-A1-17072018_C015	aPR	175242	176924	2.95311132031794	10.6067638045343	7.71251919961203e-41	2.85117833917036e-40
MinSal-1389-A1-17072018_C001g00051	MinSal-1389-A1-17072018_C015	aPR	182146	184370	9.42098882939256	-1.860114118845	1.26930565394209e-11	2.40778018734341e-11
MinSal-1389-A1-17072018_C001g00052	MinSal-1389-A1-17072018_C015	aPR	186614	188421	5.55841204911588	3.30468516908069	7.03564983519436e-51	3.01469710219536e-50
MinSal-1389-A1-17072018_C001g00053	MinSal-1389-A1-17072018_C015	aPR	188795	189826	7.85247783844549	1.51328993391004	5.81134955177991e-14	1.1912160997526e-13
MinSal-1389-A1-17072018_C001g00054	MinSal-1389-A1-17072018_C015	aPR	194019	199220	9.85794154333638	-1.95625482004697	1.11665466714307e-14	2.35910715062026e-14
MinSal-1389-A1-17072018_C001g00056	MinSal-1389-A1-17072018_C015	aPR	203587	206434	6.2956775014535	-1.30149212085767	6.1312373198331e-07	9.62992641328675e-07
MinSal-1389-A1-17072018_C001g00057	MinSal-1389-A1-17072018_C015	aPR	206975	208940	6.16992966648812	1.90063185191482	1.40620261815976e-11	2.66235038824753e-11
MinSal-1389-A1-17072018_C001g00059	MinSal-1389-A1-17072018_C015	aPR	220056	222122	5.04166882132459	12.9049922167623	6.24836561307328e-89	4.68706514216104e-88
MinSal-1389-A1-17072018_C001g00061	MinSal-1389-A1-17072018_C015	aPR	241581	245812	3.09565568184877	10.7693739048555	2.30462463655004e-43	8.80541946885594e-43
MinSal-1389-A1-17072018_C001g00063	MinSal-1389-A1-17072018_C015	aPR	249852	250374	7.00834202925229	-1.02145898918474	1.11050715430464e-06	1.72319072961752e-06
MinSal-1389-A1-17072018_C001g00065	MinSal-1389-A1-17072018_C015	aPR	264466	265628	4.16290195236162	3.05813105314619	6.31476028875386e-15	1.35046082537551e-14
MinSal-1389-A1-17072018_C001g00067	MinSal-1389-A1-17072018_C015	aPR	275536	277060	5.64761971710376	8.47805766958489	3.10317624311711e-111	3.55694824307775e-110
MinSal-1389-A1-17072018_C001g00071	MinSal-1389-A1-17072018_C015	aPR	277587	282872	7.92899662881042	-1.07764761671549	1.88758934658061e-06	2.90089586821491e-06
MinSal-1389-A1-17072018_C001g00075	MinSal-1389-A1-17072018_C015	aPR	283181	284714	4.71856123495661	12.5606345860069	1.42838111412588e-96	1.22320613906213e-95
MinSal-1389-A1-17072018_C001g00077	MinSal-1389-A1-17072018_C010	bHD1	10752	11989	3.44667193091038	11.1672840093018	5.99891024789372e-36	2.05607531110574e-35
