gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	average	ward.D
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A1-R4_A1	aMAT	27672	29826	3.98616664279046	-1.64774375649811	4.11495296597408e-07	1.40154314366982e-05	2.493258972744	3.30078825369322	4.69373574584569	4.47497531445553	2	2
MvSl-1064-A1-R4_A1g00015	MvSl-1064-A1-R4_A1	aMAT	31145	31816	4.72801161640152	-2.42129815562364	1.59357171397158e-15	1.4191088107024e-13	2.60954468742193	3.42623962432429	5.58787459200261	5.36997629425038	2	2
MvSl-1064-A1-R4_A1g00016	MvSl-1064-A1-R4_A1	aMAT	31867	32715	1.82344418248474	-2.67197280147795	1.23824960665251e-09	5.81637136663316e-08	-0.483640272028286	0.457320064403351	2.68388531715752	2.55301780002177	2	2
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A1-R4_A1	aMAT	59218	59891	6.29764882571047	4.98899395461794	1.53997740076395e-87	1.88075239987586e-84	7.41827161579876	7.05964121136966	2.20747876506447	2.36583000547417	1	1
MvSl-1064-A1-R4_A1g00030	MvSl-1064-A1-R4_A1	aMAT	60303	60627	7.93454729909014	2.63788847215524	2.2924051023917e-30	4.35506027118814e-28	8.81209329179489	8.61919494035522	6.14769707093696	6.01448329201422	1	1
MvSl-1064-A1-R4_A1g00073	MvSl-1064-A1-R4_A1	aMAT	160618	163050	5.10382905128224	0.81147763696156	0.00158695535592006	0.0257436078515382	5.2923013869205	5.59407755043043	4.36206762957333	4.8767358548011	1	1
MvSl-1064-A1-R4_A1g00078	MvSl-1064-A1-R4_A1	aMAT	177417	178892	7.16201540510791	-0.993002655877421	8.92291214391023e-05	0.00205611794928002	6.18848928096984	6.89176189406376	7.77115303817944	7.3475236345556	2	2
MvSl-1064-A1-R4_A1g00079	MvSl-1064-A1-R4_A1	aMAT	179366	179827	5.69401412946503	-1.64669364938284	7.76197143549427e-10	3.79183393154517e-08	4.8568971938379	4.41309505253806	5.91206623999416	6.59746900058848	2	2
MvSl-1064-A1-R4_A1g00080	MvSl-1064-A1-R4_A1	aMAT	180716	185718	5.54236932052895	-1.36763053925464	5.03655044246595e-10	2.48887108281164e-08	4.6713379844165	4.74003150136468	5.91079221959651	6.21449043049341	2	2
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A1-R4_A1	aMAT	186136	186867	5.66685649532867	-2.76441324922341	2.80009862243926e-28	4.516611910044e-26	3.89665540798702	3.5061917653231	6.23172691095317	6.67474622312569	2	2
MvSl-1064-A1-R4_A1g00106	MvSl-1064-A1-R4_A1	aMAT	192447	192848	2.22265903912156	1.29735483166464	0.00246113234707512	0.0375718222056164	3.14475494866299	2.08654321364456	1.51836347027561	1.3632787388671	1	1
MvSl-1064-A1-R4_A1g00118	MvSl-1064-A1-R4_A1	aMAT	3139638	3144611	5.10702653496636	1.36697613927196	3.32471815416467e-09	1.45015385203846e-07	5.64959081288064	5.61225764660452	4.31275880581092	4.22247519733351	1	1
MvSl-1064-A1-R4_A1g00154	MvSl-1064-A1-R4_A1	aMAT	2689352	2692677	5.19946069585708	-0.909654782320044	5.38558636105524e-05	0.00128607200560506	4.61401911253811	4.7374854408773	5.67149698447681	5.49121548416506	2	2
MvSl-1064-A1-R4_A1g00165	MvSl-1064-A1-R4_A1	aMAT	621126	622892	7.33489188715089	-0.801032568165435	5.23367002581432e-05	0.00126035619861089	6.8389053479159	6.9201049793159	7.65687162320011	7.70398918271868	2	2
MvSl-1064-A1-R4_A1g00168	MvSl-1064-A1-R4_A1	aMAT	718774	719371	3.59394190252503	-1.4202378459564	8.83658509333722e-05	0.00204172880980919	3.08172169395986	2.26685499785475	3.7935959806095	4.41679926034588	2	2
MvSl-1064-A1-R4_A1g00230	MvSl-1064-A1-R4_A1	aMAT	919803	924298	5.23018708214876	1.40267274639202	2.99108663684044e-09	1.31808245661592e-07	5.83898387705525	5.68541455421515	4.17096423121458	4.53773621090189	1	1
MvSl-1064-A1-R4_A1g00242	MvSl-1064-A1-R4_A1	aMAT	1134595	1135956	5.99403463783324	0.6678946204786	0.000859995372267115	0.0155764839777787	6.26407218436999	6.31283722995468	5.51092533264615	5.7249315087705	1	1
MvSl-1064-A1-R4_A1g00246	MvSl-1064-A1-R4_A1	aMAT	616404	620052	6.80405281572258	1.48992197456472	1.13060173683776e-15	1.02824619661979e-13	7.38112345479167	7.34574924737435	5.83221572180643	5.916858268235	1	1
MvSl-1064-A1-R4_A1g00252	MvSl-1064-A1-R4_A1	aMAT	2519820	2520678	1.4567480416518	-3.1475066999698	5.19616977760014e-12	3.31507876333609e-10	-0.688158539337686	-0.585987385618813	2.39410190620038	2.22036216928639	2	2
MvSl-1064-A1-R4_A1g00254	MvSl-1064-A1-R4_A1	aMAT	651956	657345	4.80555517165565	-1.92950017001683	2.20846681483099e-12	1.51041462399921e-10	3.7823725129679	3.27292783780041	5.29158348878363	5.63050634425473	2	2
MvSl-1064-A1-R4_A1g00269	MvSl-1064-A1-R4_A1	aMAT	1139524	1144406	6.33908560500682	-4.21628927073878	2.18725622014549e-61	1.55823778550198e-58	3.35927118916089	2.69196254812584	7.29173672802049	7.23681672132594	2	2
MvSl-1064-A1-R4_A1g00270	MvSl-1064-A1-R4_A1	aMAT	1136196	1138565	5.48864292419831	-1.16855811383242	2.00969667158768e-07	7.28004103618773e-06	4.95468559929398	4.60966814576209	5.96212592440312	5.95440581670092	2	2
MvSl-1064-A1-R4_A1g00283	MvSl-1064-A1-R4_A1	aMAT	2725136	2725813	4.28142298947611	4.44953500383191	7.82728017948599e-39	2.15856187917502e-36	5.29404034525856	5.11238277655561	0.404087787624521	1.16549432534523	1	1
MvSl-1064-A1-R4_A1g00292	MvSl-1064-A1-R4_A1	aMAT	1153924	1156082	6.88821747553255	-0.906844921508254	6.7352448703391e-06	0.000186341774746048	6.2089121434288	6.50696321250645	7.39785134675229	7.13336645693587	2	2
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	aMAT	1486271	1487768	8.48949485765357	-3.60166226454205	1.64988190532699e-35	3.71180010753696e-33	5.87892646528497	5.66546249250145	9.61360780375223	9.09017905190566	2	2
MvSl-1064-A1-R4_A1g00349	MvSl-1064-A1-R4_A1	aMAT	1701948	1703146	10.8965107662153	2.44834575616446	1.56642264226664e-10	8.58419690303687e-09	11.8623878757916	11.409636702408	9.01343731507342	9.37505607478727	1	1
MvSl-1064-A1-R4_A1g00350	MvSl-1064-A1-R4_A1	aMAT	1608112	1609203	4.67446451475553	0.902069080948187	0.000693618823174126	0.0129753770663361	4.77956537023762	5.28271422132661	4.22527079525823	4.0797976751408	1	1
MvSl-1064-A1-R4_A1g00383	MvSl-1064-A1-R4_A1	aMAT	893809	894012	2.97371681792499	1.95826132639452	1.19120270808464e-06	3.7717007227465e-05	3.88747009338656	3.30767009588491	1.12014188434011	2.11453783113236	1	1
MvSl-1064-A1-R4_A1g00400	MvSl-1064-A1-R4_A1	aMAT	841678	844038	4.78637961169346	-1.08040559519985	0.000158149846147999	0.00340559958367567	4.47376526335435	3.73783785797801	5.07664263948959	5.36613849098836	2	2
MvSl-1064-A1-R4_A1g00448	MvSl-1064-A1-R4_A1	aMAT	3110528	3114459	6.76928868861053	-2.20089345654378	1.52374086162887e-25	2.24594148725262e-23	5.41882781169706	5.14348751061424	7.65077930575648	7.2995338253133	2	2
MvSl-1064-A1-R4_A1g00481	MvSl-1064-A1-R4_A1	aMAT	641110	646152	3.11321304787802	1.42978111118687	1.95531471209882e-05	0.000511192216322105	3.70082299148436	3.58761043403708	1.9540274786094	2.46962928993766	1	1
MvSl-1064-A1-R4_A1g00495	MvSl-1064-A1-R4_A1	aMAT	3171155	3174630	6.45617065152401	-1.95293058806368	1.29661880476677e-23	1.65444688984345e-21	5.14399239788244	5.20559801150318	7.08305515363023	7.16629167857133	2	2
MvSl-1064-A1-R4_A1g00516	MvSl-1064-A1-R4_A1	aMAT	2776699	2777667	8.65981443319341	-0.952952225932099	0.000213002222014643	0.00443054986862088	8.03280864440189	8.17629515283192	9.23284003149639	8.86139484111713	2	2
MvSl-1064-A1-R4_A1g00522	MvSl-1064-A1-R4_A1	aMAT	1399296	1400598	1.37100714270041	-4.65590890937119	1.04357185989427e-16	1.02545929083173e-14	-2.75614320967759	-1.21559769762812	2.45130493876196	2.18594272470428	2	2
MvSl-1064-A1-R4_A1g00542	MvSl-1064-A1-R4_A1	aMAT	1378554	1381105	5.76978382749754	1.13599045279167	4.32647140088927e-08	1.67362009077839e-06	6.25517284888782	6.19808228243351	5.03046474562257	5.15326876041746	1	1
