target_id	length	eff_length	est_counts	meantpm
MvSl-1064-A2-R4_A2g00001	405	126.134	60.8716	7.51391
MvSl-1064-A2-R4_A2g00002	294	64.4006	581.42	133.5
MvSl-1064-A2-R4_A2g00003	4404	4059.84	850.61	4.42868
MvSl-1064-A2-R4_A2g00004	2184	1839.84	1780	15.8144
MvSl-1064-A2-R4_A2g00005	822	481.821	1424	44.6337
MvSl-1064-A2-R4_A2g00006	1342	997.844	3922	60.3257
MvSl-1064-A2-R4_A2g00007	3522	3177.84	4280	21.3569
MvSl-1064-A2-R4_A2g00008	1923	1578.84	4628	38.0905
MvSl-1064-A2-R4_A2g00009	1383	1038.84	3442	45.5459
MvSl-1064-A2-R4_A2g00010	1625	1280.84	69.6127	0.82426
MvSl-1064-A2-R4_A2g00011	678	345.745	44.3303	1.94561
MvSl-1064-A2-R4_A2g00012	171	25.9736	1.66975	0.500228
MvSl-1064-A2-R4_A2g00013	2155	1810.84	1478.39	13.0291
MvSl-1064-A2-R4_A2g00014	672	340.167	172	6.10978
MvSl-1064-A2-R4_A2g00015	849	507.924	217	5.3339
MvSl-1064-A2-R4_A2g00016	168	25.509	27	12.4606
MvSl-1064-A2-R4_A2g00017	2331	1986.84	49	0.490721
MvSl-1064-A2-R4_A2g00018	295	64.7423	0	0
MvSl-1064-A2-R4_A2g00019	1436	1091.84	53.616	0.991602
MvSl-1064-A2-R4_A2g00020	276	57.4234	90.1091	21.2233
MvSl-1064-A2-R4_A2g00021	352	93.5027	397.723	65.9984
MvSl-1064-A2-R4_A2g00022	656	325.642	4.46481	0.252516
MvSl-1064-A2-R4_A2g00023	2126	1781.84	38.4795	0.314293
MvSl-1064-A2-R4_A2g00024	906	563.38	0	0
MvSl-1064-A2-R4_A2g00025	2237	1892.84	32	0.353834
MvSl-1064-A2-R4_A2g00026	5416	5071.84	991.789	3.62038
MvSl-1064-A2-R4_A2g00027	942	598.278	52	1.55543
MvSl-1064-A2-R4_A2g00028	674	341.957	271.301	12.5256
MvSl-1064-A2-R4_A2g00029	325	79.5311	45.7207	8.77462
MvSl-1064-A2-R4_A2g00030	454	159.4	1002.92	98.395
MvSl-1064-A2-R4_A2g00031	1611	1266.84	463	7.16405
MvSl-1064-A2-R4_A2g00032	2678	2333.84	14266	95.0003
MvSl-1064-A2-R4_A2g00033	956	612.219	570	15.129
MvSl-1064-A2-R4_A2g00034	224	40.6492	0	0
MvSl-1064-A2-R4_A2g00035	1386	1041.84	696	9.96268
MvSl-1064-A2-R4_A2g00036	1473	1128.84	887	12.446
MvSl-1064-A2-R4_A2g00037	2592	2247.84	509	3.94102
MvSl-1064-A2-R4_A2g00038	1125	780.844	0	0
MvSl-1064-A2-R4_A2g00039	2917	2572.84	5979	33.7217
MvSl-1064-A2-R4_A2g00040	1696	1351.84	48	0.604934
MvSl-1064-A2-R4_A2g00041	192	31.5615	0	0.502095
MvSl-1064-A2-R4_A2g00042	528	215.483	0	0.0452393
MvSl-1064-A2-R4_A2g00043	560	242.175	22	0.906749
MvSl-1064-A2-R4_A2g00044	1005	660.844	0	0
MvSl-1064-A2-R4_A2g00045	1132	787.844	2	0.0195478
MvSl-1064-A2-R4_A2g00046	1461	1116.84	320	4.3833
MvSl-1064-A2-R4_A2g00047	1270	925.844	693	11.5707
MvSl-1064-A2-R4_A2g00048	1572	1227.84	610	7.95519
MvSl-1064-A2-R4_A2g00049	3176	2831.84	789	4.97452
MvSl-1064-A2-R4_A2g00050	4700	4355.84	1202	4.02536
MvSl-1064-A2-R4_A2g00051	1417	1072.84	2413	30.8237
MvSl-1064-A2-R4_A2g00052	411	129.727	68	6.21275
MvSl-1064-A2-R4_A2g00053	1614	1269.84	2149	25.2592
MvSl-1064-A2-R4_A2g00054	1704	1359.84	161	1.55862
MvSl-1064-A2-R4_A2g00055	1431	1086.84	945	15.8878
MvSl-1064-A2-R4_A2g00056	2299	1954.84	7302	60.165
MvSl-1064-A2-R4_A2g00057	324	78.9861	557	109.067
MvSl-1064-A2-R4_A2g00058	278	58.2617	30	8.42899
MvSl-1064-A2-R4_A2g00059	207	35.86	217	90.0919
MvSl-1064-A2-R4_A2g00060	1553	1208.84	104	1.96682
MvSl-1064-A2-R4_A2g00061	960	616.096	2884	72.1376
MvSl-1064-A2-R4_A2g00062	2790	2445.84	1644.8	10.1383
MvSl-1064-A2-R4_A2g00063	1275	930.844	691	11.7951
MvSl-1064-A2-R4_A2g00064	1154	809.844	7289	136.853
MvSl-1064-A2-R4_A2g00065	2768	2423.84	3061	19.9687
MvSl-1064-A2-R4_A2g00066	701	367.066	6406.2	240.046
MvSl-1064-A2-R4_A2g00067	2196	1851.84	43	0.532913
MvSl-1064-A2-R4_A2g00068	1568	1223.84	32	0.669221
MvSl-1064-A2-R4_A2g00069	4486	4141.84	1315	5.78652
MvSl-1064-A2-R4_A2g00070	2841	2496.84	2773	18.7561
MvSl-1064-A2-R4_A2g00071	1878	1533.84	290	2.98184
MvSl-1064-A2-R4_A2g00072	2433	2088.84	4080	35.9798
MvSl-1064-A2-R4_A2g00073	1451	1106.84	1023	13.3246
MvSl-1064-A2-R4_A2g00074	3085	2740.84	8586	43.5592
MvSl-1064-A2-R4_A2g00075	1898	1553.84	0	0.00534155
MvSl-1064-A2-R4_A2g00076	2705	2360.84	3008	20.5817
MvSl-1064-A2-R4_A2g00077	1476	1131.84	2221	28.8497
MvSl-1064-A2-R4_A2g00078	462	165.091	2517	194.841
MvSl-1064-A2-R4_A2g00079	5002	4657.84	448	1.8298
