gida1	youngold	logFC.A1.A2	abs	DE	DE2	genediff	upk5diff	upk10diff	upk15diff	upk20diff	down5kdiff	down10kdiff	down15kdiff	down20kdiff	ratioprot	ratiocds	intron_nr_diff	intron_mean_diff	intron_total_diff	GC0diff	GC3diff	dn	ds	dnds
MvSl-1064-A1-R4_A1g00004	bPAR	0.093859496	0.093859496	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0.25	1	0	0	0	0	0
MvSl-1064-A1-R4_A1g00005	bPAR	0.061132212	0.061132212	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00006	bPAR	-0.001433167	0.001433167	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00007	bPAR	-0.209759381	0.209759381	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00008	bPAR	-0.432955455	0.432955455	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00009	bPAR	-0.705217973	0.705217973	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00013	bPAR	0.331950936	0.331950936	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00017	bPAR	0.898515206	0.898515206	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00025	bPAR	-0.01122618	0.01122618	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00031	bPAR	0.144288744	0.144288744	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0.1428	1	0	0	0	0	0
MvSl-1064-A1-R4_A1g00032	bPAR	-0.058255452	0.058255452	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
