gida2	cdsa2	prota2	reversecdsa2	cdsa2expest	bPARt8	youngold	DE	haploid
MvSl-1064-A2-R4_A2g00002	294	97	291	1.010309278	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g01827	3933	1310	3930	1.000763359	bPAR	bPAR	Up	A2
MvSl-1064-A2-R4_A2g00004	1884	627	1881	1.001594896	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00005	822	273	819	1.003663004	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00006	417	138	414	1.007246377	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00007	3006	1001	3003	1.000999001	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00008	1668	555	1665	1.001801802	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00009	1140	379	1137	1.002638522	bPAR	bPAR	Up	A2
MvSl-1064-A2-R4_A2g00010	1014	337	1011	1.002967359	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00011	543	180	540	1.005555556	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00013	1701	566	1698	1.001766784	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00014	450	149	447	1.006711409	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00015	765	254	762	1.003937008	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00016	168	55	165	1.018181818	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00017	1632	543	1629	1.001841621	bPAR	bPAR	Down	A2
MvSl-1064-A2-R4_A2g00019	786	261	783	1.003831418	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00020	276	91	273	1.010989011	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00021	210	69	207	1.014492754	bPAR	bPAR	Up	A2
MvSl-1064-A2-R4_A2g00023	1314	437	1311	1.00228833	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00025	1623	540	1620	1.001851852	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00026	4218	1405	4215	1.000711744	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00027	942	313	939	1.003194888	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00028	504	167	501	1.005988024	bPAR	bPAR	Down	A2
MvSl-1064-A2-R4_A2g00029	171	56	168	1.017857143	bPAR	bPAR	Up	A2
MvSl-1064-A2-R4_A2g00030	369	122	366	1.008196721	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00031	957	318	954	1.003144654	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00032	1554	517	1551	1.001934236	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00033	801	266	798	1.003759398	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00035	1386	461	1383	1.002169197	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00036	1194	397	1191	1.002518892	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00037	2421	806	2418	1.001240695	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00039	1836	611	1833	1.001636661	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00040	1083	360	1080	1.002777778	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00046	879	292	876	1.003424658	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00047	900	299	897	1.003344482	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00048	1572	523	1569	1.001912046	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00049	2622	873	2619	1.001145475	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00050	4482	1493	4479	1.000669792	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00051	1077	358	1074	1.002793296	bPAR	bPAR	Up	A2
MvSl-1064-A2-R4_A2g00052	231	76	228	1.013157895	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00053	1257	418	1254	1.002392344	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00054	1167	388	1164	1.00257732	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00055	1287	428	1284	1.002336449	bPAR	bPAR	Down	A2
MvSl-1064-A2-R4_A2g00056	1731	576	1728	1.001736111	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00057	324	107	321	1.009345794	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00058	150	49	147	1.020408163	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00059	207	68	204	1.014705882	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00060	954	317	951	1.003154574	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00061	660	219	657	1.00456621	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00062	2145	714	2142	1.00140056	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00063	951	316	948	1.003164557	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00064	699	232	696	1.004310345	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00065	1950	649	1947	1.001540832	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00066	555	184	552	1.005434783	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00067	1356	451	1353	1.002217295	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00068	1194	397	1191	1.002518892	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00069	4290	1429	4287	1.00069979	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00070	2757	918	2754	1.001089325	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00071	1488	495	1485	1.002020202	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00072	1992	663	1989	1.001508296	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00073	1128	375	1125	1.002666667	bPAR	bPAR	Down	A2
MvSl-1064-A2-R4_A2g00074	1842	613	1839	1.001631321	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00076	2580	859	2577	1.001164144	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00077	1383	460	1380	1.002173913	bPAR	bPAR	NON	A2
MvSl-1064-A2-R4_A2g00078	462	153	459	1.006535948	bPAR	bPAR	Up	A2
MvSl-1064-A2-R4_A2g00079	4167	1388	4164	1.000720461	bPAR	bPAR	Up	A2
MvSl-1064-A2-R4_A2g00080	456	151	453	1.006622517	bPAR	bPAR	Up	A2
MvSl-1064-A2-R4_A2g00081	1092	363	1089	1.002754821	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00116	1359	452	1356	1.002212389	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00117	1335	444	1332	1.002252252	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00118	168	55	165	1.018181818	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00119	705	234	702	1.004273504	Green	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00120	2571	856	2568	1.001168224	Green	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00122	342	113	339	1.008849558	Green	ColorStrata	Down	A2
MvSl-1064-A2-R4_A2g00123	2700	899	2697	1.001112347	Green	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g01692	702	233	699	1.004291845	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00240	1593	530	1590	1.001886792	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00759	483	160	480	1.00625	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01431	4020	1339	4017	1.000746826	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01432	663	220	660	1.004545455	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01433	1527	508	1524	1.001968504	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01041	240	79	237	1.012658228	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00290	2715	904	2712	1.001106195	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01447	1920	639	1917	1.001564945	Purple	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01227	264	87	261	1.011494253	Purple	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00443	2781	926	2778	1.001079914	Purple	OldStrata	NON	A2
