gene	chr	start	end	geneID	intronnr	intronmean	introntotal
MvSl-1064-A1-R4_A1	Black	189800	189991	MvSl-1064-A1-R4_A1g00082	1	0	0
MvSl-1064-A1-R4_A1	Black	194423	196672	MvSl-1064-A1-R4_A1g00086	3	71	213
MvSl-1064-A1-R4_A1	Black	196814	206310	MvSl-1064-A1-R4_A1g00087	5	112	560
MvSl-1064-A1-R4_A1	Black	206579	207529	MvSl-1064-A1-R4_A1g00088	2	91.5	183
MvSl-1064-A1-R4_A1	Black	208193	208398	MvSl-1064-A1-R4_A1g00089	1	74	74
MvSl-1064-A1-R4_A1	Black	209408	209716	MvSl-1064-A1-R4_A1g00090	1	60	60
MvSl-1064-A1-R4_A1	Black	213824	214246	MvSl-1064-A1-R4_A1g00093	1	0	0
MvSl-1064-A1-R4_A1	Black	215113	216890	MvSl-1064-A1-R4_A1g00094	9	82.8889	746
MvSl-1064-A1-R4_A1	Black	217252	218206	MvSl-1064-A1-R4_A1g00095	1	499	499
MvSl-1064-A1-R4_A1	Black	218396	218626	MvSl-1064-A1-R4_A1g00096	1	0	0
MvSl-1064-A1-R4_A1	Black	218735	219895	MvSl-1064-A1-R4_A1g00097	3	40	120
MvSl-1064-A1-R4_A1	Black	220339	223389	MvSl-1064-A1-R4_A1g00099	5	76.8	384
MvSl-1064-A1-R4_A1	Black	223637	223887	MvSl-1064-A1-R4_A1g00100	1	95	95
MvSl-1064-A1-R4_A1	Black	224546	224905	MvSl-1064-A1-R4_A1g00101	1	0	0
MvSl-1064-A1-R4_A1	Black	226869	229344	MvSl-1064-A1-R4_A1g00103	11	91.1818	1003
MvSl-1064-A1-R4_A1	Black	231277	231462	MvSl-1064-A1-R4_A1g00105	1	0	0
MvSl-1064-A1-R4_A1	Black	258422	259176	MvSl-1064-A1-R4_A1g00114	3	71.6667	215
MvSl-1064-A1-R4_A1	Black	259820	262222	MvSl-1064-A1-R4_A1g00115	1	0	0
MvSl-1064-A1-R4_A1	Black	267885	268632	MvSl-1064-A1-R4_A1g00117	1	244	244
MvSl-1064-A1-R4_A1	Black	271059	271223	MvSl-1064-A1-R4_A1g00119	1	0	0
MvSl-1064-A1-R4_A1	Black	274757	275079	MvSl-1064-A1-R4_A1g00121	1	116	116
MvSl-1064-A1-R4_A1	Black	275838	281478	MvSl-1064-A1-R4_A1g00122	7	103.429	724
MvSl-1064-A1-R4_A1	Black	281578	282184	MvSl-1064-A1-R4_A1g00123	2	59	118
MvSl-1064-A1-R4_A1	Black	282374	283117	MvSl-1064-A1-R4_A1g00124	4	81	324
MvSl-1064-A1-R4_A1	Black	283790	285460	MvSl-1064-A1-R4_A1g00125	7	61.7143	432
MvSl-1064-A1-R4_A1	Black	287412	287603	MvSl-1064-A1-R4_A1g00127	1	0	0
MvSl-1064-A1-R4_A1	Black	288247	288456	MvSl-1064-A1-R4_A1g00128	1	45	45
MvSl-1064-A1-R4_A1	Black	289420	289967	MvSl-1064-A1-R4_A1g00129	1	41	41
MvSl-1064-A1-R4_A1	Black	292914	293328	MvSl-1064-A1-R4_A1g00131	1	268	268
MvSl-1064-A1-R4_A1	Black	295620	298334	MvSl-1064-A1-R4_A1g00132	1	54	54
MvSl-1064-A1-R4_A1	Black	298579	298914	MvSl-1064-A1-R4_A1g00133	1	0	0
MvSl-1064-A1-R4_A1	Black	299996	302079	MvSl-1064-A1-R4_A1g00134	5	67.6	338
MvSl-1064-A1-R4_A1	Black	302447	302932	MvSl-1064-A1-R4_A1g00135	2	105	210
MvSl-1064-A1-R4_A1	Black	303034	307854	MvSl-1064-A1-R4_A1g00136	8	72.375	579
MvSl-1064-A1-R4_A1	Black	308387	308539	MvSl-1064-A1-R4_A1g00137	1	0	0
MvSl-1064-A1-R4_A1	Black	309330	310429	MvSl-1064-A1-R4_A1g00138	3	86.6667	260
MvSl-1064-A1-R4_A1	Black	311724	312921	MvSl-1064-A1-R4_A1g00139	3	70.3333	211
MvSl-1064-A1-R4_A1	Black	312988	313287	MvSl-1064-A1-R4_A1g00140	1	0	0
MvSl-1064-A1-R4_A1	Black	313934	314431	MvSl-1064-A1-R4_A1g00141	1	0	0
MvSl-1064-A1-R4_A1	Black	315482	317317	MvSl-1064-A1-R4_A1g00142	4	75.75	303
MvSl-1064-A1-R4_A1	Black	318003	319299	MvSl-1064-A1-R4_A1g00143	5	62.6	313
MvSl-1064-A1-R4_A1	Black	321322	321920	MvSl-1064-A1-R4_A1g00145	2	113.5	227
MvSl-1064-A1-R4_A1	Black	322032	322722	MvSl-1064-A1-R4_A1g00146	2	110	220
MvSl-1064-A1-R4_A1	Black	324216	324750	MvSl-1064-A1-R4_A1g00147	1	169	169
MvSl-1064-A1-R4_A1	Black	324832	325195	MvSl-1064-A1-R4_A1g00148	2	51.5	103
MvSl-1064-A1-R4_A1	Black	325754	328502	MvSl-1064-A1-R4_A1g00149	6	84.1667	505
MvSl-1064-A1-R4_A1	Black	331571	333481	MvSl-1064-A1-R4_A1g00151	5	71.4	357
