gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A1-R4_A1	aMAT	186136	186867	5.51284121082702	2.86252310336993	2.20105451890859e-28	8.16958068934906e-26
MvSl-1064-A1-R4_A1g00107	MvSl-1064-A1-R4_A1	aMAT	220047	220241	1.20679886961333	2.47124817063347	4.46774641333308e-08	3.52200752654611e-06
MvSl-1064-A1-R4_A1g00641	MvSl-1064-A1-R4_A1	aMAT	545893	546933	3.22292308471278	2.24131478981213	1.02056642996482e-10	1.09532599495502e-08
MvSl-1064-A1-R4_A1g01282	MvSl-1064-A1-R4_A1	aMAT	817323	819348	2.37841757599337	-6.17656711296061	1.16413738401927e-30	4.93815991278267e-28
MvSl-1064-A1-R4_A1g01038	MvSl-1064-A1-R4_A1	aMAT	919803	924298	8.08640611884476	-2.44804904424862	9.51102765140922e-15	1.54044062397733e-12
MvSl-1064-A1-R4_A1g00635	MvSl-1064-A1-R4_A1	aMAT	1091186	1095689	3.80338654010994	3.59765044110069	4.99268363673601e-20	1.17039015358012e-17
MvSl-1064-A1-R4_A1g00326	MvSl-1064-A1-R4_A1	aMAT	1162650	1164414	4.17920072782698	-12.5204325936974	1.26421155940148e-71	3.75386552371612e-68
MvSl-1064-A1-R4_A1g01136	MvSl-1064-A1-R4_A1	aMAT	1164814	1164982	3.70277387921649	3.95083490661759	9.00775613754826e-25	2.86575327404571e-22
MvSl-1064-A1-R4_A1g01162	MvSl-1064-A1-R4_A1	aMAT	1176877	1180058	3.00531525336697	-5.46680016060322	8.18805696548998e-32	3.83890586571499e-29
MvSl-1064-A1-R4_A1g01163	MvSl-1064-A1-R4_A1	aMAT	1183296	1185232	3.95701026938193	-3.61809830778806	9.11110565122727e-29	3.52877083222316e-26
MvSl-1064-A1-R4_A1g00522	MvSl-1064-A1-R4_A1	aMAT	1378554	1381105	1.32646367499525	4.65808951563058	1.93352131282216e-16	3.82751285658218e-14
MvSl-1064-A1-R4_A1g00668	MvSl-1064-A1-R4_A1	aMAT	1389234	1391759	6.33471636159406	5.49597304172742	3.46999071144897e-104	3.09106772575875e-100
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	aMAT	1393224	1396199	8.46395048836884	3.50629370671791	2.51415739202452e-34	1.31741847342085e-31
MvSl-1064-A1-R4_A1g00835	MvSl-1064-A1-R4_A1	aMAT	1637608	1638887	4.36863237224011	-4.21139954916937	3.97433101701167e-38	2.52881004996714e-35
MvSl-1064-A1-R4_A1g00163	MvSl-1064-A1-R4_A1	aMAT	1648933	1652928	1.64038219865471	2.30698618271007	2.18099937285196e-08	1.78241673517113e-06
MvSl-1064-A1-R4_A1g00997	MvSl-1064-A1-R4_A1	aMAT	1790347	1792433	6.06799219365409	2.95453030625525	2.19184852993067e-42	1.95249867046224e-39
MvSl-1064-A1-R4_A1g01045	MvSl-1064-A1-R4_A1	aMAT	1907815	1909744	2.20391123660666	-2.98502790641293	2.71660193138114e-09	2.49479278399414e-07
MvSl-1064-A1-R4_A1g00804	MvSl-1064-A1-R4_A1	aMAT	2194410	2199254	1.84473529380773	-2.26732739470134	2.44026590017403e-07	1.72898409367985e-05
MvSl-1064-A1-R4_A1g01220	MvSl-1064-A1-R4_A1	aMAT	2515006	2516109	7.58838563419469	-3.43352633686467	1.96374698663353e-53	2.91550969282192e-50
MvSl-1064-A1-R4_A1g01261	MvSl-1064-A1-R4_A1	aMAT	2570487	2572532	10.6590402717022	2.08306420383073	5.53475788500043e-09	4.78675953782367e-07
MvSl-1064-A1-R4_A1g00453	MvSl-1064-A1-R4_A1	aMAT	3104710	3107087	2.16297766508773	-5.47778835800836	1.6869171556785e-25	5.5655770454756e-23
MvSl-1064-A1-R4_A1g00929	MvSl-1064-A1-R4_A1	aMAT	3107476	3107769	0.230060429100657	-2.77792479696371	3.21959080171715e-06	0.000195102822188411
MvSl-1064-A1-R4_A1g00495	MvSl-1064-A1-R4_A1	aMAT	3171155	3174630	6.93623921266344	2.06770355586782	6.85813211534681e-27	2.44368963534037e-24
MvSl-1064-A1-R4_MC06g07033	MvSl-1064-A1-R4_MC01-2	Chr01	21439	22441	2.48002249381531	2.93518343902903	1.14787471588328e-13	1.67627343755545e-11
MvSl-1064-A1-R4_MC01-1g01970	MvSl-1064-A1-R4_MC01-2	Chr01	376307	376829	7.86710243819696	-2.96653364616295	4.38379468177905e-33	2.16949127918265e-30
MvSl-1064-A1-R4_MC01-1g02598	MvSl-1064-A1-R4_MC01-1	Chr01	1729784	1733845	0.810405328673993	2.02519603590215	9.47661575559314e-05	0.00419988523138426
MvSl-1064-A1-R4_MC01-1g02734	MvSl-1064-A1-R4_MC01-1	Chr01	2039963	2041115	4.32442493091892	-2.26729113351253	3.90283504236263e-16	7.55792490377528e-14
MvSl-1064-A1-R4_MC01-1g02827	MvSl-1064-A1-R4_MC01-1	Chr01	2277804	2277986	0.0905937829501477	-3.39796682963831	2.87112052598481e-07	2.01385367287186e-05
MvSl-1064-A1-R4_MC01-1g02869	MvSl-1064-A1-R4_MC01-1	Chr01	2388232	2388937	0.07272950114524	5.23662639047278	4.83357809934623e-11	5.31574243320694e-09
MvSl-1064-A1-R4_MC01-1g02870	MvSl-1064-A1-R4_MC01-1	Chr01	2389164	2391367	0.366746629900975	3.4212633127282	2.62188381382486e-08	2.12324918305017e-06
MvSl-1064-A1-R4_MC01-1g02885	MvSl-1064-A1-R4_MC01-1	Chr01	2421729	2423505	0.806835190097972	-9.03658320902751	5.65635928341773e-19	1.29197047427398e-16
MvSl-1064-A1-R4_MC01-1g02924	MvSl-1064-A1-R4_MC01-1	Chr01	2461947	2463297	0.0772707345686375	-2.59060492596248	0.000107692791755228	0.00461215090844023
MvSl-1064-A1-R4_MC01-1g02916	MvSl-1064-A1-R4_MC01-1	Chr01	2469795	2471672	2.60045185305364	-10.9138206003004	5.38141155915489e-29	2.17898246222508e-26
MvSl-1064-A1-R4_MC01-1g02912	MvSl-1064-A1-R4_MC01-1	Chr01	2476117	2477982	1.92590602962338	-3.20888345680154	1.1346596253614e-12	1.46486202068396e-10
MvSl-1064-A1-R4_MC01-2g02970	MvSl-1064-A1-R4_MC01-1	Chr01	2555812	2558089	5.41836888190416	-6.83440400651521	1.15963002382813e-52	1.47571203603729e-49
MvSl-1064-A1-R4_MC01-2g03006	MvSl-1064-A1-R4_MC01-1	Chr01	2638903	2639454	3.43230221553992	-7.96272439935848	9.74821317625545e-49	1.08546353717604e-45
MvSl-1064-A1-R4_MC01-2g03166	MvSl-1064-A1-R4_MC02	Chr02	46893	50202	1.42137745156142	3.8248128880543	2.59519558359268e-13	3.61218785291306e-11
MvSl-1064-A1-R4_MC02g03498	MvSl-1064-A1-R4_MC02	Chr02	834046	835876	5.00687960567996	2.37714819502237	1.91194699599765e-10	2.02757426670798e-08
MvSl-1064-A1-R4_MC03g04539	MvSl-1064-A1-R4_MC03	Chr03	736466	738274	2.05802851904078	-2.03283190501821	1.84145525350203e-05	0.00100636094467461
MvSl-1064-A1-R4_MC03g04807	MvSl-1064-A1-R4_MC03	Chr03	1389676	1391164	2.90437815329819	2.13155799551768	1.62211871539175e-09	1.55374553943115e-07
MvSl-1064-A1-R4_MC03g04879	MvSl-1064-A1-R4_MC03	Chr03	1585502	1587550	0.34631772816736	-2.24965584712505	7.61083415821415e-05	0.00351281402494154
MvSl-1064-A1-R4_MC03g04909	MvSl-1064-A1-R4_MC03	Chr03	1648424	1649875	3.5513572971372	-2.16262536947299	4.49931880474783e-12	5.27367525167023e-10
MvSl-1064-A1-R4_MC03g04959	MvSl-1064-A1-R4_MC03	Chr03	1761110	1762028	0.290750032625851	-2.18582739065084	8.69313259968823e-05	0.00393088452781841
MvSl-1064-A1-R4_MC03g05070	MvSl-1064-A1-R4_MC03	Chr03	2033734	2033925	1.10196274425685	-2.33222653756924	0.000763569529691406	0.02378278800871
MvSl-1064-A1-R4_MC03g05222	MvSl-1064-A1-R4_MC03	Chr03	2406369	2407408	4.2605609553395	-2.47305347486191	1.56814425285042e-17	3.24861139637012e-15
MvSl-1064-A1-R4_MC04-1g05282	MvSl-1064-A1-R4_MC04-1	Chr04	49616	50221	0.32171577137927	-5.21727398980531	2.69482742010725e-12	3.28842776141306e-10
MvSl-1064-A1-R4_MC04-1g05292	MvSl-1064-A1-R4_MC04-2	Chr04	61568	64875	7.08702672493374	-5.89465634173644	3.67939152451409e-79	1.63880098501858e-75
MvSl-1064-A1-R4_MC04-1g05411	MvSl-1064-A1-R4_MC04-1	Chr04	343240	347427	3.43040339875864	3.87394131480699	7.00868373706185e-23	2.01397918483055e-20
MvSl-1064-A1-R4_MC04-1g05424	MvSl-1064-A1-R4_MC04-1	Chr04	385667	389100	0.734257353571477	-2.02384575212826	3.31474748916588e-05	0.00167771424053919
