gid	gname	chr	start	end	logCPM	logFC.XY23.XX23	PV.XY23.XX23	FDR.XY23.XX23	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00002	MvSl-1064-A1-R4_A1	MAT	1057	1350	4.29831380346399	-0.752633015548309	0.0114026429734542	0.0780843205802316	4.7763764805392	4.46159493852798	3.99296459895526	3.75082023016563
MvSl-1064-A1-R4_A1g00003	MvSl-1064-A1-R4_A1	MAT	3408016	3408225	3.52690917567098	-1.56618337384066	0.000334200376372694	0.00511528761131301	4.55720225211329	3.471428682398	2.05556128242121	2.92932827318415
MvSl-1064-A1-R4_A1g00004	MvSl-1064-A1-R4_A1	MAT	2563	6967	7.27062819980861	-0.0302854459934928	0.886830571909118	0.96514632838591	7.13374392794744	7.42279296066278	7.32405457925999	7.18347349841645
MvSl-1064-A1-R4_A1g00005	MvSl-1064-A1-R4_A1	MAT	7783	9967	6.22571596114189	-0.0579965518045631	0.791630857044374	0.930506179619185	6.08665927588197	6.40393886959285	6.21549665865915	6.1774269127359
MvSl-1064-A1-R4_A1g00006	MvSl-1064-A1-R4_A1	MAT	10297	11118	9.01873556367914	-0.137393905853279	0.606434425901234	0.836341769836213	8.84022047011277	9.29547241872135	9.01497379616235	8.87866115516806
MvSl-1064-A1-R4_A1g00007	MvSl-1064-A1-R4_A1	MAT	11416	12757	7.43835116752203	-0.185661880222674	0.375557965192951	0.68040219389001	7.55896254353323	7.49685325634734	7.33678827675333	7.34841086301851
MvSl-1064-A1-R4_A1g00008	MvSl-1064-A1-R4_A1	MAT	13778	17299	6.84764105211966	-0.0789033701665667	0.702186596208728	0.887195214024849	6.91684717124896	6.85573569168896	6.78240176092167	6.83253427158246
MvSl-1064-A1-R4_A1g00009	MvSl-1064-A1-R4_A1	MAT	17742	19664	7.25796208857085	-0.367214705522732	0.127404944158123	0.389182290358018	7.08429726093517	7.70800719449593	7.09223719319815	7.03302708481917
MvSl-1064-A1-R4_A1g00010	MvSl-1064-A1-R4_A1	MAT	21256	22638	3.41267879027132	-1.23654272656974	0.000955532142549422	0.0115604606050775	3.43888062234119	4.24761128004807	2.63998447076648	2.70824310838794
MvSl-1064-A1-R4_A1g00011	MvSl-1064-A1-R4_A1	MAT	23065	24689	1.86262912381209	-1.15937542459905	0.00669547767256036	0.05259771592636	2.14499218185157	2.48619396379177	1.10682149467508	1.27649701385765
MvSl-1064-A1-R4_A1g00013	MvSl-1064-A1-R4_A1	MAT	25010	25687	6.50983992081268	-0.16016499915184	0.568831292408125	0.810919253777709	6.97780074808229	6.05353981221601	6.38226522559878	6.47174391655039
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A1-R4_A1	MAT	27672	29826	3.24957350859923	-3.08193560009518	4.06030383253907e-06	0.000133818902557475	4.81895132414849	2.62958011826702	1.6326139977736	0.121227456922805
MvSl-1064-A1-R4_A1g00015	MvSl-1064-A1-R4_A1	MAT	31145	31816	3.1799871066348	-3.12488595971769	4.50154275545816e-05	0.00102169579900926	4.79154677268658	2.38875533409367	1.68258074528649	-0.533628019666725
MvSl-1064-A1-R4_A1g00016	MvSl-1064-A1-R4_A1	MAT	31867	32715	0.689196350549535	-3.04083066560822	4.36141194202592e-05	0.000997788976736887	2.2066516700451	0.402345984832044	-0.59880203865081	-2.42864006143857
MvSl-1064-A1-R4_A1g00017	MvSl-1064-A1-R4_A1	MAT	32832	32999	1.43969976249863	-0.19399352740223	0.659697977718127	0.867115123234981	1.74875856982329	1.29632407780084	1.39353958151089	1.29782375141193
MvSl-1064-A1-R4_A1g00021	MvSl-1064-A1-R4_A1	MAT	39845	40120	2.81807320576953	-3.12038893912181	4.4229708321535e-12	6.67480615757622e-10	4.00529968471731	3.23958007161414	0.839525360127561	0.342604511755311
MvSl-1064-A1-R4_A1g00023	MvSl-1064-A1-R4_A1	MAT	41703	42358	0.874415778920673	0.235738464027248	0.662512059983509	0.868918742969201	1.26005617628976	0.0411241924608008	1.33225031868038	0.534487595579518
MvSl-1064-A1-R4_A1g00026	MvSl-1064-A1-R4_A1	MAT	46588	48824	4.81716965364535	-0.149508245737361	0.58212213111835	0.820010509056438	4.87224651327909	4.90738006878928	4.74290432387992	4.73888514322746
MvSl-1064-A1-R4_A1g00027	MvSl-1064-A1-R4_A1	MAT	50171	55586	2.06291492646401	-1.5513923862645	0.000194689177609519	0.00334943261159416	2.77336413869415	2.50491615649601	1.13101700105384	1.11767054331792
MvSl-1064-A1-R4_A1g00028	MvSl-1064-A1-R4_A1	MAT	56765	57706	2.2264449335326	0.25744260835647	0.573242212723186	0.814399066345881	2.51765747234678	1.51527876962569	2.01713085380236	2.61786466969544
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A1-R4_A1	MAT	59218	59891	3.69892721906666	-1.76196699277755	1.99647317851282e-07	9.92697241709091e-06	4.0564334081161	4.55213857753213	2.59720388163217	2.55725595172505
MvSl-1064-A1-R4_A1g00030	MvSl-1064-A1-R4_A1	MAT	60303	60627	7.24965149234331	-0.953058257179038	0.00014508505619686	0.00265850334682947	7.25771958835351	7.95585026332774	6.72494203599803	6.66723413013566
MvSl-1064-A1-R4_A1g00032	MvSl-1064-A1-R4_A1	MAT	61566	63177	8.79403692510746	0.22458719303624	0.350276255796963	0.655580734131917	8.63826601573331	8.71542132133699	8.9100818765118	8.89373101756127
MvSl-1064-A1-R4_A1g00033	MvSl-1064-A1-R4_A1	MAT	63513	66190	3.55314046874739	0.470648178460166	0.164483839913545	0.444894190615509	3.52611471769499	3.03580800953578	3.63944495670791	3.88369491410213
MvSl-1064-A1-R4_A1g00035	MvSl-1064-A1-R4_A1	MAT	68178	68401	2.27603025962899	-1.47671860145982	0.00232830518167293	0.0232614183191063	3.1402173781541	2.46722561081168	1.86675390912355	0.671506004349459
MvSl-1064-A1-R4_A1g00036	MvSl-1064-A1-R4_A1	MAT	68795	70180	5.14295279545495	0.151737165642764	0.553568255005282	0.80180789413005	5.03406109294005	5.0951533305634	5.23803920470214	5.19468928088737
MvSl-1064-A1-R4_A1g00037	MvSl-1064-A1-R4_A1	MAT	71408	72880	6.02144693749123	0.165841013870381	0.440992558509861	0.728662694641149	5.90910472743163	5.96250171921407	6.01719616531222	6.18173529351413
MvSl-1064-A1-R4_A1g00039	MvSl-1064-A1-R4_A1	MAT	77299	78423	7.06859782902312	-0.339926363604084	0.0981008652334352	0.332541578217507	7.17626393948758	7.27894115090486	6.99176945627797	6.77808909545238
MvSl-1064-A1-R4_A1g00046	MvSl-1064-A1-R4_A1	MAT	89113	90244	2.509226289775	-0.020961803919628	0.957748326784546	0.987746760769	2.79359786193836	2.19483984402477	2.39225922309044	2.60080614365105
MvSl-1064-A1-R4_A1g00047	MvSl-1064-A1-R4_A1	MAT	90443	91903	5.49969270614435	-0.525512695568333	0.0353665296794215	0.172657711862874	5.53392948395312	5.91691971614163	5.17834048729408	5.24907661264569
MvSl-1064-A1-R4_A1g00048	MvSl-1064-A1-R4_A1	MAT	92386	93655	4.57786302704145	-0.0217489446424559	0.94041074908636	0.982429227847579	4.7865077122461	4.36242173863648	4.45017907922779	4.67512231344434
MvSl-1064-A1-R4_A1g00049	MvSl-1064-A1-R4_A1	MAT	94248	95819	5.3821009278656	0.48633184439867	0.0485011817331098	0.212899396247832	5.15238016294796	5.08430149794404	5.5112190232871	5.69117959830601
MvSl-1064-A1-R4_A1g00050	MvSl-1064-A1-R4_A1	MAT	96486	99661	7.34981402264358	1.04354397879072	9.33728259489151e-05	0.00184642080186797	6.63998101259327	6.82533409435106	7.32438249222398	8.12386786886935
MvSl-1064-A1-R4_A1g00051	MvSl-1064-A1-R4_A1	MAT	101324	106023	7.31772584233313	-0.288093495145266	0.187122251019503	0.475798286511901	7.24996094951801	7.63339678979572	7.19837843674035	7.1343064201255
MvSl-1064-A1-R4_A1g00052	MvSl-1064-A1-R4_A1	MAT	106474	107890	3.33825095923122	-1.58021616919764	0.00159160215785661	0.0172430248890209	4.47501946683448	3.04862531664154	2.80697645514029	1.71736088675555
