gida1	Up 	up5k	part8	youngold	haploid	DE
MvSl-1064-A1-R4_A1g00326	k5 	2	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC01-1g02885	k5 	3	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-2g03006	k5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00642	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_A1g01021	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC15g12148	k5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-2g02970	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01282	k5	2	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC09-2g09067	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01162	k5	0	Blue	OldStrata	A1	Down
MvSl-1064-A1-R4_MC04-1g05282	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10576	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00546	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC06g07138	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00230	k5	1	Purple	OldStrata	A1	Down
MvSl-1064-A1-R4_A1g00835	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC07g07961	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-1g06209	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01049	k5	3	Centro	Centro	A1	Down
MvSl-1064-A1-R4_MC04-1g05826	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01163	k5	0	Blue	OldStrata	A1	Down
MvSl-1064-A1-R4_A1g01220	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC11g10730	k5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02827	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02912	k5	7	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC09-2g09566	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g01970	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00349	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_A1g00745	k5	2	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC01-1g02924	k5	8	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g05222	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g06069	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10575	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-3g06760	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g05070	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10346	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02734	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04879	k5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04959	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04909	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10627	k5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC07g08004	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04539	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10630	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-2g06412	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02787	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10628	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00959	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC07g08249	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC08g08369	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03891	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-2g09886	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10654	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC14g11804	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-1g09730	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-2g06485	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01515	k5	1	bPAR	bPAR	A1	Down
MvSl-1064-A1-R4_MC11g10722	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC09-2g09541	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC12g11112	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03606	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00956	k5	1	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC02g03274	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC08g08835	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10629	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03373	k5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10255	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC06g07178	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10508	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g06004	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11715	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-2g06461	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02725	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC12g10779	k5	3	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02046	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11418	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01358	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC01-1g02422	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g04206	k5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC06g07471	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05801	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC07g07851	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10231	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05858	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g04109	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC09-2g09380	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g06041	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11416	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02753	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03922	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC06g07191	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00112	k5	0	Green	ColorStrata	A1	Down
MvSl-1064-A1-R4_MC06g07420	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01135	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC07g07835	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-2g03005	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC09-2g09507	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g04224	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01432	k5	0	Blue	OldStrata	A1	Down
MvSl-1064-A1-R4_MC05-1g06258	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00923	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC10-1g09732	k5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-2g10125	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-2g09980	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC07g08078	k5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10248	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01347	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC13g11714	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC07g07592	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC08g08447	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC14g11772	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-2g09962	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC09-2g09506	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04831	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00718	k5	2	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC08g08762	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02769	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC08g08498	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03327	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05592	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10369	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05308	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03205	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-1g09727	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05677	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-1g09729	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01383	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC12g10792	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02764	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC14g11916	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11325	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-2g06481	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01376	k5	1	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC10-2g10108	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-2g03070	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11584	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-2g10116	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04760	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00350	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC06g07527	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC14g11775	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00383	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_A1g00246	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC10-2g10050	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03617	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-2g03146	k5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC07g07613	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02779	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00073	k5	0	bPAR	bPAR	A1	Down
MvSl-1064-A1-R4_MC02g03229	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC06g06943	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC08g08472	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC08g08445	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00120	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC01-1g02763	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00854	k5	0	Purple	OldStrata	A1	Down
MvSl-1064-A1-R4_MC07g07612	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g04208	k5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-2g10037	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g05112	k5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11692	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05942	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC12g11020	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-3g06591	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g01957	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g05077	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04423	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02545	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC07g07597	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10335	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10517	k5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11443	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02628	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-1g09809	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00241	k5	2	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC09-2g09527	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05493	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05323	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00648	k5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_A1g00242	k5	2	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC14g11805	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11616	k5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC09-2g09201	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-2g10026	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-1g01952	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05373	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01137	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00165	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC09-2g09142	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05441	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-1g06149	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC09-2g09340	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05310	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC02g04171	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-3g06516	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC15g12029	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-2g03112	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01164	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC10-1g09718	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC06g07298	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05865	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05729	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00624	k5	0	Purple	OldStrata	A1	Up
MvSl-1064-A1-R4_MC07g07981	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC07g08104	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00913	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC02g03224	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC07g08138	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g04747	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC07g07855	k5	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00800	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC06g07419	k5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05945	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01253	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC12g11233	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00292	k5	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g01359	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC05-2g06430	k5	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00920	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g01384	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC13g11645	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00078	k5	0	bPAR	bPAR	A1	Up
MvSl-1064-A1-R4_MC05-3g06519	k5	0	Auto	Auto	A1	Up
