gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00002	MvSl-1064-A1-R4_A1	aMAT	1057	1350	4.56074335777876	0.224918017506058	0.374772418383974	0.894359344119026	4.567704792236	4.76160527710434	4.32303368077098	4.55560656101128
MvSl-1064-A1-R4_A1g00003	MvSl-1064-A1-R4_A1	aMAT	3408016	3408225	5.45806517486474	0.354875146352523	0.115855960667986	0.553706022173906	5.77105200565416	5.4598507191434	5.15702254594934	5.37439671318971
MvSl-1064-A1-R4_A1g00004	MvSl-1064-A1-R4_A1	aMAT	2563	6967	6.33783931430072	0.0886848049719743	0.637446647241132	0.985901749404726	6.40859358292226	6.35365095164727	6.25346255253609	6.33114035912106
MvSl-1064-A1-R4_A1g00005	MvSl-1064-A1-R4_A1	aMAT	7783	9967	5.9242160476108	0.0560988252323343	0.784118188379981	0.99411873206084	5.86694421124554	6.03215505386086	5.98352417748883	5.80246953695733
MvSl-1064-A1-R4_A1g00006	MvSl-1064-A1-R4_A1	aMAT	10297	11118	7.41006330907228	-0.00654596756756275	0.974310777723478	0.998642411195443	7.34578803251085	7.46532764612183	7.51353284454451	7.30560680368402
MvSl-1064-A1-R4_A1g00007	MvSl-1064-A1-R4_A1	aMAT	11416	12757	7.71503676945234	-0.214983330633015	0.303736860321763	0.84456895731971	7.58844126370568	7.61871106664254	7.90899725223864	7.72200487644507
MvSl-1064-A1-R4_A1g00008	MvSl-1064-A1-R4_A1	aMAT	13778	17299	7.67780379005412	-0.437556219221664	0.102925027695876	0.516209593278383	7.08000223454666	7.73234396735002	8.13103872848943	7.57603091761219
MvSl-1064-A1-R4_A1g00009	MvSl-1064-A1-R4_A1	aMAT	17742	19664	7.49253556190876	-0.71027715637545	0.0117427375975131	0.112171799750283	6.84921906128565	7.30418568041777	8.17597557536691	7.30267829827382
MvSl-1064-A1-R4_A1g00010	MvSl-1064-A1-R4_A1	aMAT	21256	22638	2.272766130026	0.780217890857848	0.0342541116505549	0.253095239416429	2.57443916556392	2.62181053166661	2.10410865893307	1.49816428881792
MvSl-1064-A1-R4_A1g00011	MvSl-1064-A1-R4_A1	aMAT	23065	24689	1.3109924289349	-0.660330194353422	0.136343262135131	0.594494585777844	0.913022718135827	1.01813880720942	1.99570604554949	1.05400908136895
MvSl-1064-A1-R4_A1g00013	MvSl-1064-A1-R4_A1	aMAT	25010	25687	6.32350505532479	0.326768715932159	0.0840539035593483	0.450619971663127	6.50843279798482	6.44538674396472	6.10808007293835	6.19247068853002
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A1-R4_A1	aMAT	27672	29826	3.94812980395217	-1.65202842305264	4.32104905207529e-07	1.15550378575699e-05	2.44703403533497	3.26255600265401	4.65844019522955	4.43597763343388
MvSl-1064-A1-R4_A1g00015	MvSl-1064-A1-R4_A1	aMAT	31145	31816	4.69035754045046	-2.42558473319354	3.19069113923295e-15	1.96987703287274e-13	2.56331076173817	3.38800878057794	5.5525872854673	5.33098044578126
MvSl-1064-A1-R4_A1g00016	MvSl-1064-A1-R4_A1	aMAT	31867	32715	1.78563175698774	-2.67638537991483	1.37014536289458e-09	4.96219180837292e-08	-0.529067711186453	0.418983424744316	2.64853573538072	2.51400906080122
MvSl-1064-A1-R4_A1g00017	MvSl-1064-A1-R4_A1	aMAT	32832	32999	1.26771057809677	0.892397145356718	0.0449817304634433	0.305829222862687	1.8749790173858	1.31277204924713	1.08465168439366	0.349688758524003
MvSl-1064-A1-R4_A1g00019	MvSl-1064-A1-R4_A1	aMAT	37426	37720	2.15414772871636	0.421377213888782	0.253103518902115	0.784992939659951	2.56331076173817	2.07995023967891	1.97681976446273	1.87982472720445
MvSl-1064-A1-R4_A1g00020	MvSl-1064-A1-R4_A1	aMAT	37961	39396	2.45613410166466	0.210682959482932	0.567682928811041	0.97154707270973	2.33371610047426	2.7454257915924	2.59999217786296	2.03845021094583
MvSl-1064-A1-R4_A1g00021	MvSl-1064-A1-R4_A1	aMAT	39845	40120	5.70770784599659	0.185222138473702	0.391466812586555	0.907867112553074	5.73802971112271	5.8536229127868	5.43815790930551	5.76749621711826
MvSl-1064-A1-R4_A1g00023	MvSl-1064-A1-R4_A1	aMAT	41703	42358	0.0870795804078287	-0.875527235224229	0.088079153061621	0.464320990838883	-0.627641155212473	-0.114045337861965	0.115702935539507	0.721202123675124
MvSl-1064-A1-R4_A1g00024	MvSl-1064-A1-R4_A1	aMAT	42439	44564	4.34898653702036	0.63328511550557	0.0202837946467993	0.171184061427437	4.51091425158927	4.73699101733128	3.78023673713391	4.18771582879342
MvSl-1064-A1-R4_A1g00025	MvSl-1064-A1-R4_A1	aMAT	44670	45575	0.973019969648343	-0.0165972109724761	0.972612511710999	0.998642411195443	1.25486092215552	0.604580881561372	0.368461003435111	1.41382654514331
MvSl-1064-A1-R4_A1g00026	MvSl-1064-A1-R4_A1	aMAT	46588	48824	5.00608645225634	0.479912601717086	0.0602599221888878	0.368816383376966	5.4287703870058	4.987084871372	4.56669111570799	4.90622188210002
MvSl-1064-A1-R4_A1g00027	MvSl-1064-A1-R4_A1	aMAT	50171	55586	1.40086945082688	0.13439230007871	0.734079918912633	0.992467723800383	1.59798500510488	1.31277204924713	1.40028851765049	1.26128647196832
MvSl-1064-A1-R4_A1g00028	MvSl-1064-A1-R4_A1	aMAT	56765	57706	4.78902106969366	0.431545651012123	0.0698322196153175	0.401994110288677	5.01022407701795	4.96393849478774	4.61634892498722	4.49532268478296
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A1-R4_A1	aMAT	59218	59891	6.25504839224995	4.98341836347214	7.00111910951488e-87	8.05041183605343e-84	7.37193442773595	7.02142460976191	2.1721010582947	2.32681918497863
MvSl-1064-A1-R4_A1g00030	MvSl-1064-A1-R4_A1	aMAT	60303	60627	7.89276462984034	2.63239720571285	4.21040856554636e-30	5.78082811857626e-28	8.76575373689457	8.58097916351246	6.11241285281609	5.97548821162177
MvSl-1064-A1-R4_A1g00031	MvSl-1064-A1-R4_A1	aMAT	60777	61230	4.5900702675011	0.138338157868816	0.608500893076316	0.978494783007304	4.89732978273906	4.36847603864014	4.60409379184477	4.42883261239042
MvSl-1064-A1-R4_A1g00032	MvSl-1064-A1-R4_A1	aMAT	61566	63177	9.35040026050064	-0.0633095681523215	0.817646281479053	0.997040019327081	9.27567092698227	9.35991615178764	9.40141203618844	9.36173166885457
MvSl-1064-A1-R4_A1g00033	MvSl-1064-A1-R4_A1	aMAT	63513	66190	4.59690217950763	0.285236350802772	0.243244598459799	0.772127405356971	4.75297285825805	4.70942128193491	4.46532501502647	4.42883261239042
MvSl-1064-A1-R4_A1g00035	MvSl-1064-A1-R4_A1	aMAT	68178	68401	5.13181335467803	-0.42917756025524	0.0613896196949784	0.373089077642474	4.79639147035649	5.00162335304807	5.40498661450997	5.25221471385647
MvSl-1064-A1-R4_A1g00036	MvSl-1064-A1-R4_A1	aMAT	68795	70180	5.33787431117097	-0.00616493480789572	0.977331931731968	0.998642411195443	5.31892095416783	5.35051941406097	5.35649652628658	5.32521989711439
MvSl-1064-A1-R4_A1g00037	MvSl-1064-A1-R4_A1	aMAT	71408	72880	4.73902132207944	-0.14040169295608	0.565727977326636	0.970015221514953	4.77484549618637	4.55182234727923	4.71366809002287	4.89589535557879
MvSl-1064-A1-R4_A1g00039	MvSl-1064-A1-R4_A1	aMAT	77299	78423	8.11464920450649	-0.299823566372601	0.191826654404386	0.698856789649881	7.80498256393724	8.09466248852064	8.32668725673926	8.1833450249934
MvSl-1064-A1-R4_A1g00040	MvSl-1064-A1-R4_A1	aMAT	79342	82258	1.19144945644671	0.206124112678382	0.616322089626536	0.980093106249032	1.41199732530034	1.14329955867098	1.21929894431568	0.938015052686209
MvSl-1064-A1-R4_A1g00046	MvSl-1064-A1-R4_A1	aMAT	89113	90244	3.91243556119699	-0.172886869707539	0.530274684972573	0.962356917075835	3.76064518616716	3.88578480940815	3.91034910684547	4.07781275499529
MvSl-1064-A1-R4_A1g00047	MvSl-1064-A1-R4_A1	aMAT	90443	91903	5.02917770943823	-0.111515451272395	0.633158187114259	0.984513825274284	4.91713399072615	5.02621059601616	5.19633041790294	4.96173319620253
MvSl-1064-A1-R4_A1g00048	MvSl-1064-A1-R4_A1	aMAT	92386	93655	4.81687800400722	-0.00890591771902655	0.96982065353678	0.998642411195443	4.81292977805908	4.81196742192035	4.80750993363631	4.83503914468947
MvSl-1064-A1-R4_A1g00049	MvSl-1064-A1-R4_A1	aMAT	94248	95819	5.34302094915908	-0.0168577934496934	0.94012453431886	0.997957093475357	5.46957666437191	5.18568354783148	5.35283899094689	5.3500178298697
MvSl-1064-A1-R4_A1g00050	MvSl-1064-A1-R4_A1	aMAT	96486	99661	5.51608731548705	0.302236885758434	0.314433654070776	0.849727881712654	5.51649096755607	5.78804180577125	5.78883160741078	4.73720758068845
MvSl-1064-A1-R4_A1g00051	MvSl-1064-A1-R4_A1	aMAT	101324	106023	6.86463936365228	-0.526652662363511	0.026235305358128	0.207581777228385	6.32210884915502	6.79513166609082	7.35710422780586	6.79704624428834
MvSl-1064-A1-R4_A1g00052	MvSl-1064-A1-R4_A1	aMAT	106474	107890	1.16795520500892	0.230622557472596	0.615171809170312	0.980064688477911	0.685603682356432	1.68633974835261	1.18679683258587	0.89718106255716
MvSl-1064-A1-R4_A1g00053	MvSl-1064-A1-R4_A1	aMAT	108409	108819	6.61430769855918	-0.087931636004024	0.658080160063873	0.986692492124458	6.4552437114963	6.675880830658	6.75674457430405	6.55108994578763
MvSl-1064-A1-R4_A1g00054	MvSl-1064-A1-R4_A1	aMAT	111120	112733	2.5151337018334	0.26230267905856	0.470229460590934	0.948442277087156	2.30727819501411	2.9041894933797	2.51090046617923	2.23148697680842
MvSl-1064-A1-R4_A1g00055	MvSl-1064-A1-R4_A1	aMAT	113646	115349	5.41495970574135	0.460353499841755	0.0519690254309686	0.334543782322939	5.78907629378929	5.44168691913538	4.97865484138574	5.33289552857476
MvSl-1064-A1-R4_A1g00056	MvSl-1064-A1-R4_A1	aMAT	115614	117044	8.46864667396475	-0.142777492429774	0.58898128023815	0.973429797831959	8.40305975306627	8.38796694018022	8.80745245538007	8.20703153059066
MvSl-1064-A1-R4_A1g00057	MvSl-1064-A1-R4_A1	aMAT	118986	121284	4.61842163618649	0.0497993270191533	0.847285110011172	0.997957093475357	4.60345491439029	4.68131441081736	4.78597233621647	4.37036162703046
