gida1	a1up5k	a1upto10k	a1upto15k	a1upto20k	a1down5k	a1downto10k	a1downto15k	a1downto20k	gida2	a2up5k	a2upto10k	a2upto15k	a2upto20k	a2down5k	a2downto10k	a2downto15k	a2downto20k	upk5diff	upk10diff	upk15diff	upk20diff	downk5diff	downk10diff	downk15diff	downk20diff	part8	youngold	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE
MvSl-1064-A1-R4_A1g00326	2	0	1	0	0	1	0	1	MvSl-1064-A2-R4_A2g00819	1	0	1	0	0	4	2	0	1	0	0	0	0	-3	-2	1	Black	OldStrata	1176446	1176679	4.168421599	-12.52042291	1.31E-71	1.95E-68	-3.367777697	-3.367777697	5.024773063	5.276875897	Down
MvSl-1064-A1-R4_MC01-1g02885	3	1	1	0	2	3	1	4	MvSl-1064-A2-R4_MC01g03167	3	1	2	0	2	2	2	5	0	0	-1	0	0	1	-1	-1	Auto	Auto	2407407	2407795	0.79603768	-9.036577959	6.64E-19	1.04E-16	-3.367777697	-3.367777697	1.605693297	1.80620949	Down
MvSl-1064-A1-R4_MC01-2g03006	0	0	1	2	0	0	0	0	MvSl-1064-A2-R4_MC01g03288	0	0	1	4	0	0	0	0	0	0	0	-2	0	0	0	0	Auto	Auto	2657496	2662419	3.421515587	-7.962718541	7.28E-49	4.35E-46	-2.303292362	-2.756123813	4.241035204	4.537249735	Down
MvSl-1064-A1-R4_A1g00642	0	0	0	2	0	0	0	1	MvSl-1064-A2-R4_A2g00977	0	2	0	0	1	0	0	0	0	-2	0	2	-1	0	0	1	Black	OldStrata	1593613	1594973	6.246468257	-7.844125104	7.43E-150	3.33E-146	-0.256752132	-0.600523601	7.153269617	7.316640139	Down
MvSl-1064-A1-R4_A1g01021	0	0	1	1	1	1	2	1	MvSl-1064-A2-R4_A2g00954	1	3	2	1	5	0	1	0	-1	-3	-1	0	-4	1	1	1	Black	OldStrata	1488010	1490661	3.040974364	-6.875208025	6.48E-34	1.87E-31	-2.303292362	-1.998155058	4.357273912	3.537634658	Down
MvSl-1064-A1-R4_MC15g12148	2	2	0	0	2	0	0	1	MvSl-1064-A2-R4_MC15g12398	3	2	0	0	3	0	0	1	-1	0	0	0	-1	0	0	0	Auto	Auto	343988	344673	1.00159995	-6.841643599	6.17E-18	9.06E-16	-2.73950632	-3.367777697	1.648043249	2.138808691	Down
MvSl-1064-A1-R4_MC01-2g02970	0	0	1	0	1	0	0	0	MvSl-1064-A2-R4_MC01g03252	0	0	3	0	1	0	0	0	0	0	-2	0	0	0	0	0	Auto	Auto	2574684	2576195	5.40754654	-6.83434786	1.27E-52	8.13E-50	-0.256752132	-0.298739211	5.6941778	6.857178259	Down
MvSl-1064-A1-R4_A1g01282	2	2	0	0	1	0	0	0	MvSl-1064-A2-R4_A2g00349	0	0	1	2	0	0	2	1	2	2	-1	-2	1	0	-2	-1	Black	OldStrata	782234	783980	2.367636335	-6.176575673	1.25E-30	3.20E-28	-1.968806006	-2.32792355	3.312346911	3.312551759	Down
MvSl-1064-A1-R4_MC09-2g09067	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC09g09342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	368632	371293	4.350185885	-5.754175354	1.30E-40	5.30E-38	-0.006416232	-0.600523601	4.824686351	5.677869102	Down
MvSl-1064-A1-R4_A1g01162	0	0	1	0	0	1	0	0	MvSl-1064-A2-R4_A2g00836	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	-2	Blue	OldStrata	1257109	1257735	2.994561369	-5.466824873	9.48E-32	2.57E-29	-0.804276279	-1.729917293	4.133358108	3.712472443	Down
MvSl-1064-A1-R4_MC04-1g05282	0	0	1	0	0	0	0	1	MvSl-1064-A2-R4_MC04-1g05559	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	Auto	Auto	23834	26392	0.310923465	-5.217276799	3.03E-12	2.92E-10	-2.73950632	-2.756123813	1.095444864	1.241090978	Down
MvSl-1064-A1-R4_MC11g10576	1	1	0	0	0	0	0	0	MvSl-1064-A2-R4_MC11g10840	1	2	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	Auto	Auto	1046508	1046713	2.065425528	-5.186005557	1.04E-16	1.48E-14	-0.944012749	-3.367777697	2.42097451	3.389467002	Down
