gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2
MvSl-1064-A1-R4_A1g00112	MvSl-1064-A1-R4_A1	aMAT	240393	243364	6.80573697094504	-5.95840826488845	1.47286578676154e-96	3.30916120640649e-93
MvSl-1064-A1-R4_A1g01138	MvSl-1064-A1-R4_A1	aMAT	407531	411380	5.51975986078324	-7.52377124334621	2.00127697746168e-105	8.99273809822404e-102
MvSl-1064-A1-R4_A1g00591	MvSl-1064-A1-R4_A1	aMAT	527848	528105	4.1360838514627	4.37955670588374	9.19140965732668e-28	2.11803073308705e-25
MvSl-1064-A1-R4_A1g00608	MvSl-1064-A1-R4_A1	aMAT	547576	548488	1.48142954425634	3.24367181867771	7.69396128294978e-06	0.000352783826785049
MvSl-1064-A1-R4_A1g01282	MvSl-1064-A1-R4_A1	aMAT	782234	783980	1.41251059528851	-6.35116170795067	3.87042496383713e-21	6.38166743832958e-19
MvSl-1064-A1-R4_A1g00230	MvSl-1064-A1-R4_A1	aMAT	919803	924298	7.9804517368985	-4.43910579084493	1.7040443998231e-64	1.91428087765128e-61
MvSl-1064-A1-R4_A1g00752	MvSl-1064-A1-R4_A1	aMAT	998707	1000561	3.81425180789797	5.12140393979034	3.59855184532082e-41	1.54000883018563e-38
MvSl-1064-A1-R4_A1g00635	MvSl-1064-A1-R4_A1	aMAT	1111101	1112366	3.91172289357057	3.51827206355142	7.54769215478751e-17	9.83059556450367e-15
MvSl-1064-A1-R4_A1g00269	MvSl-1064-A1-R4_A1	aMAT	1131484	1132443	7.74940224479133	4.65574829004119	1.91811001876225e-59	1.56709588532876e-56
MvSl-1064-A1-R4_A1g00326	MvSl-1064-A1-R4_A1	aMAT	1176446	1176679	4.22969206637308	-12.5221633376205	8.95483854622376e-72	1.34128556691522e-68
MvSl-1064-A1-R4_A1g01404	MvSl-1064-A1-R4_A1	aMAT	1176877	1180058	3.63402821080255	6.29021470965447	1.05419298911641e-47	6.31602159545945e-45
MvSl-1064-A1-R4_A1g01136	MvSl-1064-A1-R4_A1	aMAT	1186986	1189109	3.75161444831922	3.95083034236468	1.02881488399754e-24	1.96722539627359e-22
MvSl-1064-A1-R4_A1g01162	MvSl-1064-A1-R4_A1	aMAT	1257109	1257735	3.07047101872694	-5.48392608789366	5.81020722920155e-32	1.5357744814363e-29
MvSl-1064-A1-R4_A1g01163	MvSl-1064-A1-R4_A1	aMAT	1274366	1278155	4.00253574330199	-3.61451721978	7.26399591060497e-29	1.71793503285808e-26
MvSl-1064-A1-R4_A1g00522	MvSl-1064-A1-R4_A1	aMAT	1389234	1391759	1.37549511039736	4.6580752164252	1.64747246408947e-16	2.08532887813691e-14
MvSl-1064-A1-R4_A1g01007	MvSl-1064-A1-R4_A1	aMAT	1393224	1396199	4.48139708401729	-3.32282157509227	4.77957317089128e-27	1.04765912406829e-24
MvSl-1064-A1-R4_A1g00668	MvSl-1064-A1-R4_A1	aMAT	1399296	1400598	6.36362224905579	5.47554198637028	1.32265543868458e-100	3.96223480915278e-97
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	aMAT	1400757	1402594	8.50163849081152	3.49930334600831	6.4399893028002e-34	2.14356236534316e-31
MvSl-1064-A1-R4_A1g01021	MvSl-1064-A1-R4_A1	aMAT	1488010	1490661	1.08805630394034	-4.74847943372028	3.20310025390659e-14	3.34723976533239e-12
MvSl-1064-A1-R4_A1g00642	MvSl-1064-A1-R4_A1	aMAT	1593613	1594973	6.33744526236294	-7.56716085828945	1.77626468262109e-146	1.59632907027157e-142
MvSl-1064-A1-R4_A1g00546	MvSl-1064-A1-R4_A1	aMAT	1745782	1746129	2.83454517330399	-3.55837421623038	3.58981764663243e-20	5.56236055004925e-18
MvSl-1064-A1-R4_A1g00628	MvSl-1064-A1-R4_A1	aMAT	1834558	1837865	2.67733416149558	6.66824855097024	5.77738922597058e-33	1.57337566587266e-30
MvSl-1064-A1-R4_A1g01045	MvSl-1064-A1-R4_A1	aMAT	1993924	1995401	2.64460182959027	-3.34931736757082	4.47110537103905e-12	4.22966568100294e-10
MvSl-1064-A1-R4_A1g01220	MvSl-1064-A1-R4_A1	aMAT	2550475	2550711	7.53223405165717	-3.30447332160901	1.49662227770336e-51	1.12084536747667e-48
MvSl-1064-A1-R4_A1g00283	MvSl-1064-A1-R4_A1	aMAT	2618847	2620704	5.15918338841449	-4.37263564160294	3.82210179355896e-33	1.07341340058483e-30
MvSl-1064-A1-R4_A1g01302	MvSl-1064-A1-R4_A1	aMAT	2705499	2709175	5.56599616303389	-5.07218292421031	2.89836250971229e-60	2.60475838747843e-57
MvSl-1064-A1-R4_MC06g07033	MvSl-1064-A1-R4_MC01-1	Chr01	8410	9148	3.57832381026278	3.8573047637345	4.66082909155489e-22	8.05516750880842e-20
MvSl-1064-A1-R4_MC12g11286	MvSl-1064-A1-R4_MC01-1	Chr01	14920	16821	4.00584100109378	3.97599061880417	3.83371891891516e-25	7.65636264984234e-23
