#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
prot:Minter-1389-PBcR_C01g00001	MvSl-1064-A2-R4_MC05g06389	633	569	83	97	553	87.523	972
prot:Minter-1389-PBcR_C01g00002	MvSl-1064-A2-R4_MC05g06390	1064	1234	99	88	1097	87.511	1855
prot:Minter-1389-PBcR_C01g00003	MvSl-1064-A2-R4_MC05g06391	379	374	99	99	376	81.915	638
prot:Minter-1389-PBcR_C01g00004	MvSl-1064-A2-R4_MC05g06392	1531	1506	99	99	1530	89.804	2785
prot:Minter-1389-PBcR_C01g00006	MvSl-1064-A2-R4_MC05g06395	409	406	99	99	413	61.501	497
prot:Minter-1389-PBcR_C01g00010	MvSl-1064-A2-R4_MC05g06396	375	457	100	88	405	76.790	565
prot:Minter-1389-PBcR_C01g00011	MvSl-1064-A2-R4_MC05g06401	822	834	99	98	826	74.697	1074
prot:Minter-1389-PBcR_C01g00012	MvSl-1064-A2-R4_MC05g06402	1029	1115	99	100	1128	73.227	1519
prot:Minter-1389-PBcR_C01g00013	MvSl-1064-A2-R4_MC05g06403	640	689	100	100	693	81.674	1007
prot:Minter-1389-PBcR_C01g00014	MvSl-1064-A2-R4_MC05g06406	518	569	97	89	521	66.985	582
prot:Minter-1389-PBcR_C01g00016	MvSl-1064-A2-R4_MC05g06407	190	190	100	100	190	86.316	340
prot:Minter-1389-PBcR_C01g00018	MvSl-1064-A2-R4_MC05g06408	889	876	99	99	884	83.164	1416
prot:Minter-1389-PBcR_C01g00020	MvSl-1064-A2-R4_MC05g06411	1752	1730	100	100	1755	88.433	2971
prot:Minter-1389-PBcR_C01g00024	MvSl-1064-A2-R4_MC05g06413	529	511	100	100	545	80.000	833
prot:Minter-1389-PBcR_C01g00025	MvSl-1064-A2-R4_MC05g06414	959	953	100	100	960	90.938	1404
prot:Minter-1389-PBcR_C01g00027	MvSl-1064-A2-R4_MC05g06452	755	777	100	97	769	81.169	1058
prot:Minter-1389-PBcR_C01g00028	MvSl-1064-A2-R4_MC05g06451	875	851	93	97	827	87.545	1449
prot:Minter-1389-PBcR_C01g00029	MvSl-1064-A2-R4_MC05g06450	1218	1202	100	100	1231	84.078	1874
prot:Minter-1389-PBcR_C01g00030	MvSl-1064-A2-R4_MC05g06449	337	313	100	100	340	78.529	512
prot:Minter-1389-PBcR_C01g00031	MvSl-1064-A2-R4_MC05g06448	1015	1018	99	99	1028	72.023	1241
prot:Minter-1389-PBcR_C01g00032	MvSl-1064-A2-R4_MC05g06444	458	495	99	92	461	91.323	862
prot:Minter-1389-PBcR_C01g00035	MvSl-1064-A2-R4_MC05g06443	412	412	100	100	418	87.081	606
prot:Minter-1389-PBcR_C01g00036	MvSl-1064-A2-R4_MC05g06442	1558	1532	100	100	1574	85.832	2278
prot:Minter-1389-PBcR_C01g00037	MvSl-1064-A2-R4_MC05g06440	1218	996	77	98	954	76.302	1467
