gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A1-R4_A1	aMAT	186136	186867	5.5020879123715	2.86254113688243	2.60480406743935e-28	5.98570616727986e-26
MvSl-1064-A1-R4_A1g00107	MvSl-1064-A1-R4_A1	aMAT	220047	220241	1.19606665445972	2.47124762313338	4.89949368376755e-08	3.13637588528034e-06
MvSl-1064-A1-R4_A1g01138	MvSl-1064-A1-R4_A1	aMAT	407531	411380	8.12648443357607	-10.7779550553827	5.64488109494114e-163	5.05894243728625e-159
MvSl-1064-A1-R4_A1g00591	MvSl-1064-A1-R4_A1	aMAT	527848	528105	4.07316632298011	4.37592247598874	1.21153899731569e-27	2.71445312348579e-25
MvSl-1064-A1-R4_A1g00641	MvSl-1064-A1-R4_A1	aMAT	551158	551514	3.21216629916055	2.24130580591363	1.10361824566548e-10	9.60255021131463e-09
MvSl-1064-A1-R4_A1g01282	MvSl-1064-A1-R4_A1	aMAT	782234	783980	2.36763633496971	-6.17657567289036	1.24862555166262e-30	3.19719491257155e-28
MvSl-1064-A1-R4_A1g00389	MvSl-1064-A1-R4_A1	aMAT	882195	884498	6.09086637359241	2.25352123481946	1.38654874534182e-28	3.27006575151406e-26
MvSl-1064-A1-R4_A1g01038	MvSl-1064-A1-R4_A1	aMAT	912091	913460	8.07567447273491	-2.44810496270769	1.01290907492916e-14	1.21035881726868e-12
MvSl-1064-A1-R4_A1g00230	MvSl-1064-A1-R4_A1	aMAT	919803	924298	7.93115914469778	-4.3777088948649	1.07587591410464e-61	1.07133332691175e-58
MvSl-1064-A1-R4_A1g00824	MvSl-1064-A1-R4_A1	aMAT	924447	925599	5.96224555612403	2.64018724436002	3.13033869021618e-19	5.00965988244954e-17
MvSl-1064-A1-R4_A1g00752	MvSl-1064-A1-R4_A1	aMAT	998707	1000561	3.5693508173762	4.80119909644402	1.04270265429367e-35	3.33739328134994e-33
MvSl-1064-A1-R4_A1g00745	MvSl-1064-A1-R4_A1	aMAT	1091186	1095689	6.56734285954361	-2.59351542891222	1.17580888206818e-37	4.05292276965192e-35
MvSl-1064-A1-R4_A1g00635	MvSl-1064-A1-R4_A1	aMAT	1111101	1112366	3.79264008660481	3.59769476495926	5.25689521450634e-20	8.5658718022556e-18
MvSl-1064-A1-R4_A1g00269	MvSl-1064-A1-R4_A1	aMAT	1131484	1132443	7.68969281839397	4.65542921865728	1.04038405124102e-58	8.47629260656547e-56
MvSl-1064-A1-R4_A1g00326	MvSl-1064-A1-R4_A1	aMAT	1176446	1176679	4.1684215987087	-12.5204229141095	1.30630040954598e-71	1.95117737839185e-68
MvSl-1064-A1-R4_A1g01404	MvSl-1064-A1-R4_A1	aMAT	1176877	1180058	3.57594559330371	6.29177341578115	1.4851583689362e-47	7.82940547200367e-45
MvSl-1064-A1-R4_A1g01136	MvSl-1064-A1-R4_A1	aMAT	1186986	1189109	3.6920379326039	3.95083885524112	9.13500342550811e-25	1.81928668220897e-22
MvSl-1064-A1-R4_A1g01162	MvSl-1064-A1-R4_A1	aMAT	1257109	1257735	2.99456136866581	-5.46682487287211	9.48053645280409e-32	2.57468386939486e-29
