gid	gname	chr	start	end	logCPM	logFC.water.rich	logFC.water.diploid	logFC.rich.diploid	PV.water.rich	PV.water.diploid	PV.rich.diploid	FDR.water.rich	FDR.water.diploid	FDR.rich.diploid
MvSl-1064-A1-R4_A1g00003	MvSl-1064-A1-R4_A1	aMAT	2563	6967	5.10745944889756	1.32978103939936	0.146691023764166	-1.18309001563519	8.46123015363359e-05	0.657347077819992	0.000445776216404693	0.000269276014119047	0.855825835388909	0.0011376912296353
MvSl-1064-A1-R4_A1g00004	MvSl-1064-A1-R4_A1	aMAT	7783	9967	6.7194385701475	-1.06695870645506	0.0327099589940058	1.09966866544907	2.56657349923849e-06	0.884454736180099	1.22703279486265e-06	1.08932991198668e-05	0.964517268038562	5.070524228655e-06
MvSl-1064-A1-R4_A1g00006	MvSl-1064-A1-R4_A1	aMAT	11416	12757	8.22204975418446	-1.71458281231833	0.140541912397101	1.85512472471544	5.24909750699528e-10	0.601343643110672	2.178177806848e-11	4.25357901428928e-09	0.824632140071662	1.89767100635636e-10
MvSl-1064-A1-R4_A1g00009	MvSl-1064-A1-R4_A1	aMAT	21256	22638	7.40814512070538	0.297263499069382	1.02270977633835	0.725446277268969	0.419081953832165	0.00590373036492725	0.0496969808926212	0.50548662269082	0.0415447692346733	0.0783811443608455
MvSl-1064-A1-R4_A1g00010	MvSl-1064-A1-R4_A1	aMAT	23065	24689	2.92197480577402	-1.82618033325808	0.786517903905599	2.61269823716367	7.7164166789884e-06	0.0588706519008604	5.43592114627873e-10	2.9972858174583e-05	0.218865496034423	3.8803178126514e-09
MvSl-1064-A1-R4_A1g00011	MvSl-1064-A1-R4_A1	aMAT	25010	25687	1.74404803313597	-0.80971481137229	0.77731103664167	1.58702584801396	0.0740308799584272	0.0973313743024995	0.000616814329068302	0.114953183451357	0.305830109965278	0.0015249590140033
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A1-R4_A1	aMAT	31145	31816	3.05094065389543	-2.09948513188976	0.496787813568193	2.59627294545795	0.00171006830209764	0.447960444904213	0.000138737419493912	0.00407985838571519	0.724952296664484	0.000389966999081094
MvSl-1064-A1-R4_A1g00015	MvSl-1064-A1-R4_A1	aMAT	31867	32715	3.05304550073739	-1.65138534654549	1.1017733159277	2.75315866247319	0.0333269106386167	0.154201710414989	0.00066122076496301	0.0572979662177827	0.409462168898559	0.00162217072283508
MvSl-1064-A1-R4_A1g00016	MvSl-1064-A1-R4_A1	aMAT	32832	32999	0.740391943742964	-1.16052529253911	1.28375511433843	2.44428040687755	0.076421102426509	0.0642668078436035	0.000404580755024295	0.118113949417622	0.231629640860056	0.00104419252669565
MvSl-1064-A1-R4_A1g00019	MvSl-1064-A1-R4_A1	aMAT	37961	39396	1.66026522367459	1.7217978691119	-0.675718738103363	-2.39751660721526	2.88152535701223e-05	0.0630072377276288	2.48844098182951e-09	0.000101028745340083	0.228628457093753	1.60673486197563e-08
MvSl-1064-A1-R4_A1g00020	MvSl-1064-A1-R4_A1	aMAT	39845	40120	1.79394566838078	1.99815809898156	-0.295112877742101	-2.29327097672366	4.2296080165709e-05	0.50491808221229	2.30133202543188e-06	0.000143504557705084	0.765618646130515	9.08126159394906e-06
MvSl-1064-A1-R4_A1g00021	MvSl-1064-A1-R4_A1	aMAT	40219	40570	5.224364799574	1.93875745000982	0.0546191138325833	-1.88413833617723	4.04416442629714e-10	0.853774064592263	1.11018629186007e-09	3.33774383796982e-09	0.954935169940995	7.55061963923107e-09
