target_id	length	eff_length	est_counts	tpm
MvSl-1064-A2-R4_A2g00001	204	36.5462	53.2929	16.224
MvSl-1064-A2-R4_A2g00002	294	66.1229	516.185	86.8531
MvSl-1064-A2-R4_A2g00003	3738	3402	1336.37	4.37043
MvSl-1064-A2-R4_A2g00004	1884	1548	1853	13.3179
MvSl-1064-A2-R4_A2g00005	822	488.941	1271	28.9215
MvSl-1064-A2-R4_A2g00006	417	135.349	3549	291.731
MvSl-1064-A2-R4_A2g00007	3006	2670	4203	17.5137
MvSl-1064-A2-R4_A2g00008	1668	1332	2952	24.6571
MvSl-1064-A2-R4_A2g00009	1140	804.004	2510	34.7334
MvSl-1064-A2-R4_A2g00010	1014	678.004	35	0.574338
MvSl-1064-A2-R4_A2g00011	543	232.858	39	1.86339
MvSl-1064-A2-R4_A2g00012	171	25.4892	0	0
MvSl-1064-A2-R4_A2g00013	1701	1365	1364.08	11.1182
MvSl-1064-A2-R4_A2g00014	450	158.665	117	8.20418
MvSl-1064-A2-R4_A2g00015	765	433.365	127	3.26048
MvSl-1064-A2-R4_A2g00016	168	24.6225	13	5.87412
MvSl-1064-A2-R4_A2g00017	1632	1296	78	0.669607
MvSl-1064-A2-R4_A2g00018	225	43.0837	0	0
MvSl-1064-A2-R4_A2g00019	786	453.787	57.2521	1.40369
MvSl-1064-A2-R4_A2g00020	276	58.6243	85.3389	16.1957
MvSl-1064-A2-R4_A2g00021	210	38.4851	482.117	139.377
MvSl-1064-A2-R4_A2g00022	537	227.83	2.36729	0.115604
MvSl-1064-A2-R4_A2g00023	1314	978.004	11.7262	0.133398
MvSl-1064-A2-R4_A2g00024	612	292.687	0	0
MvSl-1064-A2-R4_A2g00025	1623	1287	50	0.432237
MvSl-1064-A2-R4_A2g00026	4218	3882	851.029	2.43905
MvSl-1064-A2-R4_A2g00027	942	606.38	64	1.17427
MvSl-1064-A2-R4_A2g00028	504	200.207	237.791	13.2144
MvSl-1064-A2-R4_A2g00029	171	25.4892	71.9384	31.4005
MvSl-1064-A2-R4_A2g00030	369	104.503	1048.43	111.62
MvSl-1064-A2-R4_A2g00031	957	621.196	649	11.6238
MvSl-1064-A2-R4_A2g00032	1554	1218	13534	123.626
MvSl-1064-A2-R4_A2g00033	801	468.323	587	13.9452
MvSl-1064-A2-R4_A2g00034	147	19.0513	0	0
MvSl-1064-A2-R4_A2g00035	1386	1050	605	6.41056
MvSl-1064-A2-R4_A2g00036	1194	858.004	870	11.2814
MvSl-1064-A2-R4_A2g00037	2421	2085	596	3.18032
MvSl-1064-A2-R4_A2g00038	582	266.33	0	0
MvSl-1064-A2-R4_A2g00039	1836	1500	4882	36.2107
MvSl-1064-A2-R4_A2g00040	1083	747.004	56	0.834059
MvSl-1064-A2-R4_A2g00041	192	32.7333	2	0.679786
MvSl-1064-A2-R4_A2g00042	528	220.27	3.96751	0.200399
MvSl-1064-A2-R4_A2g00043	408	129.002	0	0
MvSl-1064-A2-R4_A2g00044	714	385.145	0	0
MvSl-1064-A2-R4_A2g00045	489	188.295	0	0
MvSl-1064-A2-R4_A2g00046	879	544.407	294	6.00835
MvSl-1064-A2-R4_A2g00047	900	564.963	648	12.7611
MvSl-1064-A2-R4_A2g00048	1572	1236	611	5.49988
MvSl-1064-A2-R4_A2g00049	2622	2286	966	4.70145
MvSl-1064-A2-R4_A2g00050	4482	4146	998	2.67813
MvSl-1064-A2-R4_A2g00051	1077	741.004	1746	26.2153
MvSl-1064-A2-R4_A2g00052	231	44.9704	33	8.1643
