a1	a2	indels_prot	indel_haploid	indel_cds_length	indel_prot_length	stopcodon	frameshift
MvSl-1064-A1-R4_A1g00118	MvSl-1064-A2-R4_A2g01692	1	a1		7	no	
MvSl-1064-A1-R4_A1g00165	MvSl-1064-A2-R4_A2g00290	2	a2		5+1	a1	
MvSl-1064-A1-R4_A1g00168	MvSl-1064-A2-R4_A2g00313	4	"a1,a2"		"a2:4+1+2, a1:9"	no	
MvSl-1064-A1-R4_A1g00230	MvSl-1064-A2-R4_A2g00529	2	a1		1+2	a1	
MvSl-1064-A1-R4_A1g00252	MvSl-1064-A2-R4_A2g01311	1	a2		16	a1	maybe
MvSl-1064-A1-R4_A1g00254	MvSl-1064-A2-R4_A2g00300						
MvSl-1064-A1-R4_A1g00269	MvSl-1064-A2-R4_A2g00651						
MvSl-1064-A1-R4_A1g00283	MvSl-1064-A2-R4_A2g01455						
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A2-R4_A2g00914						
MvSl-1064-A1-R4_A1g00349	MvSl-1064-A2-R4_A2g00995						
MvSl-1064-A1-R4_A1g00350	MvSl-1064-A2-R4_A2g00970						
MvSl-1064-A1-R4_A1g00383	MvSl-1064-A2-R4_A2g00388						
MvSl-1064-A1-R4_A1g00448	MvSl-1064-A2-R4_A2g01642						
MvSl-1064-A1-R4_A1g00481	MvSl-1064-A2-R4_A2g00295						
MvSl-1064-A1-R4_A1g00495	MvSl-1064-A2-R4_A2g01715						
MvSl-1064-A1-R4_A1g00516	MvSl-1064-A2-R4_A2g01504						
MvSl-1064-A1-R4_A1g00591	MvSl-1064-A2-R4_A2g00208						
MvSl-1064-A1-R4_A1g00594	MvSl-1064-A2-R4_A2g00575						
MvSl-1064-A1-R4_A1g00624	MvSl-1064-A2-R4_A2g00431						
MvSl-1064-A1-R4_A1g00626	MvSl-1064-A2-R4_A2g01445						
MvSl-1064-A1-R4_A1g00628	MvSl-1064-A2-R4_A2g01139						
MvSl-1064-A1-R4_A1g00635	MvSl-1064-A2-R4_A2g00615						
MvSl-1064-A1-R4_A1g00642	MvSl-1064-A2-R4_A2g00977						
MvSl-1064-A1-R4_A1g00644	MvSl-1064-A2-R4_A2g01002						
MvSl-1064-A1-R4_A1g00648	MvSl-1064-A2-R4_A2g00314						
MvSl-1064-A1-R4_A1g00745	MvSl-1064-A2-R4_A2g00577						
MvSl-1064-A1-R4_A1g00752	MvSl-1064-A2-R4_A2g00568						
MvSl-1064-A1-R4_A1g00763	MvSl-1064-A2-R4_A2g00660						
MvSl-1064-A1-R4_A1g00779	MvSl-1064-A2-R4_A2g00329						
MvSl-1064-A1-R4_A1g00853	MvSl-1064-A2-R4_A2g01112						
MvSl-1064-A1-R4_A1g00854	MvSl-1064-A2-R4_A2g01111						
MvSl-1064-A1-R4_A1g00977	MvSl-1064-A2-R4_A2g01566						
MvSl-1064-A1-R4_A1g00997	MvSl-1064-A2-R4_A2g01153						
MvSl-1064-A1-R4_A1g01007	MvSl-1064-A2-R4_A2g00894						
MvSl-1064-A1-R4_A1g01021	MvSl-1064-A2-R4_A2g00954						
MvSl-1064-A1-R4_A1g01135	MvSl-1064-A2-R4_A2g00602						
MvSl-1064-A1-R4_A1g01137	MvSl-1064-A2-R4_A2g00825						
MvSl-1064-A1-R4_A1g01138	MvSl-1064-A2-R4_A2g00176						
MvSl-1064-A1-R4_A1g01162	MvSl-1064-A2-R4_A2g00836						
MvSl-1064-A1-R4_A1g01163	MvSl-1064-A2-R4_A2g00837						
MvSl-1064-A1-R4_A1g01164	MvSl-1064-A2-R4_A2g01564						
MvSl-1064-A1-R4_A1g01174	MvSl-1064-A2-R4_A2g01392						
MvSl-1064-A1-R4_A1g01212	MvSl-1064-A2-R4_A2g00841						
MvSl-1064-A1-R4_A1g01220	MvSl-1064-A2-R4_A2g01388						
MvSl-1064-A1-R4_A1g01253	MvSl-1064-A2-R4_A2g00196						
MvSl-1064-A1-R4_A1g01290	MvSl-1064-A2-R4_A2g00797						
MvSl-1064-A1-R4_A1g01302	MvSl-1064-A2-R4_A2g01497						
MvSl-1064-A1-R4_A1g01347	MvSl-1064-A2-R4_A2g01555						
MvSl-1064-A1-R4_A1g01375	MvSl-1064-A2-R4_A2g00417						
MvSl-1064-A1-R4_A1g01376	MvSl-1064-A2-R4_A2g00418						
MvSl-1064-A1-R4_A1g01383	MvSl-1064-A2-R4_A2g00527						
MvSl-1064-A1-R4_A1g01384	MvSl-1064-A2-R4_A2g01135						
MvSl-1064-A1-R4_A1g01404	MvSl-1064-A2-R4_A2g00821						
MvSl-1064-A1-R4_A1g01418	MvSl-1064-A2-R4_A2g00702						
