gid	gname	chr	start	end	logCPM	logFC.water.rich	logFC.water.diploid	logFC.rich.diploid	PV.water.rich	PV.water.diploid	PV.rich.diploid	FDR.water.rich	FDR.water.diploid	FDR.rich.diploid	water1	water2	rich1	rich2	di1	di2	averagewater	averagedi	log2ratio_waterdi	averagerich	log2ratio_richdi	log2ratio_waterrich
MvSl-1064-A1-R4_A1g01307	MvSl-1064-A1-R4_A1	MAT	2896667	2897461	11.59095166	-1.573838734	-10.51874195	-8.94490322	0.149594575	4.05E-71	4.58E-63	0.247568488	1.90E-68	2.15E-60	3.654595526	4.593287381	5.457434477	4.254944124	13.44852935	12.82599133	4.123941453	13.13726034	-1.671568689	4.856189301	-1.43576788	-0.23580081
MvSl-1064-A1-R4_A1g00896	MvSl-1064-A1-R4_A1	MAT	1934137	1934705	8.174973663	2.987964228	-7.059864702	-10.04782893	0.134262685	6.91E-30	1.18E-29	0.22699087	6.49E-28	1.39E-27	4.523293559	3.654595526	3.654595526	3.654595526	9.899561744	9.526408432	4.088944542	9.712985088	-1.248186251	3.654595526	-1.410203003	0.162016752
MvSl-1064-A1-R4_A1g01329	MvSl-1064-A1-R4_A1	MAT	2947632	2948402	7.678961012	4.202451886	-5.299044982	-9.501496868	0.019391551	1.80E-20	1.55E-23	0.048520952	9.39E-19	8.10E-22	4.523293559	4.902634891	3.654595526	3.654595526	9.318670543	9.043801836	4.712964225	9.181236189	-0.962053685	3.654595526	-1.328976672	0.366922986
MvSl-1064-A1-R4_A1g00701	MvSl-1064-A1-R4_A1	MAT	1502152	1502317	6.909772838	0	-8.701258871	-8.701258871	1	3.45E-17	2.89E-15	1	1.25E-15	4.53E-14	3.654595526	3.654595526	3.654595526	3.654595526	8.195729294	8.584997661	3.654595526	8.390363478	-1.199021567	3.654595526	-1.199021567	0
MvSl-1064-A1-R4_A1g00588	MvSl-1064-A1-R4_A1	MAT	1292274	1292945	6.799785667	4.198358698	-4.309974659	-8.508333357	0.020450096	2.08E-11	1.23E-14	0.050854737	3.62E-10	1.66E-13	4.817463838	4.593287381	3.654595526	3.654595526	8.085406733	8.34031105	4.70537561	8.212858892	-0.803574619	3.654595526	-1.168172767	0.364598148
MvSl-1064-A1-R4_A1g01048	MvSl-1064-A1-R4_A1	MAT	2254832	2255059	6.58322301	2.166378537	-6.169635452	-8.336013989	0.289083416	9.41E-12	6.56E-12	0.415502157	1.84E-10	6.85E-11	3.654595526	4.198976763	3.654595526	3.654595526	8.393894221	7.63155089	3.926786144	8.012722555	-1.028943494	3.654595526	-1.13258078	0.103637286
MvSl-1064-A1-R4_A1g00557	MvSl-1064-A1-R4_A1	MAT	1236663	1237721	9.306527191	5.493936623	-0.781600072	-6.275536695	9.68E-19	0.046987319	1.86E-24	5.69E-17	0.148591047	1.09E-22	9.849869253	8.818013677	4.821009328	4.677613573	10.27115923	10.122647	9.333941465	10.19690312	-0.127572735	4.74931145	-1.102340787	0.974768052
MvSl-1064-A1-R4_A1g00267	MvSl-1064-A1-R4_A1	MAT	614785	614994	6.878837761	0.52327887	-5.63789405	-6.16117292	0.72808049	1.69E-14	1.23E-13	0.872953649	4.67E-13	1.52E-12	4.153364272	4.198976763	4.352605324	3.654595526	8.362699804	8.313395422	4.176170517	8.338047613	-0.997528991	4.003600425	-1.058411616	0.060882625
MvSl-1064-A1-R4_A1g01140	MvSl-1064-A1-R4_A1	MAT	2521041	2521388	10.37938669	7.341902065	1.700837686	-5.641064379	2.17E-34	1.93E-05	6.73E-21	1.02E-31	0.000181715	1.98E-19	11.99063589	10.91374601	4.352605324	5.270167862	10.09254599	9.595065472	11.45219095	9.843805729	0.21833554	4.811386593	-1.032763462	1.251099002
MvSl-1064-A1-R4_A1g01221	MvSl-1064-A1-R4_A1	MAT	2711352	2711600	8.137098944	-2.092449733	-7.825835561	-5.733385829	0.102968916	1.84E-32	3.48E-25	0.189044494	2.17E-30	2.34E-23	4.153364272	3.654595526	4.821009328	4.677613573	9.738777785	9.583847139	3.903979899	9.661312462	-1.307273564	4.74931145	-1.02450082	-0.282772744
