#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
MvSl-1064-A1-R4_A1g00002	MvSl-1064-A2-R4_A2g00002	97	97	100	100	97	100.000	194
MvSl-1064-A1-R4_A1g00003	MvSl-1064-A2-R4_A2g01827	1300	1310	99	98	1289	98.991	2639
MvSl-1064-A1-R4_A1g00004	MvSl-1064-A2-R4_A2g00004	627	627	100	100	627	100.000	1274
MvSl-1064-A1-R4_A1g00005	MvSl-1064-A2-R4_A2g00005	273	273	100	100	273	100.000	544
MvSl-1064-A1-R4_A1g00006	MvSl-1064-A2-R4_A2g00006	138	138	100	100	138	100.000	283
MvSl-1064-A1-R4_A1g00007	MvSl-1064-A2-R4_A2g00007	1001	1001	100	100	1001	100.000	2007
MvSl-1064-A1-R4_A1g00008	MvSl-1064-A2-R4_A2g00008	555	555	100	100	555	100.000	1113
MvSl-1064-A1-R4_A1g00009	MvSl-1064-A2-R4_A2g00009	379	379	100	100	379	100.000	748
MvSl-1064-A1-R4_A1g00010	MvSl-1064-A2-R4_A2g00010	337	337	100	100	337	100.000	702
MvSl-1064-A1-R4_A1g00011	MvSl-1064-A2-R4_A2g00011	180	180	100	100	180	100.000	370
MvSl-1064-A1-R4_A1g00013	MvSl-1064-A2-R4_A2g00013	566	566	100	100	566	100.000	1141
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A2-R4_A2g00014	149	149	100	100	149	100.000	313
MvSl-1064-A1-R4_A1g00015	MvSl-1064-A2-R4_A2g00015	254	254	100	100	254	100.000	525
MvSl-1064-A1-R4_A1g00016	MvSl-1064-A2-R4_A2g00016	55	55	100	100	55	100.000	116
MvSl-1064-A1-R4_A1g00017	MvSl-1064-A2-R4_A2g00017	543	543	100	100	543	100.000	1091
MvSl-1064-A1-R4_A1g00018	MvSl-1064-A2-R4_A2g00018	74	74	100	100	74	100.000	151
MvSl-1064-A1-R4_A1g00019	MvSl-1064-A2-R4_A2g00019	261	261	100	100	261	100.000	551
MvSl-1064-A1-R4_A1g00020	MvSl-1064-A2-R4_A2g00020	91	91	100	100	91	100.000	184
MvSl-1064-A1-R4_A1g00021	MvSl-1064-A2-R4_A2g00021	69	69	100	100	69	100.000	139
MvSl-1064-A1-R4_A1g00023	MvSl-1064-A2-R4_A2g00023	437	437	100	100	437	100.000	900
MvSl-1064-A1-R4_A1g00024	MvSl-1064-A2-R4_A2g00024	203	203	100	100	203	100.000	429
MvSl-1064-A1-R4_A1g00025	MvSl-1064-A2-R4_A2g00025	540	540	100	100	540	100.000	1126
MvSl-1064-A1-R4_A1g00026	MvSl-1064-A2-R4_A2g00026	1405	1405	100	100	1405	100.000	2903
MvSl-1064-A1-R4_A1g00027	MvSl-1064-A2-R4_A2g00027	313	313	100	100	313	100.000	647
MvSl-1064-A1-R4_A1g00028	MvSl-1064-A2-R4_A2g00028	167	167	100	100	167	100.000	345
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A2-R4_A2g00029	56	56	100	100	56	100.000	117
MvSl-1064-A1-R4_A1g00030	MvSl-1064-A2-R4_A2g00030	122	122	100	100	122	100.000	246
MvSl-1064-A1-R4_A1g00031	MvSl-1064-A2-R4_A2g00031	318	318	100	100	318	100.000	659
MvSl-1064-A1-R4_A1g00032	MvSl-1064-A2-R4_A2g00032	517	517	100	100	517	100.000	1024
MvSl-1064-A1-R4_A1g00033	MvSl-1064-A2-R4_A2g00033	266	266	100	100	266	100.000	551
MvSl-1064-A1-R4_A1g00034	MvSl-1064-A2-R4_A2g00034	48	48	100	100	48	100.000	100
MvSl-1064-A1-R4_A1g00035	MvSl-1064-A2-R4_A2g00035	461	461	100	100	461	100.000	946
MvSl-1064-A1-R4_A1g00036	MvSl-1064-A2-R4_A2g00036	397	397	100	100	397	100.000	812
MvSl-1064-A1-R4_A1g00037	MvSl-1064-A2-R4_A2g00037	806	806	100	100	806	100.000	1671
MvSl-1064-A1-R4_A1g00038	MvSl-1064-A2-R4_A2g00038	193	193	100	100	193	100.000	390
MvSl-1064-A1-R4_A1g00039	MvSl-1064-A2-R4_A2g00039	611	611	100	100	611	100.000	1257
MvSl-1064-A1-R4_A1g00040	MvSl-1064-A2-R4_A2g00040	360	360	100	100	360	100.000	752
MvSl-1064-A1-R4_A1g00041	MvSl-1064-A2-R4_A2g00041	63	63	100	100	63	100.000	128
MvSl-1064-A1-R4_A1g00043	MvSl-1064-A2-R4_A2g00043	135	135	100	100	135	100.000	277
MvSl-1064-A1-R4_A1g00044	MvSl-1064-A2-R4_A2g00044	237	237	100	100	237	100.000	493
MvSl-1064-A1-R4_A1g00045	MvSl-1064-A2-R4_A2g00045	162	162	100	100	162	100.000	340
MvSl-1064-A1-R4_A1g00046	MvSl-1064-A2-R4_A2g00046	292	292	100	100	292	100.000	612
MvSl-1064-A1-R4_A1g00047	MvSl-1064-A2-R4_A2g00047	299	299	100	100	299	100.000	607
MvSl-1064-A1-R4_A1g00048	MvSl-1064-A2-R4_A2g00048	523	523	100	100	523	100.000	1056
MvSl-1064-A1-R4_A1g00049	MvSl-1064-A2-R4_A2g00049	873	873	100	100	873	100.000	1785
MvSl-1064-A1-R4_A1g00050	MvSl-1064-A2-R4_A2g00050	1493	1493	100	100	1493	100.000	3076
MvSl-1064-A1-R4_A1g00051	MvSl-1064-A2-R4_A2g00051	358	358	100	100	358	100.000	736
MvSl-1064-A1-R4_A1g00052	MvSl-1064-A2-R4_A2g00052	76	76	100	100	76	100.000	154
MvSl-1064-A1-R4_A1g00053	MvSl-1064-A2-R4_A2g00053	418	418	100	100	418	100.000	855
MvSl-1064-A1-R4_A1g00054	MvSl-1064-A2-R4_A2g00054	388	388	100	100	388	100.000	811
MvSl-1064-A1-R4_A1g00055	MvSl-1064-A2-R4_A2g00055	428	428	100	100	428	100.000	843
MvSl-1064-A1-R4_A1g00056	MvSl-1064-A2-R4_A2g00056	576	576	100	100	576	100.000	1177
MvSl-1064-A1-R4_A1g00057	MvSl-1064-A2-R4_A2g00057	107	107	100	100	107	100.000	205
MvSl-1064-A1-R4_A1g00058	MvSl-1064-A2-R4_A2g00058	49	49	100	100	49	100.000	103
