gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00002	MvSl-1064-A1-R4_A1	aMAT	1057	1350	8.9021032513812	-0.391413796425623	0.239018838279281	0.803047851398763	9.0046731665691	8.29536062978417	9.43200624443729	8.62580077020581
MvSl-1064-A1-R4_A1g00003	MvSl-1064-A1-R4_A1	aMAT	3408913	3409518	5.48669642090521	-0.335858506364459	0.134133291301673	0.631116424580729	5.40523741016654	5.20602687814469	5.79681399381621	5.47338229600335
MvSl-1064-A1-R4_A1g00004	MvSl-1064-A1-R4_A1	aMAT	2563	6967	6.35383820133759	-0.0926687485638694	0.619109604204084	0.992220679213562	6.34718095487303	6.26519543361699	6.43073657274342	6.36718000250778
MvSl-1064-A1-R4_A1g00005	MvSl-1064-A1-R4_A1	aMAT	7783	9967	5.94021135415236	-0.0604843592671089	0.764908409227397	0.998959978276458	5.81851010019673	5.9952581843935	5.89021492944545	6.04568483957851
MvSl-1064-A1-R4_A1g00006	MvSl-1064-A1-R4_A1	aMAT	10297	11118	7.42585898283633	0.00241482684554608	0.990537131605496	0.998959978276458	7.32164743550928	7.52526253852172	7.36834027912863	7.47885511542184
MvSl-1064-A1-R4_A1g00007	MvSl-1064-A1-R4_A1	aMAT	11416	12757	7.73074049438113	0.210761030830309	0.315130337834982	0.886284834868361	7.73804551764299	7.92072639848417	7.61058822121451	7.63257519043316
MvSl-1064-A1-R4_A1g00008	MvSl-1064-A1-R4_A1	aMAT	13778	17299	7.69281578483335	0.433951575623529	0.105104521483964	0.560362809911725	7.59207155582744	8.14276762698105	7.10263581954192	7.74587120647437
MvSl-1064-A1-R4_A1g00009	MvSl-1064-A1-R4_A1	aMAT	17742	19664	7.50748926162938	0.706691829591301	0.0121353889260657	0.130861944443467	7.31871893002311	8.1882218110758	6.87136392048151	7.31771331070095
MvSl-1064-A1-R4_A1g00010	MvSl-1064-A1-R4_A1	aMAT	21256	22638	2.4101907001356	-0.612992255220028	0.0936988617782334	0.519681118292892	1.74114045302341	2.34106982299738	2.68255956863163	2.66728578839197
MvSl-1064-A1-R4_A1g00013	MvSl-1064-A1-R4_A1	aMAT	23065	24689	6.8282085037767	-0.380318343900724	0.0386488753006749	0.307375999974152	6.66799092690124	6.58183794771353	7.06507293916603	6.94344370365903
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A1-R4_A1	aMAT	27672	29826	3.96258985660742	1.64897027129305	3.90072533846877e-07	1.25711062493861e-05	4.45201802940593	4.67018413440555	2.46907346605786	3.2761071952064
MvSl-1064-A1-R4_A1g00015	MvSl-1064-A1-R4_A1	aMAT	31145	31816	4.70454170800332	2.42252445081569	1.51366372648242e-15	1.25706861592583e-13	5.34702096805872	5.5643235890029	2.58535876181755	3.40155788393084
MvSl-1064-A1-R4_A1g00016	MvSl-1064-A1-R4_A1	aMAT	31867	32715	1.79995510541687	2.67319623110024	2.21273962862168e-09	9.60373476000273e-08	2.53004869460312	2.66032971811875	-0.507788599653723	0.432689584882506
MvSl-1064-A1-R4_A1g00017	MvSl-1064-A1-R4_A1	aMAT	32832	32999	1.28437138344782	-0.897518641826346	0.0479766112766642	0.347921067671326	0.365724786456866	1.09657590807126	1.89696459252773	1.32639506345139
MvSl-1064-A1-R4_A1g00019	MvSl-1064-A1-R4_A1	aMAT	37426	37720	3.96978359270129	-0.295595735810564	0.297473172684451	0.871379988904333	3.90890913463574	3.71365769431642	4.28391461765206	3.90825647075683
MvSl-1064-A1-R4_A1g00021	MvSl-1064-A1-R4_A1	aMAT	37961	39396	5.94827734637128	-0.273365440377927	0.188185956012214	0.731486094544325	5.95553193742195	5.63737562017058	6.00950198797654	6.14345657238068
MvSl-1064-A1-R4_A1g00023	MvSl-1064-A1-R4_A1	aMAT	41703	42358	0.44724423862498	0.924772391863982	0.0600378624157758	0.401491413132782	1.10672785690287	0.491992894072194	-0.0959077013169766	0.0363360771509074
MvSl-1064-A1-R4_A1g00024	MvSl-1064-A1-R4_A1	aMAT	42439	44564	4.36520845718952	-0.636657307482239	0.0180286571842652	0.176182457221408	4.20375617345813	3.79199452949393	4.53303787782898	4.75052615203956
MvSl-1064-A1-R4_A1g00025	MvSl-1064-A1-R4_A1	aMAT	44670	45575	0.989374300559557	0.0125516371644026	0.979777186135611	0.998959978276458	1.4298649946255	0.380511732715017	1.27675814346116	0.618265307755786
MvSl-1064-A1-R4_A1g00026	MvSl-1064-A1-R4_A1	aMAT	46588	48824	5.02599233183424	-0.48497364154368	0.0585746712830705	0.396170270847204	4.92483247799287	4.58159029588777	5.458550859955	4.9985296425457
MvSl-1064-A1-R4_A1g00028	MvSl-1064-A1-R4_A1	aMAT	50171	55586	4.85073481734407	-0.514015491489942	0.0293782561271161	0.253233531107686	4.51136309176659	4.62809335352701	5.1370543400947	5.02750291038525
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A1-R4_A1	aMAT	59218	59891	7.24651087563487	-4.46820652412741	1.48690442839912e-74	1.42693261645369e-71	3.72058457349056	3.72511247937039	8.34746704212836	7.99356245059851
MvSl-1064-A1-R4_A1g00030	MvSl-1064-A1-R4_A1	aMAT	60303	60627	8.45009613633942	-2.46263390264241	1.24354305715707e-22	1.4514164033332e-20	6.64401420254819	6.84396702739579	9.29173480291984	9.12143147996142
MvSl-1064-A1-R4_A1g00031	MvSl-1064-A1-R4_A1	aMAT	60777	61230	4.60637026122023	-0.143159472589932	0.589085398221783	0.990336156539578	4.4448730070059	4.61583836557016	4.91945962790008	4.38201380060514
MvSl-1064-A1-R4_A1g00032	MvSl-1064-A1-R4_A1	aMAT	61566	63177	9.36622725587562	0.0594010403573645	0.825255165575772	0.998959978276458	9.37788957052154	9.41314006291405	9.2979265760209	9.37354337458972
MvSl-1064-A1-R4_A1g00033	MvSl-1064-A1-R4_A1	aMAT	63513	66190	4.61299593077997	-0.289282081871868	0.226447559263433	0.780457928714394	4.4448730070059	4.47707132173564	4.77510057259397	4.72295659081968
MvSl-1064-A1-R4_A1g00035	MvSl-1064-A1-R4_A1	aMAT	68178	68401	5.14720326508425	0.425398521451628	0.0626875502217923	0.411735643548	5.26825522788892	5.41672387616577	4.81851984815172	5.01515697481754
MvSl-1064-A1-R4_A1g00036	MvSl-1064-A1-R4_A1	aMAT	68795	70180	5.35411712723046	0.00140839596576674	0.994810404806371	0.998959978276458	5.34126041880398	5.36823412470981	5.34105593006806	5.36567308425242
