gid	ratioprot	intronnrdiff	intronmeandiff	introntotaldiff	diffGC3	totalTE	dn	ds	Part8	youngold	logFC.A1.A2	abs	DE	DE2
MvSl-1064-A1-R4_A1g00002	1	0	0	0	0	1	NA	NA	bPAR	bPAR	0.229671835	0.229671835	NON	NON
MvSl-1064-A1-R4_A1g00003	0.992366412	0	143.75	575	0.36	2	NA	NA	bPAR	bPAR	0.360311503	0.360311503	NON	NON
MvSl-1064-A1-R4_A1g00004	1	0	0.25	1	0	1	0	0	bPAR	bPAR	0.093859496	0.093859496	NON	NON
MvSl-1064-A1-R4_A1g00005	1	0	0	0	0	1	0	0	bPAR	bPAR	0.061132212	0.061132212	NON	NON
MvSl-1064-A1-R4_A1g00006	1	0	0	0	0	1	0	0	bPAR	bPAR	-0.001433167	0.001433167	NON	NON
MvSl-1064-A1-R4_A1g00007	1	0	0	0	0	1	0	0	bPAR	bPAR	-0.209759381	0.209759381	NON	NON
MvSl-1064-A1-R4_A1g00008	1	0	0	0	0	1	0	0	bPAR	bPAR	-0.432955455	0.432955455	NON	NON
MvSl-1064-A1-R4_A1g00009	1	0	0	0	0	2	0	0	bPAR	bPAR	-0.705217973	0.705217973	NON	NON
MvSl-1064-A1-R4_A1g00010	1	0	0	0	0	2	NA	NA	bPAR	bPAR	0.785609424	0.785609424	NON	NON
MvSl-1064-A1-R4_A1g00013	1	0	0	0	0	1	0	0	bPAR	bPAR	0.331950936	0.331950936	NON	NON
MvSl-1064-A1-R4_A1g00014	1	0	0	0	0	3	NA	NA	bPAR	bPAR	-1.647743756	1.647743756	Down	DE
MvSl-1064-A1-R4_A1g00015	1	0	0	0	0	3	NA	NA	bPAR	bPAR	-2.421298156	2.421298156	Down	DE
MvSl-1064-A1-R4_A1g00016	1	0	0	0	0	3	NA	NA	bPAR	bPAR	-2.671972801	2.671972801	Down	DE
MvSl-1064-A1-R4_A1g00017	1	0	0	0	0	3	0	0	bPAR	bPAR	0.898515206	0.898515206	NON	NON
MvSl-1064-A1-R4_A1g00019	1	0	0	0	0	3	NA	NA	bPAR	bPAR	0.427156681	0.427156681	NON	NON
MvSl-1064-A1-R4_A1g00021	1	0	0	0	0	3	NA	NA	bPAR	bPAR	0.190013272	0.190013272	NON	NON
MvSl-1064-A1-R4_A1g00023	1	0	0	0	0	3	NA	NA	bPAR	bPAR	-0.871091372	0.871091372	NON	NON
MvSl-1064-A1-R4_A1g00024	1	0	0	0	0	3	NA	NA	bPAR	bPAR	0.637897266	0.637897266	NON	NON
MvSl-1064-A1-R4_A1g00025	1	0	0	0	0	3	0	0	bPAR	bPAR	-0.01122618	0.01122618	NON	NON
MvSl-1064-A1-R4_A1g00026	1	0	0	0	0	3	NA	NA	bPAR	bPAR	0.485450892	0.485450892	NON	NON
MvSl-1064-A1-R4_A1g00028	1	0	0	0	0	3	NA	NA	bPAR	bPAR	0.436824573	0.436824573	NON	NON
MvSl-1064-A1-R4_A1g00029	1	0	0	0	0	3	NA	NA	bPAR	bPAR	4.988993955	4.988993955	Up	DE
MvSl-1064-A1-R4_A1g00030	1	0	0	0	0	3	NA	NA	bPAR	bPAR	2.637888472	2.637888472	Up	DE
MvSl-1064-A1-R4_A1g00031	1	0	0.1428	1	0	3	0	0	bPAR	bPAR	0.144288744	0.144288744	NON	NON
MvSl-1064-A1-R4_A1g00032	1	0	0	0	0	3	0	0	bPAR	bPAR	-0.058255452	0.058255452	NON	NON
MvSl-1064-A1-R4_A1g00033	1	0	0	0	0	3	0	0	bPAR	bPAR	0.290462864	0.290462864	NON	NON
MvSl-1064-A1-R4_A1g00035	1	0	0	0	0	3	0	0	bPAR	bPAR	-0.42420988	0.42420988	NON	NON
MvSl-1064-A1-R4_A1g00036	1	0	0	0	0	3	0	0	bPAR	bPAR	-0.001040873	0.001040873	NON	NON
MvSl-1064-A1-R4_A1g00037	1	0	0	0	0	1	0	0	bPAR	bPAR	-0.135067368	0.135067368	NON	NON
MvSl-1064-A1-R4_A1g00039	1	0	0	0	0	1	0	0	bPAR	bPAR	-0.294988642	0.294988642	NON	NON
MvSl-1064-A1-R4_A1g00040	1	0	0	0	0	1	0	0	bPAR	bPAR	0.21168993	0.21168993	NON	NON
MvSl-1064-A1-R4_A1g00046	1	0	0	0	0	1	0	0	bPAR	bPAR	-0.167998149	0.167998149	NON	NON
MvSl-1064-A1-R4_A1g00047	1	0	0	0	0	1	0	0	bPAR	bPAR	-0.106373771	0.106373771	NON	NON
MvSl-1064-A1-R4_A1g00048	1	0	0	0	0	1	0	0	bPAR	bPAR	-0.003773033	0.003773033	NON	NON
MvSl-1064-A1-R4_A1g00049	1	0	0	0	0	1	0	0	bPAR	bPAR	-0.011328206	0.011328206	NON	NON
MvSl-1064-A1-R4_A1g00050	1	0	0	0	0	1	0	0	bPAR	bPAR	0.307636601	0.307636601	NON	NON
MvSl-1064-A1-R4_A1g00051	1	0	0	0	0	0	0	0	bPAR	bPAR	-0.521803825	0.521803825	NON	NON
MvSl-1064-A1-R4_A1g00052	1	0	0	0	0	0	0	0	bPAR	bPAR	0.234775283	0.234775283	NON	NON
MvSl-1064-A1-R4_A1g00053	1	0	0	0	0	0	0	0	bPAR	bPAR	-0.082958764	0.082958764	NON	NON
MvSl-1064-A1-R4_A1g00054	1	0	0	0	0	0	0	0	bPAR	bPAR	0.266858021	0.266858021	NON	NON
MvSl-1064-A1-R4_A1g00055	1	0	0	0	0	0	0	0	bPAR	bPAR	0.465758998	0.465758998	NON	NON
