gida1	dndsa1	dna1	dsa1	gida2	dndsa2	dna2	dsa2	dndiff	dsdiff	dndsdiff	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	part8	youngold	DE
MvSl-1064-A1-R4_A1g00752	0.9222	0.0123	0.0133	MvSl-1064-A2-R4_A2g00568	0.8351	0.012	0.0144	0.0003	-0.0011	0.0871	1010063	1012204	3.566412471	-5.754454425	7.24E-43	2.69E-40	-0.58227834	-1.382795818	4.627030059	4.46064975	Black	OldStrata	Down
MvSl-1064-A1-R4_A1g00668	0.5155	0.0064	0.0125	MvSl-1064-A2-R4_A2g00904	0.5505	0.003	0.0055	0.0034	0.007	-0.035	1441050	1443387	6.117997614	-5.711873018	2.15E-96	3.68E-93	1.027525212	1.74502952	7.12815356	7.055076482	Orange	ColorStrata	Down
MvSl-1064-A1-R4_A1g01404	2.5908	0.0096	0.0037	MvSl-1064-A2-R4_A2g00821	0.7321	0.0061	0.0083	0.0035	-0.0046	1.8587	1207176	1208666	2.637666471	-5.516663924	2.10E-31	4.08E-29	-1.56888085	-1.382795818	3.553488082	3.676947153	Black	OldStrata	Down
MvSl-1064-A1-R4_MC06g07137	0.2451	0.0036	0.0145	MvSl-1064-A2-R4_MC06-2g07402	0.2451	0.0036	0.0145	0	0	0	750073	751270	9.015454552	-4.958388394	4.30E-48	1.84E-45	4.804179799	5.200060808	9.711243968	10.1892913	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00522	1.3698	0.008	0.0058	MvSl-1064-A2-R4_A2g00889	0.6253	0.0021	0.0034	0.0059	0.0024	0.7445	1399296	1400598	1.371007143	-4.655908909	1.04E-16	1.03E-14	-2.75614321	-1.215597698	2.451304939	2.185942725	Black	OldStrata	Down
MvSl-1064-A1-R4_MC10-1g09819	0.7844	0.0115	0.0146	MvSl-1064-A2-R4_MC10g10086	0.7844	0.0115	0.0146	0	0	0	291142	293603	5.347551399	-4.350527616	9.94E-50	4.72E-47	2.271132637	1.572918467	6.145532317	6.404219845	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00591	0.2593	0.0021	0.0082	MvSl-1064-A2-R4_A2g00208	0.7101	0.0109	0.0154	-0.0088	-0.0072	-0.4508	552007	553387	3.876731588	-4.272358924	9.78E-25	1.35E-22	1.027525212	0.060947975	4.380592681	5.139844794	Black	OldStrata	Down
MvSl-1064-A1-R4_A1g00269	0.4334	0.0041	0.0095	MvSl-1064-A2-R4_A2g00651	0.3464	0.0064	0.0184	-0.0023	-0.0089	0.087	1139524	1144406	6.339085605	-4.216289271	2.19E-61	1.56E-58	3.359271189	2.691962548	7.291736728	7.236816721	Black	OldStrata	Down
MvSl-1064-A1-R4_MC08g08450	1.0046	0.0033	0.0033	MvSl-1064-A2-R4_MC08-1g08715	1.0046	0.0033	0.0033	0	0	0	505637	507278	7.013369972	-4.156850851	8.64E-76	7.39E-73	3.954975471	3.59887546	7.899054474	7.970766618	Auto	Auto	Down
MvSl-1064-A1-R4_MC01-1g02347	0.001	0	0.0251	MvSl-1064-A2-R4_MC01g02629	0.001	0	0.025	0	1E-04	0	1042881	1043799	3.191037745	-3.643653614	6.54E-21	7.77E-19	0.55716287	0.506001378	4.36206763	3.743544657	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00312	0.2626	0.006	0.0227	MvSl-1064-A2-R4_A2g00914	1.3323	0.0079	0.006	-0.0019	0.0167	-1.0697	1486271	1487768	8.489494858	-3.601662265	1.65E-35	3.71E-33	5.878926465	5.665462493	9.613607804	9.090179052	Black	OldStrata	Down
MvSl-1064-A1-R4_A1g00997	0.753	0.0103	0.0137	MvSl-1064-A2-R4_A2g01153	1.1315	0.0103	0.0091	0	0.0046	-0.3785	1970332	1974462	5.93035825	-3.509378289	8.24E-55	4.40E-52	3.405047503	3.215539058	6.86357204	6.754713857	Blue	OldStrata	Down
MvSl-1064-A1-R4_A1g00977	2.1807	0.0058	0.0027	MvSl-1064-A2-R4_A2g01566	0.4312	0.0077	0.0179	-0.0019	-0.0152	1.7495	3035765	3037588	5.585095293	-3.065033979	1.93E-41	5.89E-39	3.372499016	3.368172614	6.35862651	6.486066692	Black	OldStrata	Down
MvSl-1064-A1-R4_MC06g06947	0.001	0.0001	0.0567	MvSl-1064-A2-R4_MC06-1g07210	0.001	0.0001	0.0567	0	0	0	232660	235326	6.326569699	-2.990309692	1.64E-40	4.68E-38	4.294269463	4.040129559	6.969551142	7.321995791	Auto	Auto	Down
MvSl-1064-A1-R4_MC06g06945	0.3631	0.0022	0.0059	MvSl-1064-A2-R4_MC06-1g07208	0.3631	0.0022	0.0059	0	0	0	229052	230768	10.00610865	-2.948332512	6.00E-15	5.03E-13	8.168153537	7.526216356	10.51072748	11.09197724	Auto	Auto	Down
MvSl-1064-A1-R4_MC10-1g09820	0.5373	0.0168	0.0312	MvSl-1064-A2-R4_MC10g10087	0.5373	0.0168	0.0312	0	0	0	292132	298154	1.368689677	-2.726059901	1.59E-09	7.26E-08	-0.688158539	-0.149133665	2.104256913	2.237268772	Auto	Auto	Down
MvSl-1064-A1-R4_MC06g06946	0.001	0	0	MvSl-1064-A2-R4_MC06-1g07209	0.001	0	0	0	0	0	230960	231869	7.017319242	-2.605561205	3.62E-36	8.85E-34	5.297511986	5.086606874	7.677245303	7.910119029	Auto	Auto	Down
MvSl-1064-A1-R4_MC08g08318	0.809	0.0038	0.0047	MvSl-1064-A2-R4_MC08-1g08583	0.8091	0.0038	0.0047	0	0	-1E-04	170007	171453	2.156293226	-2.383547533	2.18E-09	9.69E-08	0.811428787	0.354733747	2.719248522	3.079020474	Auto	Auto	Down
MvSl-1064-A1-R4_MC02g03508	0.8843	0.0346	0.0392	MvSl-1064-A2-R4_MC02g03786	0.8843	0.0346	0.0392	0	0	0	829013	830241	1.940432268	-2.300600211	5.95E-08	2.27E-06	0.68989019	0.185727546	2.935145994	2.365830005	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00448	2.202	0.0119	0.0054	MvSl-1064-A2-R4_A2g01642	2.5655	0.0067	0.0026	0.0052	0.0028	-0.3635	3110528	3114459	6.769288689	-2.200893457	1.52E-25	2.25E-23	5.418827812	5.143487511	7.650779306	7.299533825	Black	OldStrata	Down
MvSl-1064-A1-R4_A1g01261	0.6058	0.0046	0.0075	MvSl-1064-A2-R4_A2g01419	0.3619	0.0044	0.0123	0.0002	-0.0048	0.2439	2598714	2598931	9.095566891	-2.188677548	2.80E-12	1.88E-10	7.93867708	7.214132059	9.845326344	9.77286924	Orange	ColorStrata	Down
MvSl-1064-A1-R4_MC07g08233	1.5119	0.0153	0.0101	MvSl-1064-A2-R4_MC07g08498	1.5119	0.0153	0.0101	0	0	0	1687994	1691309	4.281706355	-2.188232416	2.05E-15	1.77E-13	2.883464683	2.763784734	4.900425373	5.089526489	Auto	Auto	Down
MvSl-1064-A1-R4_MC06g06944	0.5273	0.0039	0.0073	MvSl-1064-A2-R4_MC06-1g07207	0.5273	0.0039	0.0073	0	0	0	222330	228153	2.050573878	-1.980106975	3.45E-06	0.000100751	1.027525212	0.553093501	2.288191394	3.069611614	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00495	1.1214	0.0072	0.0064	MvSl-1064-A2-R4_A2g01715	0.6909	0.0038	0.0055	0.0034	0.0009	0.4305	3171155	3174630	6.456170652	-1.952930588	1.30E-23	1.65E-21	5.143992398	5.205598012	7.083055154	7.166291679	Blue	OldStrata	Down
MvSl-1064-A1-R4_A1g00254	0.8848	0.0049	0.0055	MvSl-1064-A2-R4_A2g00300	0.5785	0.0083	0.0144	-0.0034	-0.0089	0.3063	651956	657345	4.805555172	-1.92950017	2.21E-12	1.51E-10	3.782372513	3.272927838	5.291583489	5.630506344	Black	OldStrata	Down
