gida1	a1prot	a1cds	gida2	a2prot	a2cds	part8	youngold	intron_nr_a1	intron_mean_a1	intron_total_a1	intron_nr_a2	intron_mean_a2	intron_total_a2	intron_nr_diff	intron_mean_diff	intron_total_diff	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2
MvSl-1064-A1-R4_A1g00002	97	294	MvSl-1064-A2-R4_A2g00002	97	294	bPAR	bPAR	1	0	0	1	0	0	0	0	0	1057	1350	4.600592	0.22967184	0.22967184	0.36183778	0.92532192	4.61401911	4.79982661	4.3583339	4.59460393	NON	NON
MvSl-1064-A1-R4_A1g00004	627	1884	MvSl-1064-A2-R4_A2g00004	627	1884	bPAR	bPAR	4	75.25	300	4	75	301	0	0.25	-1	2563	6967	6.37769739	0.0938595	0.0938595	0.61614823	0.9935289	6.45492714	6.39186829	6.28874616	6.37013514	NON	NON
MvSl-1064-A1-R4_A1g00005	273	822	MvSl-1064-A2-R4_A2g00005	273	822	bPAR	bPAR	1	0	0	1	0	0	0	0	0	7783	9967	5.96381297	0.06113221	0.06113221	0.76232265	0.99994992	5.91327438	6.07037289	6.018809	5.84146479	NON	NON
MvSl-1064-A1-R4_A1g00006	138	417	MvSl-1064-A2-R4_A2g00006	138	417	bPAR	bPAR	3	308.333	925	3	308.333	925	0	0	0	10297	11118	7.44962258	-0.0014332	0.00143317	0.99437206	0.99994992	7.39212515	7.50354392	7.54881302	7.34460106	NON	NON
MvSl-1064-A1-R4_A1g00007	1001	3006	MvSl-1064-A2-R4_A2g00007	1001	3006	bPAR	bPAR	5	103.2	516	5	103.2	516	0	0	0	11416	12757	7.75447577	-0.2097594	0.20975938	0.31621485	0.89823815	7.63477898	7.65692725	7.94427683	7.760999	NON	NON
MvSl-1064-A1-R4_A1g00008	555	1668	MvSl-1064-A2-R4_A2g00008	555	1668	bPAR	bPAR	3	85	255	3	85	255	0	0	0	13778	17299	7.71654768	-0.4329555	0.43295546	0.10593276	0.5825449	7.12633857	7.77056008	8.16631804	7.61502508	NON	NON
MvSl-1064-A1-R4_A1g00009	379	1140	MvSl-1064-A2-R4_A2g00009	379	1140	bPAR	bPAR	2	121.5	243	2	121.5	243	0	0	0	17742	19664	7.53105407	-0.705218	0.70521797	0.01220012	0.13633827	6.89555458	7.34240206	8.21125484	7.34167256	NON	NON
MvSl-1064-A1-R4_A1g00010	337	1014	MvSl-1064-A2-R4_A2g00010	337	1014	bPAR	bPAR	4	152.75	611	4	152.75	611	0	0	0	21256	22638	2.31304637	0.78560942	0.78560942	0.03284655	0.28193292	2.62067391	2.66005223	2.13949119	1.53718838	NON	NON
MvSl-1064-A1-R4_A1g00013	566	1701	MvSl-1064-A2-R4_A2g00013	566	1701	bPAR	bPAR	6	75.6667	454	6	75.6667	454	0	0	0	23065	24689	6.36358409	0.33195094	0.33195094	0.07727182	0.48289236	6.55476686	6.48360396	6.14336431	6.23146558	NON	NON
MvSl-1064-A1-R4_A1g00014	149	450	MvSl-1064-A2-R4_A2g00014	149	450	bPAR	bPAR	3	74	222	3	74	222	0	0	0	27672	29826	3.986166643	-1.647743756	1.647743756	4.11E-07	1.40E-05	2.493258973	3.300788254	4.693735746	4.474975314	Down	DE
MvSl-1064-A1-R4_A1g00015	254	765	MvSl-1064-A2-R4_A2g00015	254	765	bPAR	bPAR	2	42	84	2	42	84	0	0	0	31145	31816	4.728011616	-2.421298156	2.421298156	1.59E-15	1.42E-13	2.609544687	3.426239624	5.587874592	5.369976294	Down	DE
MvSl-1064-A1-R4_A1g00016	55	168	MvSl-1064-A2-R4_A2g00016	55	168	bPAR	bPAR	1	0	0	1	0	0	0	0	0	31867	32715	1.823444182	-2.671972801	2.671972801	1.24E-09	5.82E-08	-0.483640272	0.457320064	2.683885317	2.5530178	Down	DE
MvSl-1064-A1-R4_A1g00017	543	1632	MvSl-1064-A2-R4_A2g00017	543	1632	bPAR	bPAR	8	87.375	699	8	87.375	699	0	0	0	32832	32999	1.30837585	0.89851521	0.89851521	0.0424064	0.33791173	1.92114747	1.35105268	1.12014188	0.38874981	NON	NON
MvSl-1064-A1-R4_A1g00019	261	786	MvSl-1064-A2-R4_A2g00019	261	786	bPAR	bPAR	3	216.667	650	3	216.667	650	0	0	0	37426	37720	2.19453239	0.42715668	0.42715668	0.24416115	0.82290011	2.60954469	2.11820395	2.01221197	1.91884176	NON	NON
MvSl-1064-A1-R4_A1g00021	69	210	MvSl-1064-A2-R4_A2g00021	69	210	bPAR	bPAR	1	142	142	1	142	142	0	0	0	37961	39396	5.74760104	0.19001327	0.19001327	0.37597017	0.93516701	5.78435886	5.89184107	5.47344601	5.80649151	NON	NON
MvSl-1064-A1-R4_A1g00023	437	1314	MvSl-1064-A2-R4_A2g00023	437	1314	bPAR	bPAR	4	203	812	4	203	812	0	0	0	41703	42358	0.12637048	-0.8710914	0.87109137	0.08892993	0.52274071	-0.5822783	-0.0756545	0.15139655	0.76024789	NON	NON
MvSl-1064-A1-R4_A1g00024	203	612	MvSl-1064-A2-R4_A2g00024	203	612	bPAR	bPAR	3	98	294	3	98	294	0	0	0	42439	44564	4.38918068	0.63789727	0.63789727	0.01853608	0.18642936	4.5572275	4.77521245	3.81554725	4.22671425	NON	NON
MvSl-1064-A1-R4_A1g00025	540	1623	MvSl-1064-A2-R4_A2g00025	540	1623	bPAR	bPAR	7	87.7143	614	7	87.7143	614	0	0	0	44670	45575	1.01319108	-0.0112262	0.01122618	0.9814206	0.99994992	1.3009367	0.64290288	0.40408779	1.45285247	NON	NON
MvSl-1064-A1-R4_A1g00026	1405	4218	MvSl-1064-A2-R4_A2g00026	1405	4218	bPAR	bPAR	13	92.1538	1198	13	92.1538	1198	0	0	0	46588	48824	5.04666133	0.48545089	0.48545089	0.05615486	0.40173044	5.4750967	5.02530534	4.60198784	4.94521846	NON	NON
MvSl-1064-A1-R4_A1g00028	167	504	MvSl-1064-A2-R4_A2g00028	167	504	bPAR	bPAR	3	56.6667	170	3	56.6667	170	0	0	0	50171	55586	4.82913274	0.43682457	0.43682457	0.06209667	0.4236747	5.05654545	5.00215904	4.651645	4.53432021	NON	NON
MvSl-1064-A1-R4_A1g00029	56	171	MvSl-1064-A2-R4_A2g00029	56	171	bPAR	bPAR	2	77	154	2	77	154	0	0	0	59218	59891	6.297648826	4.988993955	4.988993955	1.54E-87	1.88E-84	7.418271616	7.059641211	2.207478765	2.365830005	Up	DE
MvSl-1064-A1-R4_A1g00030	122	369	MvSl-1064-A2-R4_A2g00030	122	369	bPAR	bPAR	1	85	85	1	85	85	0	0	0	60303	60627	7.934547299	2.637888472	2.637888472	2.29E-30	4.36E-28	8.812093292	8.61919494	6.147697071	6.014483292	Up	DE
MvSl-1064-A1-R4_A1g00031	318	957	MvSl-1064-A2-R4_A2g00031	318	957	bPAR	bPAR	7	93.4286	654	7	93.5714	655	0	-0.1428	-1	60777	61230	4.63023382	0.14428874	0.14428874	0.58867201	0.9930078	4.94364955	4.40669924	4.63939003	4.46783031	NON	NON
MvSl-1064-A1-R4_A1g00032	517	1554	MvSl-1064-A2-R4_A2g00032	517	1554	bPAR	bPAR	12	93.6667	1124	12	93.6667	1124	0	0	0	61566	63177	9.38998595	-0.0582555	0.05825545	0.83088732	0.99994992	9.32201092	9.39813175	9.43669041	9.40072552	NON	NON
MvSl-1064-A1-R4_A1g00033	266	801	MvSl-1064-A2-R4_A2g00033	266	801	bPAR	bPAR	3	51.6667	155	3	51.6667	155	0	0	0	63513	66190	4.63690302	0.29046286	0.29046286	0.22796372	0.80199747	4.7992904	4.74764283	4.50062312	4.46783031	NON	NON
MvSl-1064-A1-R4_A1g00035	461	1386	MvSl-1064-A2-R4_A2g00035	461	1386	bPAR	bPAR	1	0	0	1	0	0	0	0	0	68178	68401	5.17098013	-0.4242099	0.42420988	0.06178137	0.42287342	4.8427097	5.03984377	5.44027496	5.29121068	NON	NON
MvSl-1064-A1-R4_A1g00036	397	1194	MvSl-1064-A2-R4_A2g00036	397	1194	bPAR	bPAR	3	93	279	3	93	279	0	0	0	68795	70180	5.37755721	-0.0010409	0.00104087	0.9961279	0.99994992	5.36524611	5.38873874	5.39178523	5.36421575	NON	NON
MvSl-1064-A1-R4_A1g00037	806	2421	MvSl-1064-A2-R4_A2g00037	806	2421	bPAR	bPAR	2	85.5	171	2	85.5	171	0	0	0	71408	72880	4.77881549	-0.1350674	0.13506737	0.57617627	0.9930078	4.82116339	4.59004462	4.74896297	4.93489195	NON	NON
MvSl-1064-A1-R4_A1g00039	611	1836	MvSl-1064-A2-R4_A2g00039	611	1836	bPAR	bPAR	12	90.0833	1081	12	90.0833	1081	0	0	0	77299	78423	8.15386411	-0.2949886	0.29498864	0.19970162	0.76421179	7.85132074	8.13287844	8.36196636	8.22233904	NON	NON
MvSl-1064-A1-R4_A1g00040	360	1083	MvSl-1064-A2-R4_A2g00040	360	1083	bPAR	bPAR	7	87.5714	613	7	87.5714	613	0	0	0	79342	82258	1.2314714	0.21168993	0.21168993	0.60688303	0.9930078	1.45810047	1.18158833	1.25477021	0.97705356	NON	NON
MvSl-1064-A1-R4_A1g00046	292	879	MvSl-1064-A2-R4_A2g00046	292	879	bPAR	bPAR	7	83.1429	582	7	83.1429	582	0	0	0	89113	90244	3.95198282	-0.1679981	0.16799815	0.53972775	0.98991415	3.8069395	3.92401113	3.94565679	4.11681155	NON	NON
MvSl-1064-A1-R4_A1g00047	299	900	MvSl-1064-A2-R4_A2g00047	299	900	bPAR	bPAR	5	74	370	5	74	370	0	0	0	90443	91903	5.06865534	-0.1063738	0.10637377	0.64496158	0.99994992	4.96345405	5.06443093	5.23162041	5.00072967	NON	NON
MvSl-1064-A1-R4_A1g00048	523	1572	MvSl-1064-A2-R4_A2g00048	523	1572	bPAR	bPAR	1	0	0	1	0	0	0	0	0	92386	93655	4.85660086	-0.003773	0.00377303	0.98702322	0.99994992	4.85924827	4.85018855	4.84280373	4.87403587	NON	NON
MvSl-1064-A1-R4_A1g00049	873	2622	MvSl-1064-A2-R4_A2g00049	873	2622	bPAR	bPAR	7	79.1429	554	7	79.1429	554	0	0	0	94248	95819	5.38291585	-0.0113282	0.01132821	0.95940986	0.99994992	5.51590339	5.22390336	5.38812772	5.38901365	NON	NON
MvSl-1064-A1-R4_A1g00050	1493	4482	MvSl-1064-A2-R4_A2g00050	1493	4482	bPAR	bPAR	3	72.6667	218	3	72.6667	218	0	0	0	96486	99661	5.55559715	0.3076366	0.3076366	0.30161432	0.88702443	5.56281815	5.82626009	5.82411746	4.77620452	NON	NON
MvSl-1064-A1-R4_A1g00051	358	1077	MvSl-1064-A2-R4_A2g00051	358	1077	bPAR	bPAR	4	85	340	4	85	340	0	0	0	101324	106023	6.90341517	-0.5218038	0.52180383	0.02709038	0.24788085	6.36844195	6.83334848	7.39238468	6.83604073	NON	NON
MvSl-1064-A1-R4_A1g00052	76	231	MvSl-1064-A2-R4_A2g00052	76	231	bPAR	bPAR	1	180	180	1	180	180	0	0	0	106474	107890	1.20743079	0.23477528	0.23477528	0.6068039	0.9930078	0.73155113	1.72460549	1.22227251	0.93622085	NON	NON
MvSl-1064-A1-R4_A1g00053	418	1257	MvSl-1064-A2-R4_A2g00053	418	1257	bPAR	bPAR	5	71.4	357	5	71.4	357	0	0	0	108409	108819	6.65372993	-0.0829588	0.08295876	0.67379162	0.99994992	6.50157751	6.71409777	6.79202645	6.59008458	NON	NON
MvSl-1064-A1-R4_A1g00054	388	1167	MvSl-1064-A2-R4_A2g00054	388	1167	bPAR	bPAR	7	76.7143	537	7	76.7143	537	0	0	0	111120	112733	2.55469619	0.26685802	0.26685802	0.45987298	0.97587937	2.35349133	2.94242651	2.54625724	2.27049897	NON	NON
MvSl-1064-A1-R4_A1g00055	428	1287	MvSl-1064-A2-R4_A2g00055	428	1287	bPAR	bPAR	2	72	144	2	72	144	0	0	0	113646	115349	5.45545015	0.465759	0.465759	0.04740618	0.36153028	5.83540586	5.479906	5.01394684	5.37189137	NON	NON
MvSl-1064-A1-R4_A1g00056	576	1731	MvSl-1064-A2-R4_A2g00056	576	1731	bPAR	bPAR	6	94.6667	568	6	94.6667	568	0	0	0	115614	117044	8.50804466	-0.1372296	0.13722958	0.60403821	0.9930078	8.44939889	8.42618278	8.84273117	8.24602554	NON	NON
MvSl-1064-A1-R4_A1g00057	107	324	MvSl-1064-A2-R4_A2g00057	107	324	bPAR	bPAR	1	0	0	1	0	0	0	0	0	118986	121284	4.65801917	0.05508454	0.05508454	0.82866951	0.99994992	4.64976989	4.71953609	4.82126638	4.40935949	NON	NON
MvSl-1064-A1-R4_A1g00058	49	150	MvSl-1064-A2-R4_A2g00058	49	150	bPAR	bPAR	1	128	128	1	128	128	0	0	0	121712	122035	0.03842301	-0.9540501	0.95405011	0.06262019	0.4252105	-0.4836403	-0.3951076	0.66812985	0.12370694	NON	NON
MvSl-1064-A1-R4_A1g00059	68	207	MvSl-1064-A2-R4_A2g00059	68	207	bPAR	bPAR	1	0	0	1	0	0	0	0	0	123729	124006	3.31579431	0.00203834	0.00203834	0.99520142	0.99994992	3.26311629	3.36817261	3.6482719	2.87809104	NON	NON
MvSl-1064-A1-R4_A1g00060	317	954	MvSl-1064-A2-R4_A2g00060	317	954	bPAR	bPAR	5	119.8	599	5	119.8	599	0	0	0	124165	124371	2.82517522	-0.1486563	0.14865629	0.71770066	0.99994992	3.12143902	2.25266048	2.39410191	3.27185989	NON	NON
MvSl-1064-A1-R4_A1g00061	219	660	MvSl-1064-A2-R4_A2g00061	219	660	bPAR	bPAR	3	100	301	3	100.333	300	0	-0.333	1	125081	126633	7.12146968	-0.1614103	0.16141032	0.39147605	0.94433655	6.98976844	7.08589903	7.21690897	7.18274949	NON	NON
MvSl-1064-A1-R4_A1g00062	714	2145	MvSl-1064-A2-R4_A2g00062	714	2145	bPAR	bPAR	5	129	645	5	129	645	0	0	0	128311	129271	6.16190646	0.15893198	0.15893198	0.41156393	0.95483549	6.14867865	6.3239111	6.08243043	6.07803605	NON	NON
MvSl-1064-A1-R4_A1g00063	316	951	MvSl-1064-A2-R4_A2g00063	316	951	bPAR	bPAR	3	108	325	3	108.333	324	0	-0.333	1	130054	132843	5.04280133	-0.0618886	0.06188859	0.78366726	0.99994992	5.00013663	5.02321641	5.09470774	5.0517966	NON	NON
MvSl-1064-A1-R4_A1g00064	232	699	MvSl-1064-A2-R4_A2g00064	232	699	bPAR	bPAR	3	151.667	455	3	151.667	455	0	0	0	133237	134512	8.27016471	0.17617943	0.17617943	0.44142914	0.96825211	8.28402945	8.42361135	8.24627345	8.10922231	NON	NON
MvSl-1064-A1-R4_A1g00065	649	1950	MvSl-1064-A2-R4_A2g00065	649	1950	bPAR	bPAR	10	81.9	818	10	81.8	819	0	0.1	-1	135668	136821	7.29102512	-0.2540112	0.25401122	0.1948893	0.75796754	7.1447657	7.17232721	7.35727296	7.4656622	NON	NON
MvSl-1064-A1-R4_A1g00066	184	555	MvSl-1064-A2-R4_A2g00066	184	555	bPAR	bPAR	2	73	146	2	73	146	0	0	0	137505	140273	7.8968573	-0.017149	0.01714895	0.94120566	0.99994992	7.64741741	8.094595	7.98721831	7.8186524	NON	NON
MvSl-1064-A1-R4_A1g00067	451	1356	MvSl-1064-A2-R4_A2g00067	451	1356	bPAR	bPAR	8	105	840	8	105	840	0	0	0	141157	141857	1.47312748	0.22606909	0.22606909	0.5987922	0.9930078	1.93904007	1.08875524	1.22227251	1.48151573	NON	NON
MvSl-1064-A1-R4_A1g00068	397	1194	MvSl-1064-A2-R4_A2g00068	397	1194	bPAR	bPAR	3	124.667	374	3	124.667	374	0	0	0	142411	144606	1.13312014	0.41772285	0.41772285	0.36912364	0.93076177	1.74926736	0.68579449	0.89124159	0.93622085	NON	NON
MvSl-1064-A1-R4_A1g00069	1429	4290	MvSl-1064-A2-R4_A2g00069	1429	4290	bPAR	bPAR	2	98	196	2	98	196	0	0	0	145335	146902	6.01395357	0.26299469	0.26299469	0.23914409	0.81647078	6.30172587	5.95566583	5.6518042	6.07098033	NON	NON
MvSl-1064-A1-R4_A1g00070	918	2757	MvSl-1064-A2-R4_A2g00070	918	2757	bPAR	bPAR	1	84	84	1	84	84	0	0	0	149220	153705	7.28658974	-0.3351375	0.33513752	0.08935463	0.52318798	7.18233761	7.03289662	7.41187843	7.47638251	NON	NON
