gene	haploid	cdslength	protleng	chr	chr1	DE_status	DE_status2	mean_exp	genelength	efflength	estcounts	meantpm
MvSl-1064-A1-R4_A1g00002	A1	294	97	bPAR	bPAR	NON	NON	4.53665	294	67.5815	476.728	53.1379
MvSl-1064-A1-R4_A1g00003	A1	4405	1300	bPAR	bPAR	NON	NON	5.47933	4405	4072.99	968.523	1.75278
MvSl-1064-A1-R4_A1g00004	A1	2185	627	bPAR	bPAR	NON	NON	6.28338	2185	1852.99	1501	6.67061
MvSl-1064-A1-R4_A1g00005	A1	822	273	bPAR	bPAR	NON	NON	5.88354	822	493.18	1040	18.9459
MvSl-1064-A1-R4_A1g00006	A1	1342	138	bPAR	bPAR	NON	NON	7.43316	1342	1009.99	3022	27.2414
MvSl-1064-A1-R4_A1g00007	A1	3522	1001	bPAR	bPAR	NON	NON	7.80622	3522	3189.99	3944	11.1764
MvSl-1064-A1-R4_A1g00008	A1	1923	555	bPAR	bPAR	NON	NON	7.84283	1923	1590.99	3559	23.3807
MvSl-1064-A1-R4_A1g00009	A1	1383	379	bPAR	bPAR	NON	NON	7.72866	1383	1050.99	2947	33.591
MvSl-1064-A1-R4_A1g00010	A1	1625	337	bPAR	bPAR	NON	NON	2.12901	1625	1292.99	63.5081	0.538843
MvSl-1064-A1-R4_A1g00011	A1	678	180	bPAR	bPAR	NON	NON	1.52672	678	356.311	36.6436	1.30103
MvSl-1064-A1-R4_A1g00013	A1	2155	566	bPAR	bPAR	NON	NON	6.12672	2155	1822.99	1346.38	6.08258
MvSl-1064-A1-R4_A1g00014	A1	672	149	bPAR	bPAR	NON	NON	1.94846	672	351.18	44.5106	1.8555
MvSl-1064-A1-R4_A1g00015	A1	849	254	bPAR	bPAR	NON	NON	2.21368	849	519.421	46	1.65223
MvSl-1064-A1-R4_A1g00016	A1	168	55	bPAR	bPAR	NON	NON	0.489485	168	24.8977	20	8.69069
MvSl-1064-A1-R4_A1g00017	A1	2331	543	bPAR	bPAR	NON	NON	0.623864	2331	1998.99	21	0.118501
MvSl-1064-A1-R4_A1g00019	A1	1436	261	bPAR	bPAR	NON	NON	1.70799	1436	1103.99	61.3034	0.457515
MvSl-1064-A1-R4_A1g00020	A1	276	91	bPAR	bPAR	NON	NON	2.03446	276	60.2043	59.7929	10.5513
MvSl-1064-A1-R4_A1g00021	A1	352	69	bPAR	bPAR	Up	DE	5.64847	352	97.9288	1073.1	79.5324
MvSl-1064-A1-R4_A1g00023	A1	2126	437	bPAR	bPAR	NON	NON	1.19889	2126	1793.99	43.8465	0.194151
MvSl-1064-A1-R4_A1g00025	A1	2237	540	bPAR	bPAR	NON	NON	0.71417	2237	1904.99	41	0.135684
MvSl-1064-A1-R4_A1g00026	A1	5416	1405	bPAR	bPAR	NON	NON	5.50537	5416	5083.99	980.825	1.42935
MvSl-1064-A1-R4_A1g00027	A1	942	313	bPAR	bPAR	NON	NON	1.32336	942	610.686	43	0.625552
MvSl-1064-A1-R4_A1g00028	A1	674	167	bPAR	bPAR	NON	NON	2.92956	674	352.928	128	3.37536
MvSl-1064-A1-R4_A1g00029	A1	325	56	bPAR	bPAR	NON	NON	2.10911	325	83.0822	81.8175	7.85347
MvSl-1064-A1-R4_A1g00030	A1	454	122	bPAR	bPAR	NON	NON	5.67278	454	166.089	925.707	47.5731
MvSl-1064-A1-R4_A1g00031	A1	1612	318	bPAR	bPAR	NON	NON	4.57041	1612	1279.99	418	2.94331
MvSl-1064-A1-R4_A1g00032	A1	2678	517	bPAR	bPAR	NON	NON	9.36855	2678	2345.99	12238	44.7785
